220-0000 神奈川県 横浜市西区 
225-8550 神奈川県 横浜市青葉区 市ケ尾町
225-8560 神奈川県 横浜市青葉区 市ケ尾町
225-8585 神奈川県 横浜市青葉区 あざみ野
226-0000 神奈川県 横浜市緑区 
226-0001 神奈川県 横浜市緑区 東本郷町
226-0002 神奈川県 横浜市緑区 東本郷
226-0003 神奈川県 横浜市緑区 鴨居
226-0004 神奈川県 横浜市緑区 鴨居町
226-0005 神奈川県 横浜市緑区 竹山
226-0006 神奈川県 横浜市緑区 白山
226-0011 神奈川県 横浜市緑区 中山町
226-0012 神奈川県 横浜市緑区 上山
226-0013 神奈川県 横浜市緑区 寺山町
226-0014 神奈川県 横浜市緑区 台村町
226-0015 神奈川県 横浜市緑区 三保町
226-0016 神奈川県 横浜市緑区 霧が丘
226-0017 神奈川県 横浜市緑区 新治町
226-0018 神奈川県 横浜市緑区 長津田みなみ台
226-0021 神奈川県 横浜市緑区 北八朔町
226-0022 神奈川県 横浜市緑区 青砥町
226-0023 神奈川県 横浜市緑区 小山町
226-0024 神奈川県 横浜市緑区 西八朔町
226-0025 神奈川県 横浜市緑区 十日市場町
226-0026 神奈川県 横浜市緑区 長津田町
226-0027 神奈川県 横浜市緑区 長津田
226-0028 神奈川県 横浜市緑区 いぶき野
226-0029 神奈川県 横浜市緑区 森の台
226-8501 神奈川県 横浜市緑区 長津田町
226-8502 神奈川県 横浜市緑区 長津田町
226-8503 神奈川県 横浜市緑区 長津田町
226-8507 神奈川県 横浜市緑区 白山
226-8510 神奈川県 横浜市緑区 長津田町
226-8512 神奈川県 横浜市緑区 中山町
226-8525 神奈川県 横浜市緑区 白山
226-8555 神奈川県 横浜市緑区 十日市場町
226-8570 神奈川県 横浜市緑区 寺山町
227-0000 神奈川県 横浜市青葉区 
227-0031 神奈川県 横浜市青葉区 寺家町
227-0032 神奈川県 横浜市青葉区 成合町
227-0033 神奈川県 横浜市青葉区 鴨志田町
227-0034 神奈川県 横浜市青葉区 桂台
227-0035 神奈川県 横浜市青葉区 すみよし台
227-0036 神奈川県 横浜市青葉区 奈良町
227-0037 神奈川県 横浜市青葉区 緑山
227-0038 神奈川県 横浜市青葉区 奈良
227-0041 神奈川県 横浜市青葉区 上谷本町
227-0042 神奈川県 横浜市青葉区 下谷本町
227-0043 神奈川県 横浜市青葉区 藤が丘
227-0044 神奈川県 横浜市青葉区 もえぎ野
227-0045 神奈川県 横浜市青葉区 若草台
227-0046 神奈川県 横浜市青葉区 たちばな台
227-0047 神奈川県 横浜市青葉区 みたけ台
227-0048 神奈川県 横浜市青葉区 柿の木台
227-0051 神奈川県 横浜市青葉区 千草台
227-0052 神奈川県 横浜市青葉区 梅が丘
227-0053 神奈川県 横浜市青葉区 さつきが丘
227-0054 神奈川県 横浜市青葉区 しらとり台
227-0055 神奈川県 横浜市青葉区 つつじが丘
227-0061 神奈川県 横浜市青葉区 桜台
227-0062 神奈川県 横浜市青葉区 青葉台
227-0063 神奈川県 横浜市青葉区 榎が丘
227-0064 神奈川県 横浜市青葉区 田奈町
227-0065 神奈川県 横浜市青葉区 恩田町
227-0066 神奈川県 横浜市青葉区 あかね台
227-0067 神奈川県 横浜市青葉区 松風台
227-8501 神奈川県 横浜市青葉区 藤が丘
227-8502 神奈川県 横浜市青葉区 鴨志田町
227-8505 神奈川県 横浜市青葉区 藤が丘
227-8508 神奈川県 横浜市青葉区 しらとり台
227-8512 神奈川県 横浜市青葉区 梅が丘
227-8518 神奈川県 横浜市青葉区 藤が丘
227-8522 神奈川県 横浜市青葉区 さつきが丘
227-8540 神奈川県 横浜市青葉区 恩田町
228-0000 神奈川県 座間市 
228-0001 神奈川県 座間市 相模が丘
228-0002 神奈川県 座間市 小松原
228-0003 神奈川県 座間市 ひばりが丘
228-0004 神奈川県 座間市 東原
228-0005 神奈川県 座間市 さがみ野
228-0011 神奈川県 座間市 相武台
228-0012 神奈川県 座間市 広野台
228-0013 神奈川県 座間市 栗原
228-0014 神奈川県 座間市 栗原中央
228-0015 神奈川県 座間市 南栗原
228-0016 神奈川県 座間市 西栗原
228-0021 神奈川県 座間市 緑ケ丘
228-0022 神奈川県 座間市 明王
228-0023 神奈川県 座間市 立野台
228-0024 神奈川県 座間市 入谷
228-0025 神奈川県 座間市 四ツ谷
228-0026 神奈川県 座間市 新田宿
228-0027 神奈川県 座間市 座間
228-0801 神奈川県 相模原市 鵜野森
228-0802 神奈川県 相模原市 上鶴間
228-0803 神奈川県 相模原市 相模大野
228-0804 神奈川県 相模原市 旭町
228-0805 神奈川県 相模原市 豊町
228-0806 神奈川県 相模原市 栄町
228-0807 神奈川県 相模原市 文京
228-0811 神奈川県 相模原市 東林間
228-0812 神奈川県 相模原市 相南
228-0813 神奈川県 相模原市 松が枝町
228-0814 神奈川県 相模原市 南台
228-0815 神奈川県 相模原市 桜台
228-0816 神奈川県 相模原市 双葉
228-0817 神奈川県 相模原市 御園
228-0818 神奈川県 相模原市 上鶴間本町
228-0821 神奈川県 相模原市 相模台
228-0822 神奈川県 相模原市 相模台団地
228-0823 神奈川県 相模原市 相武台団地
228-0824 神奈川県 相模原市 相武台
228-0825 神奈川県 相模原市 新磯野
228-0826 神奈川県 相模原市 新戸
228-0827 神奈川県 相模原市 磯部
228-0828 神奈川県 相模原市 麻溝台
228-0829 神奈川県 相模原市 北里
229-0000 神奈川県 相模原市 
229-0001 神奈川県 相模原市 上矢部
229-0002 神奈川県 相模原市 淵野辺本町
229-0003 神奈川県 相模原市 東淵野辺
229-0004 神奈川県 相模原市 古淵
229-0006 神奈川県 相模原市 淵野辺
229-0007 神奈川県 相模原市 矢部新町
229-0011 神奈川県 相模原市 大野台
229-0012 神奈川県 相模原市 西大沼
229-0013 神奈川県 相模原市 東大沼
229-0014 神奈川県 相模原市 若松
229-0015 神奈川県 相模原市 下溝
229-0016 神奈川県 相模原市 当麻
229-0021 神奈川県 相模原市 高根
229-0022 神奈川県 相模原市 由野台
229-0023 神奈川県 相模原市 松が丘
229-0024 神奈川県 相模原市 青葉
229-0025 神奈川県 相模原市 緑が丘
229-0026 神奈川県 相模原市 陽光台
229-0027 神奈川県 相模原市 光が丘
229-0028 神奈川県 相模原市 並木
229-0029 神奈川県 相模原市 弥栄
229-0031 神奈川県 相模原市 相模原
229-0032 神奈川県 相模原市 矢部
229-0033 神奈川県 相模原市 鹿沼台
229-0034 神奈川県 相模原市 共和
229-0035 神奈川県 相模原市 相生
229-0036 神奈川県 相模原市 富士見
229-0037 神奈川県 相模原市 千代田
229-0038 神奈川県 相模原市 星が丘
229-0039 神奈川県 相模原市 中央
229-0101 神奈川県 相模原市 相模湖町与瀬
229-0102 神奈川県 相模原市 相模湖町与瀬本町
229-0103 神奈川県 相模原市 相模湖町小原
229-0104 神奈川県 相模原市 相模湖町千木良
229-0105 神奈川県 相模原市 相模湖町若柳
229-0106 神奈川県 相模原市 相模湖町寸沢嵐
229-0201 神奈川県 相模原市 藤野町佐野川
229-0202 神奈川県 相模原市 藤野町澤井
229-0203 神奈川県 相模原市 藤野町吉野
229-0204 神奈川県 相模原市 藤野町小渕
229-0205 神奈川県 相模原市 藤野町日連
229-0206 神奈川県 相模原市 藤野町牧野
229-0207 神奈川県 相模原市 藤野町名倉
229-0211 神奈川県 相模原市 相模湖町寸沢嵐
229-1101 神奈川県 相模原市 相原
229-1102 神奈川県 相模原市 元橋本町
229-1103 神奈川県 相模原市 橋本
229-1104 神奈川県 相模原市 東橋本
229-1105 神奈川県 相模原市 小山
229-1106 神奈川県 相模原市 大山町
229-1111 神奈川県 相模原市 宮下本町
229-1112 神奈川県 相模原市 宮下
229-1113 神奈川県 相模原市 すすきの町
229-1114 神奈川県 相模原市 向陽町
229-1115 神奈川県 相模原市 氷川町
229-1116 神奈川県 相模原市 清新
229-1117 神奈川県 相模原市 小町通
229-1121 神奈川県 相模原市 横山台
229-1122 神奈川県 相模原市 横山
229-1123 神奈川県 相模原市 上溝
229-1124 神奈川県 相模原市 田名
229-1125 神奈川県 相模原市 田名塩田
229-1126 神奈川県 相模原市 水郷田名
229-1131 神奈川県 相模原市 西橋本
229-1132 神奈川県 相模原市 橋本台
229-1133 神奈川県 相模原市 南橋本
229-1134 神奈川県 相模原市 下九沢
229-1135 神奈川県 相模原市 大島
229-1136 神奈川県 相模原市 上九沢
229-1137 神奈川県 相模原市 二本松
