370-0000 群馬県 高崎市 
371-0054 群馬県 前橋市 下細井町
371-0055 群馬県 前橋市 北代田町
371-0056 群馬県 前橋市 青柳町
371-0057 群馬県 前橋市 龍蔵寺町
371-0101 群馬県 前橋市 富士見町赤城山
371-0102 群馬県 前橋市 富士見町皆沢
371-0103 群馬県 前橋市 富士見町小暮
371-0104 群馬県 前橋市 富士見町時沢
371-0105 群馬県 前橋市 富士見町石井
371-0106 群馬県 前橋市 富士見町市之木場
371-0107 群馬県 前橋市 富士見町山口
371-0111 群馬県 前橋市 富士見町米野
371-0112 群馬県 前橋市 富士見町引田
371-0113 群馬県 前橋市 富士見町漆窪
371-0114 群馬県 前橋市 富士見町田島
371-0115 群馬県 前橋市 富士見町小沢
371-0116 群馬県 前橋市 富士見町原之郷
371-0117 群馬県 前橋市 富士見町横室
371-0121 群馬県 前橋市 金丸町
371-0122 群馬県 前橋市 小坂子町
371-0123 群馬県 前橋市 高花台
371-0124 群馬県 前橋市 勝沢町
371-0125 群馬県 前橋市 嶺町
371-0131 群馬県 前橋市 鳥取町
371-0132 群馬県 前橋市 五代町
371-0133 群馬県 前橋市 端気町
371-0134 群馬県 前橋市 小神明町
371-0192 群馬県 前橋市 富士見町田島
371-0201 群馬県 前橋市 粕川町中之沢
371-0202 群馬県 前橋市 粕川町室沢
371-0203 群馬県 前橋市 粕川町月田
371-0204 群馬県 前橋市 粕川町膳
371-0205 群馬県 前橋市 粕川町中
371-0206 群馬県 前橋市 粕川町新屋
371-0207 群馬県 前橋市 粕川町稲里
371-0211 群馬県 前橋市 粕川町上東田面
371-0212 群馬県 前橋市 粕川町下東田面
371-0213 群馬県 前橋市 粕川町一日市
371-0214 群馬県 前橋市 粕川町女渕
371-0215 群馬県 前橋市 粕川町深津
371-0216 群馬県 前橋市 粕川町込皆戸
371-0217 群馬県 前橋市 粕川町西田面
371-0218 群馬県 前橋市 粕川町前皆戸
371-0221 群馬県 前橋市 樋越町
371-0222 群馬県 前橋市 上大屋町
371-0223 群馬県 前橋市 大胡町
371-0224 群馬県 前橋市 河原浜町
371-0231 群馬県 前橋市 堀越町
371-0232 群馬県 前橋市 茂木町
371-0233 群馬県 前橋市 横沢町
371-0234 群馬県 前橋市 東金丸町
371-0235 群馬県 前橋市 滝窪町
371-0241 群馬県 前橋市 苗ケ島町
371-0242 群馬県 前橋市 馬場町
371-0243 群馬県 前橋市 大前田町
371-0244 群馬県 前橋市 鼻毛石町
371-0245 群馬県 前橋市 市之関町
371-0246 群馬県 前橋市 柏倉町
371-0247 群馬県 前橋市 三夜沢町
371-0294 群馬県 前橋市 鼻毛石町
371-0801 群馬県 前橋市 文京町
371-0802 群馬県 前橋市 天川町
371-0803 群馬県 前橋市 天川原町
371-0804 群馬県 前橋市 六供町
371-0805 群馬県 前橋市 南町
371-0811 群馬県 前橋市 朝倉町
371-0812 群馬県 前橋市 広瀬町
371-0813 群馬県 前橋市 後閑町
371-0814 群馬県 前橋市 宮地町
371-0815 群馬県 前橋市 下佐鳥町
371-0816 群馬県 前橋市 上佐鳥町
371-0817 群馬県 前橋市 ぬで島町
371-0821 群馬県 前橋市 上新田町
371-0822 群馬県 前橋市 下新田町
371-0823 群馬県 前橋市 川曲町
371-0824 群馬県 前橋市 稲荷新田町
371-0825 群馬県 前橋市 大利根町
371-0826 群馬県 前橋市 青葉町
371-0831 群馬県 前橋市 小相木町
371-0832 群馬県 前橋市 朝日が丘町
371-0833 群馬県 前橋市 光が丘町
371-0834 群馬県 前橋市 後家町
371-0835 群馬県 前橋市 前箱田町
371-0836 群馬県 前橋市 江田町
371-0837 群馬県 前橋市 箱田町
371-0841 群馬県 前橋市 石倉町
371-0842 群馬県 前橋市 下石倉町
371-0843 群馬県 前橋市 新前橋町
371-0844 群馬県 前橋市 古市町
371-0845 群馬県 前橋市 鳥羽町
371-0846 群馬県 前橋市 元総社町
371-0847 群馬県 前橋市 大友町
371-0851 群馬県 前橋市 総社町植野
371-0852 群馬県 前橋市 総社町総社
371-0853 群馬県 前橋市 総社町
371-0854 群馬県 前橋市 大渡町
371-0855 群馬県 前橋市 問屋町
371-0856 群馬県 前橋市 総社町高井
371-0857 群馬県 前橋市 高井町
371-0858 群馬県 前橋市 総社町桜が丘
371-8501 群馬県 前橋市 上細井町
371-8502 群馬県 前橋市 問屋町
371-8503 群馬県 前橋市 古市町
371-8504 群馬県 前橋市 古市町
371-8505 群馬県 前橋市 元総社町
371-8507 群馬県 前橋市 上泉町
371-8508 群馬県 前橋市 岩神町
371-8510 群馬県 前橋市 荒牧町
371-8511 群馬県 前橋市 昭和町
371-8512 群馬県 前橋市 昭和町
371-8513 群馬県 前橋市 昭和町
371-8514 群馬県 前橋市 昭和町
371-8516 群馬県 前橋市 本町
371-8517 群馬県 前橋市 新前橋町
371-8522 群馬県 前橋市 石倉町
371-8525 群馬県 前橋市 新前橋町
371-8539 群馬県 前橋市 大手町
371-8543 群馬県 前橋市 大渡町
371-8550 群馬県 前橋市 大手町
371-8551 群馬県 前橋市 表町
371-8567 群馬県 前橋市 大渡町
371-8570 群馬県 前橋市 大手町
371-8585 群馬県 前橋市 城東町
371-8601 群馬県 前橋市 大手町
371-8611 群馬県 前橋市 元総社町
371-8640 群馬県 前橋市 大手町
371-8666 群馬県 前橋市 古市町
371-8686 群馬県 前橋市 表町
372-0000 群馬県 伊勢崎市 
372-0001 群馬県 伊勢崎市 波志江町
372-0002 群馬県 伊勢崎市 堤西町
372-0003 群馬県 伊勢崎市 華蔵寺町
372-0004 群馬県 伊勢崎市 堤下町
372-0005 群馬県 伊勢崎市 乾町
372-0006 群馬県 伊勢崎市 太田町
372-0007 群馬県 伊勢崎市 安堀町
372-0011 群馬県 伊勢崎市 三和町
372-0012 群馬県 伊勢崎市 豊城町
372-0013 群馬県 伊勢崎市 上植木本町
372-0014 群馬県 伊勢崎市 昭和町
372-0015 群馬県 伊勢崎市 鹿島町
372-0016 群馬県 伊勢崎市 本関町
372-0021 群馬県 伊勢崎市 上諏訪町
372-0022 群馬県 伊勢崎市 日乃出町
372-0023 群馬県 伊勢崎市 粕川町
372-0024 群馬県 伊勢崎市 下植木町
372-0025 群馬県 伊勢崎市 東本町
372-0026 群馬県 伊勢崎市 宮前町
372-0031 群馬県 伊勢崎市 今泉町
372-0032 群馬県 伊勢崎市 北千木町
372-0033 群馬県 伊勢崎市 南千木町
372-0034 群馬県 伊勢崎市 茂呂町
372-0036 群馬県 伊勢崎市 茂呂南町
372-0037 群馬県 伊勢崎市 美茂呂町
372-0038 群馬県 伊勢崎市 新栄町
372-0039 群馬県 伊勢崎市 ひろせ町
372-0041 群馬県 伊勢崎市 平和町
372-0042 群馬県 伊勢崎市 中央町
372-0043 群馬県 伊勢崎市 緑町
372-0044 群馬県 伊勢崎市 八坂町
372-0045 群馬県 伊勢崎市 上泉町
372-0046 群馬県 伊勢崎市 三光町
372-0047 群馬県 伊勢崎市 本町
372-0048 群馬県 伊勢崎市 大手町
372-0051 群馬県 伊勢崎市 八幡町
372-0052 群馬県 伊勢崎市 寿町
372-0053 群馬県 伊勢崎市 宗高町
372-0054 群馬県 伊勢崎市 柳原町
372-0055 群馬県 伊勢崎市 曲輪町
372-0056 群馬県 伊勢崎市 喜多町
372-0057 群馬県 伊勢崎市 末広町
372-0058 群馬県 伊勢崎市 西田町
372-0801 群馬県 伊勢崎市 宮子町
372-0802 群馬県 伊勢崎市 田中島町
372-0803 群馬県 伊勢崎市 宮古町
372-0804 群馬県 伊勢崎市 稲荷町
372-0811 群馬県 伊勢崎市 若葉町
372-0812 群馬県 伊勢崎市 連取町
372-0813 群馬県 伊勢崎市 韮塚町
372-0814 群馬県 伊勢崎市 田中町
372-0815 群馬県 伊勢崎市 東上之宮町
372-0816 群馬県 伊勢崎市 西上之宮町
372-0817 群馬県 伊勢崎市 連取本町
372-0818 群馬県 伊勢崎市 連取元町
372-0821 群馬県 伊勢崎市 阿弥大寺町
372-0822 群馬県 伊勢崎市 中町
372-0823 群馬県 伊勢崎市 今井町
372-0824 群馬県 伊勢崎市 柴町
372-0825 群馬県 伊勢崎市 戸谷塚町
372-0826 群馬県 伊勢崎市 福島町
372-0827 群馬県 伊勢崎市 八斗島町
372-0831 群馬県 伊勢崎市 山王町
372-0832 群馬県 伊勢崎市 除ケ町
372-0833 群馬県 伊勢崎市 富塚町
372-0834 群馬県 伊勢崎市 堀口町
372-0841 群馬県 伊勢崎市 大正寺町
372-0842 群馬県 伊勢崎市 馬見塚町
372-0843 群馬県 伊勢崎市 下道寺町
372-0844 群馬県 伊勢崎市 羽黒町
372-0851 群馬県 伊勢崎市 上蓮町
372-0852 群馬県 伊勢崎市 下蓮町
372-0853 群馬県 伊勢崎市 国領町
372-0854 群馬県 伊勢崎市 飯島町
372-0855 群馬県 伊勢崎市 長沼町
372-8501 群馬県 伊勢崎市 今泉町
372-8502 群馬県 伊勢崎市 寿町
372-8508 群馬県 伊勢崎市 末広町
372-8558 群馬県 伊勢崎市 八斗島町
372-8567 群馬県 伊勢崎市 長沼町
372-8580 群馬県 伊勢崎市 富塚町
372-8585 群馬県 伊勢崎市 長沼町
372-8588 群馬県 伊勢崎市 戸谷塚町
372-8686 群馬県 伊勢崎市 鹿島町
373-0000 群馬県 太田市 
373-0001 群馬県 太田市 西長岡町
373-0002 群馬県 太田市 菅塩町
373-0003 群馬県 太田市 北金井町
373-0004 群馬県 太田市 強戸町
373-0006 群馬県 太田市 成塚町
373-0007 群馬県 太田市 石橋町
373-0008 群馬県 太田市 鶴生田町
373-0011 群馬県 太田市 只上町
373-0012 群馬県 太田市 清原町
373-0013 群馬県 太田市 市場町
373-0014 群馬県 太田市 植木野町
373-0015 群馬県 太田市 東新町
373-0016 群馬県 太田市 矢田堀町
373-0018 群馬県 太田市 丸山町
373-0019 群馬県 太田市 吉沢町
373-0021 群馬県 太田市 東今泉町
373-0022 群馬県 太田市 東金井町
373-0023 群馬県 太田市 富若町
373-0024 群馬県 太田市 上小林町
373-0025 群馬県 太田市 熊野町
373-0026 群馬県 太田市 東本町
373-0027 群馬県 太田市 金山町
373-0028 群馬県 太田市 スバル町
373-0029 群馬県 太田市 韮川町
373-0031 群馬県 太田市 脇屋町
373-0032 群馬県 太田市 新野町
373-0033 群馬県 太田市 西本町
373-0034 群馬県 太田市 藤阿久町
373-0035 群馬県 太田市 藤久良町
373-0036 群馬県 太田市 由良町
373-0037 群馬県 太田市 新道町
373-0038 群馬県 太田市 城西町
373-0041 群馬県 太田市 別所町
373-0042 群馬県 太田市 宝町
373-0043 群馬県 太田市 西野谷町
373-0044 群馬県 太田市 上田島町
373-0045 群馬県 太田市 沖野町
373-0051 群馬県 太田市 天良町
373-0052 群馬県 太田市 寺井町
373-0053 群馬県 太田市 鳥山町
373-0054 群馬県 太田市 長手町
373-0055 群馬県 太田市 大島町
373-0056 群馬県 太田市 八幡町
373-0057 群馬県 太田市 本町
373-0061 群馬県 太田市 鳥山上町
373-0062 群馬県 太田市 鳥山中町
373-0063 群馬県 太田市 鳥山下町
373-0071 群馬県 太田市 原宿町
373-0072 群馬県 太田市 高瀬町
373-0073 群馬県 太田市 緑町
373-0074 群馬県 太田市 上強戸町
373-0075 群馬県 太田市 大鷲町
373-0801 群馬県 太田市 台之郷町
373-0802 群馬県 太田市 矢場新町
373-0803 群馬県 太田市 矢場町
373-0804 群馬県 太田市 沖之郷町
373-0805 群馬県 太田市 八重笠町
373-0806 群馬県 太田市 龍舞町
373-0807 群馬県 太田市 下小林町
373-0808 群馬県 太田市 石原町
373-0809 群馬県 太田市 茂木町
373-0811 群馬県 太田市 安良岡町
373-0812 群馬県 太田市 東長岡町
373-0813 群馬県 太田市 内ケ島町
373-0814 群馬県 太田市 朝日町
373-0815 群馬県 太田市 東別所町
373-0816 群馬県 太田市 東矢島町
373-0817 群馬県 太田市 飯塚町
373-0818 群馬県 太田市 小舞木町
373-0819 群馬県 太田市 新島町
373-0821 群馬県 太田市 下浜田町
373-0822 群馬県 太田市 庄屋町
373-0823 群馬県 太田市 西矢島町
373-0824 群馬県 太田市 高林寿町
373-0825 群馬県 太田市 高林東町
373-0826 群馬県 太田市 古戸町
373-0827 群馬県 太田市 高林南町
373-0828 群馬県 太田市 高林西町
373-0829 群馬県 太田市 高林北町
373-0831 群馬県 太田市 福沢町
373-0832 群馬県 太田市 富沢町
373-0833 群馬県 太田市 牛沢町
373-0841 群馬県 太田市 岩瀬川町
373-0842 群馬県 太田市 細谷町
373-0843 群馬県 太田市 米沢町
373-0844 群馬県 太田市 下田島町
373-0845 群馬県 太田市 泉町
373-0846 群馬県 太田市 中根町
373-0847 群馬県 太田市 西新町
373-0851 群馬県 太田市 飯田町
373-0852 群馬県 太田市 新井町
373-0853 群馬県 太田市 浜町
373-0861 群馬県 太田市 南矢島町
373-0862 群馬県 太田市 末広町
373-8501 群馬県 太田市 脇屋町
373-8505 群馬県 太田市 西新町
373-8508 群馬県 太田市 西本町
373-8509 群馬県 太田市 西本町
373-8510 群馬県 太田市 新島町
373-8511 群馬県 太田市 八幡町
373-8513 群馬県 太田市 東今泉町
373-8515 群馬県 太田市 藤阿久町
373-8521 群馬県 太田市 浜町
373-8530 群馬県 太田市 東本町
373-8531 群馬県 太田市 浜町
373-8540 群馬県 太田市 東新町
373-8550 群馬県 太田市 高林西町
373-8551 群馬県 太田市 清原町
373-8555 群馬県 太田市 スバル町
373-8557 群馬県 太田市 清原町
373-8560 群馬県 太田市 本町
373-8561 群馬県 太田市 西長岡町
373-8567 群馬県 太田市 清原町
373-8578 群馬県 太田市 吉沢町
373-8585 群馬県 太田市 八幡町
373-8588 群馬県 太田市 由良町
373-8601 群馬県 太田市 高林東町
373-8610 群馬県 太田市 東本町
373-8611 群馬県 太田市 飯田町
373-8622 群馬県 太田市 別所町
373-8630 群馬県 太田市 南矢島町
373-8639 群馬県 太田市 飯田町
373-8660 群馬県 太田市 西矢島町
373-8666 群馬県 太田市 末広町
373-8686 群馬県 太田市 東本町
373-8688 群馬県 太田市 飯田町
373-8718 群馬県 太田市 浜町
374-0000 群馬県 館林市 
374-0001 群馬県 館林市 大島町
374-0002 群馬県 館林市 田谷町
374-0003 群馬県 館林市 四ツ谷町
374-0004 群馬県 館林市 楠町
374-0005 群馬県 館林市 花山町
374-0006 群馬県 館林市 当郷町
374-0007 群馬県 館林市 若宮町
374-0008 群馬県 館林市 細内町
374-0009 群馬県 館林市 千塚町
374-0011 群馬県 館林市 羽附町
374-0012 群馬県 館林市 羽附旭町
374-0013 群馬県 館林市 赤生田町
374-0014 群馬県 館林市 赤生田本町
374-0015 群馬県 館林市 上赤生田町
374-0016 群馬県 館林市 松原
374-0017 群馬県 館林市 つつじ町
374-0018 群馬県 館林市 城町
374-0019 群馬県 館林市 尾曳町
374-0021 群馬県 館林市 瀬戸谷町
374-0022 群馬県 館林市 加法師町
374-0023 群馬県 館林市 大手町
374-0024 群馬県 館林市 本町
374-0025 群馬県 館林市 緑町
374-0026 群馬県 館林市 新宿
374-0027 群馬県 館林市 富士見町
374-0028 群馬県 館林市 千代田町
374-0029 群馬県 館林市 仲町
374-0031 群馬県 館林市 東美園町
374-0032 群馬県 館林市 南美園町
374-0033 群馬県 館林市 堀工町
374-0034 群馬県 館林市 分福町
374-0035 群馬県 館林市 青柳町
374-0036 群馬県 館林市 諏訪町
374-0037 群馬県 館林市 小桑原町
374-0038 群馬県 館林市 西美園町
374-0039 群馬県 館林市 美園町
374-0041 群馬県 館林市 富士原町
374-0042 群馬県 館林市 近藤町
374-0043 群馬県 館林市 苗木町
374-0044 群馬県 館林市 下三林町
374-0045 群馬県 館林市 入ケ谷町
374-0046 群馬県 館林市 上三林町
374-0047 群馬県 館林市 野辺町
374-0051 群馬県 館林市 新栄町
374-0052 群馬県 館林市 栄町
374-0053 群馬県 館林市 赤土町
374-0054 群馬県 館林市 大谷町
374-0055 群馬県 館林市 成島町
374-0056 群馬県 館林市 松沼町
374-0057 群馬県 館林市 北成島町
374-0061 群馬県 館林市 東広内町
374-0062 群馬県 館林市 広内町
374-0063 群馬県 館林市 朝日町
374-0064 群馬県 館林市 代官町
374-0065 群馬県 館林市 西本町
374-0066 群馬県 館林市 大街道
374-0067 群馬県 館林市 岡野町
374-0068 群馬県 館林市 台宿町
374-0069 群馬県 館林市 坂下町
374-0071 群馬県 館林市 下早川田町
374-0072 群馬県 館林市 大新田町
374-0073 群馬県 館林市 足次町
374-0074 群馬県 館林市 高根町
374-0075 群馬県 館林市 西高根町
374-0076 群馬県 館林市 日向町
374-0077 群馬県 館林市 木戸町
374-0078 群馬県 館林市 傍示塚町
374-0079 群馬県 館林市 上早川田町
374-0100 群馬県 邑楽郡板倉町 
374-0101 群馬県 邑楽郡板倉町 除川
374-0102 群馬県 邑楽郡板倉町 離
374-0103 群馬県 邑楽郡板倉町 細谷
374-0104 群馬県 邑楽郡板倉町 大荷場
374-0105 群馬県 邑楽郡板倉町 大曲
374-0106 群馬県 邑楽郡板倉町 西岡新田
374-0107 群馬県 邑楽郡板倉町 西岡
374-0111 群馬県 邑楽郡板倉町 海老瀬
374-0112 群馬県 邑楽郡板倉町 朝日野
374-0113 群馬県 邑楽郡板倉町 泉野
374-0121 群馬県 邑楽郡板倉町 下五箇
374-0122 群馬県 邑楽郡板倉町 大高嶋
374-0123 群馬県 邑楽郡板倉町 飯野
374-0131 群馬県 邑楽郡板倉町 大蔵
374-0132 群馬県 邑楽郡板倉町 板倉
374-0133 群馬県 邑楽郡板倉町 岩田
374-0134 群馬県 邑楽郡板倉町 籾谷
374-0135 群馬県 邑楽郡板倉町 内蔵新田
374-0192 群馬県 邑楽郡板倉町 板倉
374-0193 群馬県 邑楽郡板倉町 泉野
374-8501 群馬県 館林市 城町
374-8510 群馬県 館林市 栄町
374-8511 群馬県 館林市 近藤町
374-8512 群馬県 館林市 下早川田町
374-8518 群馬県 館林市 松原
374-8520 群馬県 館林市 栄町
374-8521 群馬県 館林市 近藤町
374-8533 群馬県 館林市 成島町
374-8555 群馬県 館林市 大谷町
374-8577 群馬県 館林市 近藤町
374-8588 群馬県 館林市 本町
374-8601 群馬県 館林市 本町
374-8608 群馬県 館林市 本町
374-8611 群馬県 館林市 赤生田町
374-8622 群馬県 館林市 大街道
374-8640 群馬県 館林市 大手町
374-8686 群馬県 館林市 仲町
375-0000 群馬県 藤岡市 
375-0001 群馬県 藤岡市 中島
375-0002 群馬県 藤岡市 立石
375-0003 群馬県 藤岡市 立石新田
375-0004 群馬県 藤岡市 森
375-0005 群馬県 藤岡市 中
375-0006 群馬県 藤岡市 森新田
375-0011 群馬県 藤岡市 岡之郷
375-0012 群馬県 藤岡市 下戸塚
375-0013 群馬県 藤岡市 上戸塚
375-0014 群馬県 藤岡市 下栗須
375-0015 群馬県 藤岡市 中栗須
375-0016 群馬県 藤岡市 上栗須
375-0017 群馬県 藤岡市 篠塚
375-0021 群馬県 藤岡市 小林
375-0022 群馬県 藤岡市 根岸
375-0023 群馬県 藤岡市 本郷
375-0024 群馬県 藤岡市 藤岡
375-0031 群馬県 藤岡市 矢場
375-0032 群馬県 藤岡市 神田
375-0033 群馬県 藤岡市 川除
375-0034 群馬県 藤岡市 牛田
375-0035 群馬県 藤岡市 保美
375-0036 群馬県 藤岡市 高山
375-0037 群馬県 藤岡市 三本木
375-0041 群馬県 藤岡市 緑埜
375-0042 群馬県 藤岡市 鮎川
375-0043 群馬県 藤岡市 東平井
375-0044 群馬県 藤岡市 西平井
375-0045 群馬県 藤岡市 金井
375-0046 群馬県 藤岡市 下日野
375-0047 群馬県 藤岡市 上日野
375-0051 群馬県 藤岡市 本動堂
375-0052 群馬県 藤岡市 下大塚
375-0053 群馬県 藤岡市 中大塚
375-0054 群馬県 藤岡市 上大塚
375-0055 群馬県 藤岡市 白石
375-0056 群馬県 藤岡市 三ツ木
375-0057 群馬県 藤岡市 上落合
375-8501 群馬県 藤岡市 立石
375-8502 群馬県 藤岡市 中栗須
375-8503 群馬県 藤岡市 藤岡
375-8504 群馬県 藤岡市 藤岡
375-8505 群馬県 藤岡市 森
375-8506 群馬県 藤岡市 藤岡
375-8601 群馬県 藤岡市 中栗須
375-8602 群馬県 藤岡市 藤岡
375-8603 群馬県 藤岡市 藤岡
375-8604 群馬県 藤岡市 藤岡
376-0000 群馬県 桐生市 
376-0001 群馬県 桐生市 菱町
376-0002 群馬県 桐生市 境野町
376-0003 群馬県 桐生市 琴平町
376-0004 群馬県 桐生市 小梅町
376-0005 群馬県 桐生市 三吉町
376-0006 群馬県 桐生市 新宿
376-0007 群馬県 桐生市 浜松町
376-0011 群馬県 桐生市 相生町
376-0012 群馬県 桐生市 桜木町
376-0013 群馬県 桐生市 広沢町
376-0014 群馬県 桐生市 広沢町間ノ島
376-0021 群馬県 桐生市 巴町
376-0022 群馬県 桐生市 稲荷町
376-0023 群馬県 桐生市 錦町
376-0024 群馬県 桐生市 織姫町
376-0025 群馬県 桐生市 美原町
376-0026 群馬県 桐生市 清瀬町
376-0027 群馬県 桐生市 元宿町
376-0031 群馬県 桐生市 本町
376-0032 群馬県 桐生市 東町
376-0033 群馬県 桐生市 泉町
376-0034 群馬県 桐生市 東
376-0035 群馬県 桐生市 仲町
376-0036 群馬県 桐生市 川岸町
376-0037 群馬県 桐生市 旭町
376-0038 群馬県 桐生市 高砂町
376-0041 群馬県 桐生市 川内町
376-0042 群馬県 桐生市 堤町
376-0043 群馬県 桐生市 小曾根町
376-0044 群馬県 桐生市 永楽町
376-0045 群馬県 桐生市 末広町
376-0046 群馬県 桐生市 宮前町
376-0051 群馬県 桐生市 平井町
376-0052 群馬県 桐生市 天神町
376-0053 群馬県 桐生市 東久方町
376-0054 群馬県 桐生市 西久方町
376-0055 群馬県 桐生市 横山町
376-0056 群馬県 桐生市 宮本町
376-0100 群馬県 みどり市 
376-0101 群馬県 みどり市 大間々町大間々
376-0102 群馬県 みどり市 大間々町桐原
376-0103 群馬県 みどり市 大間々町下神梅
376-0104 群馬県 みどり市 大間々町上神梅
376-0111 群馬県 みどり市 大間々町小平
376-0112 群馬県 みどり市 大間々町長尾根
376-0113 群馬県 みどり市 大間々町高津戸
376-0114 群馬県 みどり市 大間々町浅原
376-0115 群馬県 みどり市 大間々町塩原
376-0116 群馬県 みどり市 大間々町塩沢
376-0121 群馬県 桐生市 新里町新川
376-0122 群馬県 桐生市 新里町野
376-0123 群馬県 桐生市 新里町武井
376-0124 群馬県 桐生市 新里町小林
376-0125 群馬県 桐生市 新里町山上
376-0131 群馬県 桐生市 新里町奥沢
376-0132 群馬県 桐生市 新里町鶴ケ谷
376-0133 群馬県 桐生市 新里町大久保
376-0134 群馬県 桐生市 新里町関
376-0135 群馬県 桐生市 新里町高泉
376-0136 群馬県 桐生市 新里町板橋
376-0137 群馬県 桐生市 新里町赤城山
376-0141 群馬県 桐生市 黒保根町水沼
376-0142 群馬県 桐生市 黒保根町八木原
376-0143 群馬県 桐生市 黒保根町宿廻
376-0144 群馬県 桐生市 黒保根町下田沢
376-0145 群馬県 桐生市 黒保根町上田沢
376-0192 群馬県 みどり市 大間々町大間々
376-0193 群馬県 みどり市 大間々町大間々
376-0194 群馬県 桐生市 新里町武井
376-0301 群馬県 みどり市 東町沢入
376-0302 群馬県 みどり市 東町草木
376-0303 群馬県 みどり市 東町座間
376-0304 群馬県 みどり市 東町神戸
376-0305 群馬県 みどり市 東町小夜戸
376-0306 群馬県 みどり市 東町荻原
376-0307 群馬県 みどり市 東町花輪
376-0308 群馬県 みどり市 東町小中
376-0392 群馬県 みどり市 東町草木
376-0397 群馬県 みどり市 東町花輪
376-0601 群馬県 桐生市 梅田町
376-8501 群馬県 桐生市 織姫町
376-8502 群馬県 桐生市 広沢町
376-8503 群馬県 桐生市 広沢町
376-8510 群馬県 桐生市 永楽町
376-8515 群馬県 桐生市 天神町
376-8516 群馬県 桐生市 天神町
376-8523 群馬県 桐生市 相生町
376-8528 群馬県 桐生市 東
376-8531 群馬県 桐生市 相生町
376-8555 群馬県 桐生市 広沢町
376-8558 群馬県 桐生市 広沢町
376-8585 群馬県 桐生市 広沢町
376-8588 群馬県 桐生市 広沢町
376-8666 群馬県 桐生市 相生町
376-8668 群馬県 桐生市 錦町
376-8686 群馬県 桐生市 末広町
377-0000 群馬県 渋川市 
377-0002 群馬県 渋川市 中村
377-0003 群馬県 渋川市 八木原
377-0004 群馬県 渋川市 半田
377-0005 群馬県 渋川市 有馬
377-0006 群馬県 渋川市 行幸田
377-0007 群馬県 渋川市 石原
377-0008 群馬県 渋川市 渋川
377-0024 群馬県 渋川市 祖母島
377-0025 群馬県 渋川市 川島
377-0026 群馬県 渋川市 南牧
377-0027 群馬県 渋川市 金井
377-0031 群馬県 渋川市 阿久津
377-0051 群馬県 渋川市 北橘町赤城山
377-0052 群馬県 渋川市 北橘町上箱田
377-0053 群馬県 渋川市 北橘町箱田
377-0054 群馬県 渋川市 北橘町下南室
377-0055 群馬県 渋川市 北橘町上南室
377-0061 群馬県 渋川市 北橘町下箱田
377-0062 群馬県 渋川市 北橘町真壁
377-0063 群馬県 渋川市 北橘町分郷八崎
377-0064 群馬県 渋川市 北橘町八崎
377-0065 群馬県 渋川市 北橘町小室
377-0101 群馬県 渋川市 伊香保町湯中子
377-0102 群馬県 渋川市 伊香保町伊香保
377-0103 群馬県 渋川市 伊香保町水沢
377-0192 群馬県 渋川市 伊香保町伊香保
377-0193 群馬県 渋川市 伊香保町伊香保
377-0195 群馬県 渋川市 伊香保町伊香保
377-0201 群馬県 渋川市 上白井
377-0202 群馬県 渋川市 中郷
377-0203 群馬県 渋川市 吹屋
377-0204 群馬県 渋川市 白井
377-0205 群馬県 渋川市 北牧
377-0206 群馬県 渋川市 横堀
377-0292 群馬県 渋川市 吹屋
377-0293 群馬県 渋川市 中郷
377-0294 群馬県 渋川市 吹屋
377-0301 群馬県 吾妻郡東吾妻町 箱島
377-0302 群馬県 吾妻郡東吾妻町 岡崎
377-0303 群馬県 吾妻郡東吾妻町 新巻
377-0304 群馬県 吾妻郡東吾妻町 奥田
377-0305 群馬県 吾妻郡東吾妻町 五町田
377-0311 群馬県 渋川市 村上
377-0312 群馬県 渋川市 小野子
377-0392 群馬県 渋川市 村上
377-0395 群馬県 吾妻郡東吾妻町 奥田
377-0400 群馬県 吾妻郡中之条町 
377-0411 群馬県 吾妻郡中之条町 大道
377-0412 群馬県 吾妻郡中之条町 栃窪
377-0413 群馬県 吾妻郡中之条町 大塚
377-0414 群馬県 吾妻郡中之条町 平
377-0415 群馬県 吾妻郡中之条町 横尾
377-0416 群馬県 吾妻郡中之条町 蟻川
377-0417 群馬県 吾妻郡中之条町 赤坂
377-0421 群馬県 吾妻郡中之条町 市城
377-0422 群馬県 吾妻郡中之条町 青山
377-0423 群馬県 吾妻郡中之条町 伊勢町
377-0424 群馬県 吾妻郡中之条町 中之条町
377-0425 群馬県 吾妻郡中之条町 西中之条
377-0431 群馬県 吾妻郡中之条町 岩本
377-0432 群馬県 吾妻郡中之条町 五反田
377-0433 群馬県 吾妻郡中之条町 折田
377-0434 群馬県 吾妻郡中之条町 山田
377-0492 群馬県 吾妻郡中之条町 伊勢町
377-0494 群馬県 吾妻郡中之条町 中之条町
377-0541 群馬県 吾妻郡中之条町 上沢渡
377-0542 群馬県 吾妻郡中之条町 下沢渡
377-0543 群馬県 吾妻郡中之条町 山田
377-0543 群馬県 吾妻郡中之条町 山田
377-0544 群馬県 吾妻郡中之条町 折田
377-0601 群馬県 吾妻郡中之条町 四万
377-0700 群馬県 吾妻郡高山村 
377-0701 群馬県 吾妻郡高山村 尻高
377-0702 群馬県 吾妻郡高山村 中山
377-0792 群馬県 吾妻郡高山村 中山
377-0800 群馬県 吾妻郡東吾妻町 
