250-0000 神奈川県 小田原市 
254-0088 神奈川県 平塚市 北豊田
254-0801 神奈川県 平塚市 久領堤
254-0802 神奈川県 平塚市 札場町
254-0803 神奈川県 平塚市 千石河岸
254-0804 神奈川県 平塚市 幸町
254-0805 神奈川県 平塚市 高浜台
254-0806 神奈川県 平塚市 夕陽ケ丘
254-0807 神奈川県 平塚市 代官町
254-0811 神奈川県 平塚市 八重咲町
254-0812 神奈川県 平塚市 松風町
254-0813 神奈川県 平塚市 袖ケ浜
254-0814 神奈川県 平塚市 龍城ケ丘
254-0815 神奈川県 平塚市 桃浜町
254-0821 神奈川県 平塚市 黒部丘
254-0822 神奈川県 平塚市 菫平
254-0823 神奈川県 平塚市 虹ケ浜
254-0824 神奈川県 平塚市 花水台
254-0825 神奈川県 平塚市 撫子原
254-0826 神奈川県 平塚市 唐ケ原
254-0901 神奈川県 平塚市 纒
254-0902 神奈川県 平塚市 徳延
254-0903 神奈川県 平塚市 河内
254-0904 神奈川県 平塚市 根坂間
254-0905 神奈川県 平塚市 日向岡
254-0906 神奈川県 平塚市 公所
254-0911 神奈川県 平塚市 山下
254-0912 神奈川県 平塚市 高根
254-0913 神奈川県 平塚市 万田
254-0914 神奈川県 平塚市 高村
254-0915 神奈川県 平塚市 出縄
254-8501 神奈川県 平塚市 八重咲町
254-8502 神奈川県 平塚市 追分
254-8530 神奈川県 平塚市 東八幡
254-8532 神奈川県 平塚市 宮松町
254-8533 神奈川県 平塚市 松風町
254-8543 神奈川県 平塚市 四之宮
254-8555 神奈川県 平塚市 四之宮
254-8585 神奈川県 平塚市 西八幡
254-8588 神奈川県 平塚市 四之宮
254-8601 神奈川県 平塚市 追分
254-8610 神奈川県 平塚市 天沼
254-8612 神奈川県 平塚市 西真土
254-8614 神奈川県 平塚市 西真土
254-8686 神奈川県 平塚市 浅間町
255-0000 神奈川県 中郡大磯町 
255-0001 神奈川県 中郡大磯町 高麗
255-0002 神奈川県 中郡大磯町 東町
255-0003 神奈川県 中郡大磯町 大磯
255-0004 神奈川県 中郡大磯町 東小磯
255-0005 神奈川県 中郡大磯町 西小磯
255-8555 神奈川県 中郡大磯町 東小磯
256-0801 神奈川県 小田原市 沼代
256-0802 神奈川県 小田原市 小竹
256-0803 神奈川県 小田原市 中村原
256-0804 神奈川県 小田原市 羽根尾
256-0805 神奈川県 小田原市 上町
256-0806 神奈川県 小田原市 小船
256-0807 神奈川県 小田原市 山西
256-0808 神奈川県 小田原市 東ヶ丘
256-0811 神奈川県 小田原市 田島
256-0812 神奈川県 小田原市 国府津
256-0813 神奈川県 小田原市 前川
256-0814 神奈川県 小田原市 川匂
256-0815 神奈川県 小田原市 小八幡
256-0816 神奈川県 小田原市 酒匂
256-0817 神奈川県 小田原市 西酒匂
256-8510 神奈川県 小田原市 国府津
257-0000 神奈川県 秦野市 
257-0001 神奈川県 秦野市 鶴巻北
257-0002 神奈川県 秦野市 鶴巻南
257-0003 神奈川県 秦野市 南矢名
257-0004 神奈川県 秦野市 下大槻
257-0005 神奈川県 秦野市 上大槻
257-0006 神奈川県 秦野市 北矢名
257-0007 神奈川県 秦野市 鶴巻
257-0011 神奈川県 秦野市 尾尻
257-0012 神奈川県 秦野市 西大竹
257-0013 神奈川県 秦野市 南が丘
257-0014 神奈川県 秦野市 今泉
257-0015 神奈川県 秦野市 平沢
257-0016 神奈川県 秦野市 栃窪
257-0017 神奈川県 秦野市 立野台
257-0018 神奈川県 秦野市 今泉台
257-0021 神奈川県 秦野市 蓑毛
257-0022 神奈川県 秦野市 小蓑毛
257-0023 神奈川県 秦野市 寺山
257-0024 神奈川県 秦野市 名古木
257-0025 神奈川県 秦野市 落合
257-0026 神奈川県 秦野市 下落合
257-0027 神奈川県 秦野市 西田原
257-0028 神奈川県 秦野市 東田原
257-0031 神奈川県 秦野市 曽屋
257-0032 神奈川県 秦野市 河原町
257-0033 神奈川県 秦野市 室町
257-0034 神奈川県 秦野市 大秦町
257-0035 神奈川県 秦野市 本町
257-0036 神奈川県 秦野市 元町
257-0037 神奈川県 秦野市 末広町
257-0041 神奈川県 秦野市 入船町
257-0042 神奈川県 秦野市 寿町
257-0043 神奈川県 秦野市 栄町
257-0044 神奈川県 秦野市 文京町
257-0045 神奈川県 秦野市 桜町
257-0046 神奈川県 秦野市 ひばりケ丘
257-0047 神奈川県 秦野市 水神町
257-0048 神奈川県 秦野市 幸町
257-0051 神奈川県 秦野市 今川町
257-0052 神奈川県 秦野市 上今川町
257-0053 神奈川県 秦野市 清水町
257-0054 神奈川県 秦野市 緑町
257-0055 神奈川県 秦野市 鈴張町
257-0056 神奈川県 秦野市 新町
257-0057 神奈川県 秦野市 富士見町
257-0061 神奈川県 愛甲郡清川村 煤ケ谷
257-8501 神奈川県 秦野市 桜町
257-8502 神奈川県 秦野市 曽屋
257-8511 神奈川県 秦野市 曽屋
257-8522 神奈川県 秦野市 桜町
257-8523 神奈川県 秦野市 落合
257-8533 神奈川県 秦野市 曽屋
257-8555 神奈川県 秦野市 曽屋
257-8566 神奈川県 秦野市 曽屋
257-8584 神奈川県 秦野市 名古木
257-8585 神奈川県 秦野市 落合
257-8586 神奈川県 秦野市 平沢
257-8588 神奈川県 秦野市 落合
257-8686 神奈川県 秦野市 曽屋
258-0000 神奈川県 足柄上郡大井町 
258-0000 神奈川県 足柄上郡松田町 
258-0000 神奈川県 足柄上郡開成町 
258-0001 神奈川県 足柄上郡松田町 寄
258-0002 神奈川県 足柄上郡松田町 神山
258-0003 神奈川県 足柄上郡松田町 松田惣領
258-0004 神奈川県 足柄上郡松田町 松田庶子
258-0011 神奈川県 足柄上郡大井町 篠窪
258-0012 神奈川県 足柄上郡大井町 柳
258-0013 神奈川県 足柄上郡大井町 高尾
258-0014 神奈川県 足柄上郡大井町 赤田
258-0015 神奈川県 足柄上郡大井町 山田
258-0016 神奈川県 足柄上郡大井町 上大井
258-0017 神奈川県 足柄上郡大井町 西大井
258-0018 神奈川県 足柄上郡大井町 金手
258-0019 神奈川県 足柄上郡大井町 金子
258-0021 神奈川県 足柄上郡開成町 吉田島
258-0022 神奈川県 足柄上郡開成町 牛島
258-0023 神奈川県 足柄上郡開成町 宮台
258-0024 神奈川県 足柄上郡開成町 中之名
258-0025 神奈川県 足柄上郡開成町 円通寺
258-0026 神奈川県 足柄上郡開成町 延沢
258-0027 神奈川県 足柄上郡開成町 岡野
258-0028 神奈川県 足柄上郡開成町 金井島
258-0100 神奈川県 足柄上郡山北町 
258-0111 神奈川県 足柄上郡山北町 向原
258-0112 神奈川県 足柄上郡山北町 岸
258-0113 神奈川県 足柄上郡山北町 山北
258-0114 神奈川県 足柄上郡山北町 平山
258-0115 神奈川県 足柄上郡山北町 谷ケ
258-0121 神奈川県 足柄上郡山北町 皆瀬川
258-0122 神奈川県 足柄上郡山北町 都夫良野
258-0123 神奈川県 足柄上郡山北町 湯触
258-0124 神奈川県 足柄上郡山北町 川西
258-0125 神奈川県 足柄上郡山北町 山市場
258-0126 神奈川県 足柄上郡山北町 神縄
258-0195 神奈川県 足柄上郡山北町 山北
258-0201 神奈川県 足柄上郡山北町 中川
258-0202 神奈川県 足柄上郡山北町 玄倉
258-0203 神奈川県 足柄上郡山北町 神尾田
258-0204 神奈川県 足柄上郡山北町 世附
258-8501 神奈川県 足柄上郡大井町 金子
258-8506 神奈川県 足柄上郡開成町 延沢
258-8508 神奈川県 足柄上郡松田町 松田惣領
258-8511 神奈川県 足柄上郡大井町 上大井
258-8533 神奈川県 足柄上郡大井町 西大井
258-8538 神奈川県 足柄上郡開成町 宮台
258-8585 神奈川県 足柄上郡松田町 松田惣領
259-0100 神奈川県 中郡二宮町 
259-0100 神奈川県 足柄上郡中井町 
259-0101 神奈川県 中郡大磯町 寺坂
259-0102 神奈川県 中郡大磯町 生沢
259-0103 神奈川県 中郡大磯町 虫窪
259-0104 神奈川県 中郡大磯町 西久保
259-0105 神奈川県 中郡大磯町 黒岩
259-0111 神奈川県 中郡大磯町 国府本郷
259-0112 神奈川県 中郡大磯町 国府新宿
259-0113 神奈川県 中郡大磯町 石神台
259-0114 神奈川県 中郡大磯町 月京
259-0121 神奈川県 中郡二宮町 松根
259-0122 神奈川県 中郡二宮町 富士見が丘
259-0123 神奈川県 中郡二宮町 二宮
259-0124 神奈川県 中郡二宮町 山西
259-0125 神奈川県 中郡二宮町 川匂
259-0131 神奈川県 中郡二宮町 中里
259-0132 神奈川県 中郡二宮町 緑が丘
259-0133 神奈川県 中郡二宮町 百合が丘
259-0134 神奈川県 中郡二宮町 一色
259-0141 神奈川県 足柄上郡中井町 遠藤
259-0142 神奈川県 足柄上郡中井町 久所
259-0143 神奈川県 足柄上郡中井町 北田
259-0144 神奈川県 足柄上郡中井町 半分形
259-0145 神奈川県 足柄上郡中井町 田中
259-0146 神奈川県 足柄上郡中井町 古怒田
259-0147 神奈川県 足柄上郡中井町 鴨沢
259-0148 神奈川県 足柄上郡中井町 雑色
259-0151 神奈川県 足柄上郡中井町 井ノ口
259-0152 神奈川県 足柄上郡中井町 藤沢
259-0153 神奈川県 足柄上郡中井町 比奈窪
259-0154 神奈川県 足柄上郡中井町 岩倉
259-0155 神奈川県 足柄上郡中井町 松本
259-0156 神奈川県 足柄上郡中井町 境別所
259-0157 神奈川県 足柄上郡中井町 境
259-0192 神奈川県 足柄上郡中井町 久所
259-0193 神奈川県 中郡大磯町 国府本郷
259-0194 神奈川県 足柄上郡中井町 藤沢
259-0196 神奈川県 中郡二宮町 二宮
259-0197 神奈川県 足柄上郡中井町 比奈窪
259-0198 神奈川県 中郡大磯町 月京
259-0200 神奈川県 足柄下郡真鶴町 
259-0201 神奈川県 足柄下郡真鶴町 真鶴
259-0202 神奈川県 足柄下郡真鶴町 岩
259-0300 神奈川県 足柄下郡湯河原町 
259-0301 神奈川県 足柄下郡湯河原町 中央
259-0302 神奈川県 足柄下郡湯河原町 門川
259-0303 神奈川県 足柄下郡湯河原町 土肥
259-0304 神奈川県 足柄下郡湯河原町 宮下
259-0305 神奈川県 足柄下郡湯河原町 城堀
259-0311 神奈川県 足柄下郡湯河原町 福浦
259-0312 神奈川県 足柄下郡湯河原町 吉浜
259-0313 神奈川県 足柄下郡湯河原町 鍛冶屋
259-0314 神奈川県 足柄下郡湯河原町 宮上
259-0316 神奈川県 足柄下郡湯河原町 福浦吉浜
259-0317 神奈川県 足柄下郡湯河原町 福浦鍛冶屋
259-0318 神奈川県 足柄下郡湯河原町 吉浜福浦
259-0392 神奈川県 足柄下郡湯河原町 中央
259-0393 神奈川県 足柄下郡湯河原町 土肥
259-0395 神奈川県 足柄下郡湯河原町 吉浜
259-0396 神奈川県 足柄下郡湯河原町 宮上
259-1100 神奈川県 伊勢原市 
259-1101 神奈川県 伊勢原市 日向
259-1102 神奈川県 伊勢原市 子易
259-1103 神奈川県 伊勢原市 三ノ宮
259-1104 神奈川県 伊勢原市 坪ノ内
259-1105 神奈川県 伊勢原市 大住台
259-1106 神奈川県 伊勢原市 善波
259-1107 神奈川県 伊勢原市 大山
259-1111 神奈川県 伊勢原市 西富岡
259-1112 神奈川県 伊勢原市 東富岡
259-1113 神奈川県 伊勢原市 粟窪
259-1114 神奈川県 伊勢原市 高森
259-1115 神奈川県 伊勢原市 高森台
259-1116 神奈川県 伊勢原市 石田
259-1117 神奈川県 伊勢原市 東成瀬
259-1118 神奈川県 伊勢原市 見附島
259-1121 神奈川県 伊勢原市 下落合
259-1122 神奈川県 伊勢原市 小稲葉
259-1123 神奈川県 伊勢原市 下谷
259-1124 神奈川県 伊勢原市 上平間
259-1125 神奈川県 伊勢原市 下平間
259-1126 神奈川県 伊勢原市 沼目
259-1127 神奈川県 伊勢原市 上谷
259-1128 神奈川県 伊勢原市 歌川
259-1131 神奈川県 伊勢原市 伊勢原
259-1132 神奈川県 伊勢原市 桜台
259-1133 神奈川県 伊勢原市 東大竹
259-1134 神奈川県 伊勢原市 八幡台
259-1135 神奈川県 伊勢原市 岡崎
259-1136 神奈川県 伊勢原市 串橋
259-1137 神奈川県 伊勢原市 笠窪
259-1138 神奈川県 伊勢原市 神戸
259-1141 神奈川県 伊勢原市 上粕屋
259-1142 神奈川県 伊勢原市 田中
259-1143 神奈川県 伊勢原市 下糟屋
259-1144 神奈川県 伊勢原市 池端
259-1145 神奈川県 伊勢原市 板戸
259-1146 神奈川県 伊勢原市 鈴川
259-1147 神奈川県 伊勢原市 白根
259-1185 神奈川県 伊勢原市 見附島
259-1188 神奈川県 伊勢原市 田中
259-1192 神奈川県 伊勢原市 板戸
259-1193 神奈川県 伊勢原市 下糟屋
259-1195 神奈川県 伊勢原市 鈴川
259-1196 神奈川県 伊勢原市 石田
259-1197 神奈川県 伊勢原市 上粕屋
259-1198 神奈川県 伊勢原市 鈴川
259-1201 神奈川県 平塚市 南金目
259-1202 神奈川県 平塚市 千須谷
259-1203 神奈川県 平塚市 下吉沢
259-1204 神奈川県 平塚市 上吉沢
259-1205 神奈川県 平塚市 土屋
259-1206 神奈川県 平塚市 真田
259-1207 神奈川県 平塚市 北金目
259-1211 神奈川県 平塚市 ふじみ野
259-1212 神奈川県 平塚市 岡崎
259-1213 神奈川県 平塚市 片岡
259-1214 神奈川県 平塚市 飯島
259-1215 神奈川県 平塚市 寺田縄
259-1216 神奈川県 平塚市 入野
259-1217 神奈川県 平塚市 長持
259-1218 神奈川県 平塚市 入部
259-1219 神奈川県 平塚市 広川
259-1220 神奈川県 平塚市 めぐみが丘
259-1292 神奈川県 平塚市 北金目
259-1293 神奈川県 平塚市 土屋
259-1301 神奈川県 秦野市 羽根
259-1302 神奈川県 秦野市 菩提
259-1303 神奈川県 秦野市 三屋
259-1304 神奈川県 秦野市 堀山下
259-1305 神奈川県 秦野市 堀川
259-1306 神奈川県 秦野市 戸川
259-1307 神奈川県 秦野市 横野
259-1311 神奈川県 秦野市 弥生町
259-1312 神奈川県 秦野市 春日町
259-1313 神奈川県 秦野市 松原町
259-1314 神奈川県 秦野市 若松町
259-1315 神奈川県 秦野市 柳町
259-1316 神奈川県 秦野市 沼代新町
259-1317 神奈川県 秦野市 並木町
259-1321 神奈川県 秦野市 曲松
259-1322 神奈川県 秦野市 渋沢
259-1323 神奈川県 秦野市 栃窪
259-1324 神奈川県 秦野市 千村
259-1325 神奈川県 秦野市 萩が丘
259-1326 神奈川県 秦野市 渋沢上
259-1331 神奈川県 秦野市 堀西
259-1332 神奈川県 秦野市 菖蒲
259-1333 神奈川県 秦野市 八沢
259-1334 神奈川県 秦野市 柳川
259-1335 神奈川県 秦野市 三廻部
259-1392 神奈川県 秦野市 堀山下
259-1396 神奈川県 秦野市 堀山下
