340-0000 埼玉県 草加市 
348-0014 埼玉県 羽生市 喜右エ門新田
348-0015 埼玉県 羽生市 北荻島
348-0016 埼玉県 羽生市 大沼
348-0017 埼玉県 羽生市 今泉
348-0021 埼玉県 羽生市 中手子林
348-0022 埼玉県 羽生市 下手子林
348-0023 埼玉県 羽生市 町屋
348-0024 埼玉県 羽生市 神戸
348-0025 埼玉県 羽生市 上手子林
348-0026 埼玉県 羽生市 下羽生
348-0027 埼玉県 羽生市 上羽生
348-0028 埼玉県 羽生市 北袋
348-0031 埼玉県 羽生市 加羽ケ崎
348-0032 埼玉県 羽生市 秀安
348-0033 埼玉県 羽生市 須影
348-0034 埼玉県 羽生市 下川崎
348-0035 埼玉県 羽生市 上川崎
348-0036 埼玉県 羽生市 砂山
348-0037 埼玉県 羽生市 小松
348-0038 埼玉県 羽生市 小松台
348-0039 埼玉県 羽生市 川崎
348-0041 埼玉県 羽生市 上新郷
348-0042 埼玉県 羽生市 小須賀
348-0043 埼玉県 羽生市 桑崎
348-0044 埼玉県 羽生市 上岩瀬
348-0045 埼玉県 羽生市 下岩瀬
348-0046 埼玉県 羽生市 中岩瀬
348-0047 埼玉県 羽生市 下新郷
348-0048 埼玉県 羽生市 下新田
348-0051 埼玉県 羽生市 本川俣
348-0052 埼玉県 羽生市 東
348-0053 埼玉県 羽生市 南
348-0054 埼玉県 羽生市 西
348-0055 埼玉県 羽生市 羽生
348-0056 埼玉県 羽生市 上川俣
348-0057 埼玉県 羽生市 北
348-0058 埼玉県 羽生市 中央
348-0061 埼玉県 羽生市 稲子
348-0062 埼玉県 羽生市 尾崎
348-0063 埼玉県 羽生市 発戸
348-0064 埼玉県 羽生市 藤井上組
348-0065 埼玉県 羽生市 藤井下組
348-0071 埼玉県 羽生市 南羽生
348-8501 埼玉県 羽生市 東
348-8503 埼玉県 羽生市 小松台
348-8505 埼玉県 羽生市 上岩瀬
348-8506 埼玉県 羽生市 大沼
348-8507 埼玉県 羽生市 秀安
348-8512 埼玉県 羽生市 北
348-8513 埼玉県 羽生市 東
348-8525 埼玉県 羽生市 下川崎
348-8530 埼玉県 羽生市 砂山
348-8540 埼玉県 羽生市 小松台
348-8549 埼玉県 羽生市 上村君
348-8555 埼玉県 羽生市 弥勒
348-8601 埼玉県 羽生市 東
349-0100 埼玉県 蓮田市 
349-0101 埼玉県 蓮田市 黒浜
349-0102 埼玉県 蓮田市 江ケ崎
349-0103 埼玉県 蓮田市 笹山
349-0104 埼玉県 蓮田市 緑町
349-0111 埼玉県 蓮田市 東
349-0112 埼玉県 蓮田市 川島
349-0113 埼玉県 蓮田市 桜台
349-0114 埼玉県 蓮田市 馬込
349-0115 埼玉県 蓮田市 蓮田
349-0121 埼玉県 蓮田市 関山
349-0122 埼玉県 蓮田市 上
349-0123 埼玉県 蓮田市 本町
349-0124 埼玉県 蓮田市 末広
349-0125 埼玉県 蓮田市 御前橋
349-0126 埼玉県 蓮田市 綾瀬
349-0127 埼玉県 蓮田市 見沼町
349-0128 埼玉県 蓮田市 山ノ内
349-0131 埼玉県 蓮田市 根金
349-0132 埼玉県 蓮田市 貝塚
349-0133 埼玉県 蓮田市 閏戸
349-0134 埼玉県 蓮田市 駒崎
349-0135 埼玉県 蓮田市 井沼
349-0136 埼玉県 蓮田市 上平野
349-0137 埼玉県 蓮田市 高虫
349-0141 埼玉県 蓮田市 西新宿
349-0142 埼玉県 蓮田市 南新宿
349-0143 埼玉県 蓮田市 城
349-0144 埼玉県 蓮田市 椿山
349-0145 埼玉県 蓮田市 西城
349-0192 埼玉県 蓮田市 黒浜
349-0193 埼玉県 蓮田市 黒浜
349-0195 埼玉県 蓮田市 黒浜
349-0196 埼玉県 蓮田市 黒浜
349-0198 埼玉県 蓮田市 黒浜
349-0200 埼玉県 白岡市 
349-0201 埼玉県 白岡市 柴山
349-0202 埼玉県 白岡市 荒井新田
349-0203 埼玉県 白岡市 下大崎
349-0204 埼玉県 白岡市 篠津
349-0205 埼玉県 白岡市 西
349-0211 埼玉県 白岡市 野牛
349-0212 埼玉県 白岡市 新白岡
349-0213 埼玉県 白岡市 高岩
349-0214 埼玉県 白岡市 寺塚
349-0215 埼玉県 白岡市 千駄野
349-0216 埼玉県 白岡市 実ケ谷
349-0217 埼玉県 白岡市 小久喜
349-0218 埼玉県 白岡市 白岡
349-0219 埼玉県 白岡市 白岡東
349-0221 埼玉県 白岡市 上野田
349-0222 埼玉県 白岡市 爪田ケ谷
349-0223 埼玉県 白岡市 下野田
349-0224 埼玉県 白岡市 彦兵衛
349-0225 埼玉県 白岡市 太田新井
349-0226 埼玉県 白岡市 岡泉
349-0292 埼玉県 白岡市 千駄野
349-0293 埼玉県 白岡市 下大崎
349-0294 埼玉県 白岡市 白岡
349-1100 埼玉県 北埼玉郡大利根町 
349-1100 埼玉県 北葛飾郡栗橋町 
349-1101 埼玉県 久喜市 栗橋北
349-1102 埼玉県 久喜市 栗橋中央
349-1103 埼玉県 久喜市 栗橋東
349-1104 埼玉県 久喜市 栗橋
349-1105 埼玉県 久喜市 小右衛門
349-1106 埼玉県 久喜市 緑
349-1111 埼玉県 久喜市 北広島
349-1112 埼玉県 久喜市 中里
349-1113 埼玉県 久喜市 狐塚
349-1114 埼玉県 久喜市 河原代
349-1115 埼玉県 久喜市 新井
349-1116 埼玉県 久喜市 島川
349-1117 埼玉県 久喜市 南栗橋
349-1121 埼玉県 久喜市 伊坂
349-1122 埼玉県 久喜市 松永
349-1123 埼玉県 久喜市 間鎌
349-1124 埼玉県 久喜市 佐間
349-1125 埼玉県 久喜市 高柳
349-1131 埼玉県 加須市 中渡
349-1132 埼玉県 加須市 旗井
349-1133 埼玉県 加須市 琴寄
349-1134 埼玉県 加須市 北下新井
349-1135 埼玉県 加須市 北平野
349-1141 埼玉県 加須市 松永新田
349-1142 埼玉県 加須市 杓子木
349-1143 埼玉県 加須市 生出
349-1144 埼玉県 加須市 阿佐間
349-1145 埼玉県 加須市 間口
349-1146 埼玉県 加須市 新井新田
349-1147 埼玉県 加須市 北大桑
349-1148 埼玉県 加須市 豊野台
349-1151 埼玉県 加須市 佐波
349-1152 埼玉県 加須市 弥兵衛
349-1153 埼玉県 加須市 新川通
349-1154 埼玉県 加須市 外記新田
349-1155 埼玉県 加須市 砂原
349-1156 埼玉県 加須市 細間
349-1157 埼玉県 加須市 道目
349-1158 埼玉県 加須市 新利根
349-1192 埼玉県 久喜市 間鎌
349-1193 埼玉県 加須市 北下新井
349-1200 埼玉県 北埼玉郡北川辺町 
349-1201 埼玉県 加須市 柳生
349-1202 埼玉県 加須市 小野袋
349-1203 埼玉県 加須市 柏戸
349-1204 埼玉県 加須市 陽光台
349-1205 埼玉県 加須市 向古河
349-1211 埼玉県 加須市 飯積
349-1212 埼玉県 加須市 麦倉
349-1213 埼玉県 加須市 栄
349-1214 埼玉県 加須市 駒場
349-1215 埼玉県 加須市 伊賀袋
349-1216 埼玉県 加須市 本郷
349-1221 栃木県 栃木市 藤岡町下宮
349-1292 埼玉県 加須市 麦倉
