001-0000 北海道 札幌市北区
007-0836 北海道 札幌市東区 北三十六条東
007-0837 北海道 札幌市東区 北三十七条東
007-0838 北海道 札幌市東区 北三十八条東
007-0839 北海道 札幌市東区 北三十九条東
007-0840 北海道 札幌市東区 北四十条東
007-0841 北海道 札幌市東区 北四十一条東
007-0842 北海道 札幌市東区 北四十二条東
007-0843 北海道 札幌市東区 北四十三条東
007-0844 北海道 札幌市東区 北四十四条東
007-0845 北海道 札幌市東区 北四十五条東
007-0846 北海道 札幌市東区 北四十六条東
007-0847 北海道 札幌市東区 北四十七条東
007-0848 北海道 札幌市東区 北四十八条東
007-0849 北海道 札幌市東区 北四十九条東
007-0850 北海道 札幌市東区 北五十条東
007-0851 北海道 札幌市東区 北五十一条東
007-0852 北海道 札幌市東区 栄町
007-0861 北海道 札幌市東区 伏古一条
007-0862 北海道 札幌市東区 伏古二条
007-0863 北海道 札幌市東区 伏古三条
007-0864 北海道 札幌市東区 伏古四条
007-0865 北海道 札幌市東区 伏古五条
007-0866 北海道 札幌市東区 伏古六条
007-0867 北海道 札幌市東区 伏古七条
007-0868 北海道 札幌市東区 伏古八条
007-0869 北海道 札幌市東区 伏古九条
007-0870 北海道 札幌市東区 伏古十条
007-0871 北海道 札幌市東区 伏古十一条
007-0872 北海道 札幌市東区 伏古十二条
007-0873 北海道 札幌市東区 伏古十三条
007-0874 北海道 札幌市東区 伏古十四条
007-0880 北海道 札幌市東区 丘珠町
007-0881 北海道 札幌市東区 北丘珠一条
007-0882 北海道 札幌市東区 北丘珠二条
007-0883 北海道 札幌市東区 北丘珠三条
007-0884 北海道 札幌市東区 北丘珠四条
007-0885 北海道 札幌市東区 北丘珠五条
007-0886 北海道 札幌市東区 北丘珠六条
007-0890 北海道 札幌市東区 中沼町
007-0891 北海道 札幌市東区 中沼西一条
007-0892 北海道 札幌市東区 中沼西二条
007-0893 北海道 札幌市東区 中沼西三条
007-0894 北海道 札幌市東区 中沼西四条
007-0895 北海道 札幌市東区 中沼西五条
007-8501 北海道 札幌市東区 北三十六条東
007-8503 北海道 札幌市東区 丘珠町
007-8505 北海道 札幌市東区 伏古十条
007-8507 北海道 札幌市東区 東苗穂二条
007-8508 北海道 札幌市東区 東苗穂三条
007-8585 北海道 札幌市東区 東苗穂十条
007-8632 北海道 札幌市東区 東苗穂二条
