510-0000 三重県 四日市市 
510-0000 三重県 三重郡朝日町 
510-0000 三重県 三重郡川越町 
511-1116 三重県 桑名市 長島町長島萱町
511-1121 三重県 桑名市 長島町東殿名
511-1122 三重県 桑名市 長島町松ケ島
511-1123 三重県 桑名市 長島町鎌ケ地
511-1124 三重県 桑名市 長島町葭ケ須
511-1125 三重県 桑名市 長島町源部外面
511-1126 三重県 桑名市 長島町又木
511-1127 三重県 桑名市 長島町殿名
511-1128 三重県 桑名市 長島町又木市街
511-1131 三重県 桑名市 長島町赤地
511-1132 三重県 桑名市 長島町福豊
511-1133 三重県 桑名市 長島町横満蔵
511-1134 三重県 桑名市 長島町松蔭
511-1135 三重県 桑名市 長島町浦安
511-1136 三重県 桑名市 長島町白鶏
511-1137 三重県 桑名市 長島町福吉
511-1141 三重県 桑名市 長島町間々
511-1142 三重県 桑名市 長島町出口
511-1143 三重県 桑名市 長島町西外面
511-1144 三重県 桑名市 長島町駒江
511-1145 三重県 桑名市 長島町大島
511-1146 三重県 桑名市 長島町十日外面
511-1147 三重県 桑名市 長島町平方
511-1148 三重県 桑名市 長島町北殿名
511-1149 三重県 桑名市 長島町西外面市街
511-1192 三重県 桑名市 長島町浦安
511-8502 三重県 桑名市 桑栄町
511-8510 三重県 桑名市 江場
511-8511 三重県 桑名市 大福
511-8533 三重県 桑名市 森忠
511-8550 三重県 桑名市 中央町
511-8555 三重県 桑名市 吉之丸
511-8558 三重県 桑名市 増田
511-8567 三重県 桑名市 中央町
511-8577 三重県 桑名市 中央町
511-8585 三重県 桑名市 森忠
511-8588 三重県 桑名市 三之丸
511-8601 三重県 桑名市 中央町
511-8666 三重県 桑名市 大央町
511-8678 三重県 桑名市 東方
511-8686 三重県 桑名市 中央町
511-8711 三重県 桑名市 陽だまりの丘
511-8798 三重県 桑名市 播磨
512-0301 三重県 四日市市 水沢野田町
512-0901 三重県 四日市市 大谷台
512-0902 三重県 四日市市 小杉町
512-0903 三重県 四日市市 小杉新町
512-0904 三重県 四日市市 東坂部町
512-0905 三重県 四日市市 坂部が丘
512-0906 三重県 四日市市 山之一色町
512-0907 三重県 四日市市 東ケ谷
512-0908 三重県 四日市市 坂部台
512-0911 三重県 四日市市 生桑町
512-0912 三重県 四日市市 三重
512-0913 三重県 四日市市 西坂部町
512-0914 三重県 四日市市 南坂部町
512-0921 三重県 四日市市 尾平町
512-0922 三重県 四日市市 曽井町
512-0923 三重県 四日市市 高角町
512-0924 三重県 四日市市 寺方町
512-0925 三重県 四日市市 菅原町
512-0931 三重県 四日市市 浮橋
512-0932 三重県 四日市市 小生町
512-0933 三重県 四日市市 三滝台
512-0934 三重県 四日市市 川島町
512-0935 三重県 四日市市 川島新町
512-0936 三重県 四日市市 別山
512-1101 三重県 四日市市 内山町
512-1102 三重県 四日市市 小山町
512-1103 三重県 四日市市 西山町
512-1104 三重県 四日市市 美里町
512-1105 三重県 四日市市 水沢町
512-1111 三重県 四日市市 山田町
512-1113 三重県 四日市市 鹿間町
512-1114 三重県 四日市市 和無田町
512-1115 三重県 四日市市 堂ケ山町
512-1116 三重県 四日市市 六名町
512-1201 三重県 四日市市 上海老町
512-1202 三重県 四日市市 あがたが丘
512-1203 三重県 四日市市 下海老町
512-1204 三重県 四日市市 赤水町
512-1205 三重県 四日市市 平尾町
512-1206 三重県 四日市市 江村町
512-1207 三重県 四日市市 黒田町
512-1208 三重県 四日市市 北野町
512-1211 三重県 四日市市 桜町
512-1212 三重県 四日市市 智積町
512-1213 三重県 四日市市 桜台本町
512-1214 三重県 四日市市 桜台
512-1215 三重県 四日市市 桜新町
512-1216 三重県 四日市市 桜花台
512-1301 三重県 四日市市 高見台
512-1302 三重県 四日市市 市場町
512-1303 三重県 四日市市 小牧町
512-1304 三重県 四日市市 中野町
512-1305 三重県 四日市市 西村町
512-1306 三重県 四日市市 まきの木台
512-8041 三重県 四日市市 山分町
512-8042 三重県 四日市市 平津町
512-8043 三重県 四日市市 平津新町
512-8044 三重県 四日市市 中村町
512-8045 三重県 四日市市 萱生町
512-8046 三重県 四日市市 あかつき台
512-8047 三重県 四日市市 八千代台
512-8048 三重県 四日市市 山城町
512-8051 三重県 四日市市 北山町
512-8052 三重県 四日市市 西大鐘町
512-8053 三重県 四日市市 大鐘町
512-8054 三重県 四日市市 朝明町
512-8055 三重県 四日市市 あさけが丘
512-8056 三重県 四日市市 札場町
512-8061 三重県 四日市市 広永町
512-8062 三重県 四日市市 黄金町
512-8063 三重県 四日市市 山村町
512-8064 三重県 四日市市 伊坂町
512-8065 三重県 四日市市 千代田町
512-8066 三重県 四日市市 伊坂台
512-8512 三重県 四日市市 萱生町
512-8538 三重県 四日市市 萱生町
512-8550 三重県 四日市市 山之一色町
513-0000 三重県 鈴鹿市 
513-0001 三重県 鈴鹿市 広瀬町
513-0002 三重県 鈴鹿市 津賀町
513-0003 三重県 鈴鹿市 加佐登町
513-0004 三重県 鈴鹿市 加佐登
513-0005 三重県 鈴鹿市 汲川原町
513-0006 三重県 鈴鹿市 和泉町
513-0007 三重県 鈴鹿市 小田町
513-0008 三重県 鈴鹿市 西冨田町
513-0009 三重県 鈴鹿市 中冨田町
513-0011 三重県 鈴鹿市 高塚町
513-0012 三重県 鈴鹿市 石薬師町
513-0013 三重県 鈴鹿市 国分町
513-0014 三重県 鈴鹿市 高岡町
513-0015 三重県 鈴鹿市 木田町
513-0016 三重県 鈴鹿市 山辺町
513-0017 三重県 鈴鹿市 上野町
513-0018 三重県 鈴鹿市 上田町
513-0019 三重県 鈴鹿市 高岡台
513-0021 三重県 鈴鹿市 甲斐町
513-0022 三重県 鈴鹿市 野辺町
513-0023 三重県 鈴鹿市 河田町
513-0024 三重県 鈴鹿市 野辺
513-0025 三重県 鈴鹿市 竹野
513-0026 三重県 鈴鹿市 竹野町
513-0027 三重県 鈴鹿市 岡田
513-0028 三重県 鈴鹿市 岡田町
513-0031 三重県 鈴鹿市 一ノ宮町
513-0032 三重県 鈴鹿市 池田町
513-0033 三重県 鈴鹿市 須賀町
513-0034 三重県 鈴鹿市 須賀
513-0035 三重県 鈴鹿市 矢橋町
513-0036 三重県 鈴鹿市 矢橋
513-0037 三重県 鈴鹿市 十宮
513-0038 三重県 鈴鹿市 十宮町
513-0041 三重県 鈴鹿市 長太新町
513-0042 三重県 鈴鹿市 長太旭町
513-0043 三重県 鈴鹿市 長太栄町
513-0044 三重県 鈴鹿市 北堀江町
513-0045 三重県 鈴鹿市 北堀江
513-0046 三重県 鈴鹿市 南堀江
513-0047 三重県 鈴鹿市 南堀江町
513-0048 三重県 鈴鹿市 南長太町
513-0049 三重県 鈴鹿市 北長太町
513-0051 三重県 鈴鹿市 下箕田町
513-0052 三重県 鈴鹿市 下箕田
513-0053 三重県 鈴鹿市 中箕田町
513-0054 三重県 鈴鹿市 中箕田
513-0055 三重県 鈴鹿市 上箕田町
513-0056 三重県 鈴鹿市 上箕田
513-0057 三重県 鈴鹿市 南林崎町
513-0058 三重県 鈴鹿市 林崎
513-0059 三重県 鈴鹿市 林崎町
513-0801 三重県 鈴鹿市 神戸
513-0801 三重県 鈴鹿市 神戸本多町
513-0802 三重県 鈴鹿市 飯野寺家町
513-0803 三重県 鈴鹿市 三日市町
513-0804 三重県 鈴鹿市 三日市南
513-0805 三重県 鈴鹿市 算所町
513-0806 三重県 鈴鹿市 算所
513-0807 三重県 鈴鹿市 三日市
513-0808 三重県 鈴鹿市 西條町
513-0809 三重県 鈴鹿市 西条
513-0811 三重県 鈴鹿市 柳町
513-0812 三重県 鈴鹿市 土師町
513-0813 三重県 鈴鹿市 北玉垣町
513-0814 三重県 鈴鹿市 東玉垣町
513-0815 三重県 鈴鹿市 西玉垣町
513-0816 三重県 鈴鹿市 南玉垣町
513-0817 三重県 鈴鹿市 桜島町
513-0818 三重県 鈴鹿市 安塚町
513-0819 三重県 鈴鹿市 肥田町
513-0821 三重県 鈴鹿市 地子町
513-0822 三重県 鈴鹿市 末広町
513-0823 三重県 鈴鹿市 道伯
513-0824 三重県 鈴鹿市 道伯町
513-0825 三重県 鈴鹿市 住吉町
513-0826 三重県 鈴鹿市 住吉
513-0827 三重県 鈴鹿市 大池
513-0828 三重県 鈴鹿市 阿古曽町
513-0831 三重県 鈴鹿市 庄野町
513-0832 三重県 鈴鹿市 庄野東
513-0833 三重県 鈴鹿市 庄野共進
513-0834 三重県 鈴鹿市 庄野羽山
513-0835 三重県 鈴鹿市 平野町
513-0836 三重県 鈴鹿市 国府町
513-0837 三重県 鈴鹿市 八野町
513-0841 三重県 鈴鹿市 弓削町
513-0842 三重県 鈴鹿市 弓削
513-0843 三重県 鈴鹿市 平田東町
513-0844 三重県 鈴鹿市 平田
513-0845 三重県 鈴鹿市 平田新町
513-0846 三重県 鈴鹿市 平田中町
513-0847 三重県 鈴鹿市 平田町
513-0848 三重県 鈴鹿市 平田本町
513-0851 三重県 鈴鹿市 末広東
513-0852 三重県 鈴鹿市 末広西
513-0853 三重県 鈴鹿市 末広南
513-0854 三重県 鈴鹿市 末広北
513-0855 三重県 鈴鹿市 石垣
513-1121 三重県 鈴鹿市 岸田町
513-1122 三重県 鈴鹿市 花川町
513-1123 三重県 鈴鹿市 下大久保町
513-1124 三重県 鈴鹿市 自由ヶ丘
513-8501 三重県 鈴鹿市 加佐登
513-8505 三重県 鈴鹿市 国府町
513-8510 三重県 鈴鹿市 神戸
513-8520 三重県 鈴鹿市 庄野町
513-8530 三重県 鈴鹿市 上野町
513-8601 三重県 鈴鹿市 国府町
513-8630 三重県 鈴鹿市 安塚町
513-8631 三重県 鈴鹿市 三日市町
513-8632 三重県 鈴鹿市 南玉垣町
513-8633 三重県 鈴鹿市 南玉垣町
513-8650 三重県 鈴鹿市 地子町
513-8660 三重県 鈴鹿市 平田中町
513-8661 三重県 鈴鹿市 庄野羽山
513-8666 三重県 鈴鹿市 平田町
513-8670 三重県 鈴鹿市 南玉垣町
513-8680 三重県 鈴鹿市 住吉町
513-8686 三重県 鈴鹿市 算所
513-8701 三重県 鈴鹿市 神戸
514-0000 三重県 津市 
514-0001 三重県 津市 江戸橋
514-0002 三重県 津市 島崎町
514-0003 三重県 津市 桜橋
514-0004 三重県 津市 栄町
514-0005 三重県 津市 鳥居町
514-0006 三重県 津市 広明町
514-0007 三重県 津市 大谷町
514-0008 三重県 津市 上浜町
514-0009 三重県 津市 羽所町
514-0010 三重県 津市 なぎさまち
514-0011 三重県 津市 高洲町
514-0012 三重県 津市 末広町
514-0013 三重県 津市 海岸町
514-0014 三重県 津市 港町
514-0015 三重県 津市 寿町
514-0016 三重県 津市 乙部
514-0017 三重県 津市 相生町
514-0018 三重県 津市 中河原
514-0019 三重県 津市 住吉町
514-0021 三重県 津市 万町津
514-0022 三重県 津市 愛宕町
514-0023 三重県 津市 北町津
514-0024 三重県 津市 新立町津
514-0025 三重県 津市 東町津
514-0026 三重県 津市 新東町塔世
514-0027 三重県 津市 大門
514-0028 三重県 津市 東丸之内
514-0031 三重県 津市 北丸之内
514-0032 三重県 津市 中央
514-0033 三重県 津市 丸之内
514-0034 三重県 津市 南丸之内
514-0035 三重県 津市 西丸之内
514-0036 三重県 津市 丸之内養正町
514-0037 三重県 津市 東古河町
514-0038 三重県 津市 西古河町
514-0039 三重県 津市 押加部町
514-0041 三重県 津市 八町
514-0042 三重県 津市 新町
514-0043 三重県 津市 南新町
514-0044 三重県 津市 川添町
514-0045 三重県 津市 美川町
514-0046 三重県 津市 大園町
514-0047 三重県 津市 桜田町
514-0051 三重県 津市 納所町
514-0052 三重県 津市 神納町
514-0053 三重県 津市 博多町
514-0054 三重県 津市 神納
514-0055 三重県 津市 南河路
514-0056 三重県 津市 北河路町
514-0057 三重県 津市 一色町
514-0058 三重県 津市 安東町
514-0061 三重県 津市 一身田上津部田
514-0062 三重県 津市 観音寺町
514-0063 三重県 津市 渋見町
514-0064 三重県 津市 長岡町
514-0065 三重県 津市 河辺町
514-0071 三重県 津市 分部
514-0072 三重県 津市 小舟
514-0073 三重県 津市 殿村
514-0074 三重県 津市 片田長谷場町
514-0075 三重県 津市 片田志袋町
514-0076 三重県 津市 産品
514-0077 三重県 津市 片田長谷町
514-0081 三重県 津市 片田田中町
514-0082 三重県 津市 片田井戸町
514-0083 三重県 津市 片田新町
514-0084 三重県 津市 片田町
514-0085 三重県 津市 片田久保町
514-0086 三重県 津市 片田薬王寺町
514-0101 三重県 津市 白塚町
514-0102 三重県 津市 栗真町屋町
514-0103 三重県 津市 栗真中山町
514-0104 三重県 津市 栗真小川町
514-0111 三重県 津市 一身田平野
514-0112 三重県 津市 一身田中野
514-0113 三重県 津市 一身田大古曽
514-0114 三重県 津市 一身田町
514-0115 三重県 津市 一身田豊野
514-0116 三重県 津市 夢が丘
514-0121 三重県 津市 大里山室町
514-0122 三重県 津市 大里野田町
514-0123 三重県 津市 大里小野田町
514-0124 三重県 津市 大里川北町
514-0125 三重県 津市 大里窪田町
514-0126 三重県 津市 大里睦合町
514-0131 三重県 津市 あのつ台
514-0301 三重県 津市 雲出鋼管町
514-0302 三重県 津市 雲出伊倉津町
514-0303 三重県 津市 雲出長常町
514-0304 三重県 津市 雲出本郷町
514-0305 三重県 津市 雲出島貫町
514-0311 三重県 津市 香良洲町
514-0312 三重県 津市 香良洲町
514-0313 三重県 津市 香良洲町
514-0314 三重県 津市 香良洲町
514-0315 三重県 津市 香良洲町
514-0321 三重県 津市 香良洲町
514-0323 三重県 津市 香良洲町
514-0324 三重県 津市 香良洲町
514-0325 三重県 津市 香良洲町
514-0326 三重県 津市 香良洲町
514-0392 三重県 津市 香良洲町
514-0393 三重県 津市 雲出鋼管町
514-0395 三重県 津市 雲出長常町
514-0396 三重県 津市 雲出鋼管町
514-0397 三重県 津市 雲出島貫町
514-0801 三重県 津市 船頭町津興
514-0802 三重県 津市 三重町津興
514-0803 三重県 津市 柳山津興
514-0804 三重県 津市 上弁財町津興
514-0805 三重県 津市 下弁財町津興
514-0806 三重県 津市 上弁財町
514-0811 三重県 津市 阿漕町
514-0812 三重県 津市 津興
514-0813 三重県 津市 八幡町
514-0814 三重県 津市 藤枝町
514-0815 三重県 津市 藤方
514-0816 三重県 津市 高茶屋小森上野町
514-0817 三重県 津市 高茶屋小森町
514-0818 三重県 津市 城山
514-0819 三重県 津市 高茶屋
514-0821 三重県 津市 垂水
514-0822 三重県 津市 南が丘
514-0823 三重県 津市 半田
514-0824 三重県 津市 神戸
514-0825 三重県 津市 緑が丘
514-0826 三重県 津市 野田
514-0831 三重県 津市 本町
514-0832 三重県 津市 南中央
514-0833 三重県 津市 西阿漕町岩田
514-0834 三重県 津市 大倉
514-0835 三重県 津市 幸町
514-0836 三重県 津市 野崎垣内岩田
514-0837 三重県 津市 修成町
514-0838 三重県 津市 岩田
514-1101 三重県 津市 久居明神町
514-1102 三重県 津市 久居藤ケ丘町
514-1103 三重県 津市 久居相川町
514-1104 三重県 津市 久居持川町
514-1105 三重県 津市 久居北口町
514-1106 三重県 津市 久居寺町
514-1107 三重県 津市 久居中町
514-1108 三重県 津市 久居射場町
514-1109 三重県 津市 久居烏木町
514-1111 三重県 津市 久居桜が丘町
514-1112 三重県 津市 久居小野辺町
514-1113 三重県 津市 久居野村町
514-1114 三重県 津市 久居井戸山町
514-1115 三重県 津市 木造町
514-1116 三重県 津市 新家町
514-1117 三重県 津市 久居野口町
514-1118 三重県 津市 久居新町
514-1121 三重県 津市 久居二ノ町
514-1122 三重県 津市 川方町
514-1123 三重県 津市 牧町
514-1124 三重県 津市 須ケ瀬町
514-1125 三重県 津市 久居元町
514-1131 三重県 津市 久居西鷹跡町
514-1132 三重県 津市 久居幸町
514-1133 三重県 津市 久居万町
514-1134 三重県 津市 久居旅籠町
514-1135 三重県 津市 久居本町
514-1136 三重県 津市 久居東鷹跡町
514-1137 三重県 津市 久居小戸木町
514-1138 三重県 津市 戸木町
514-1139 三重県 津市 青葉台
514-1192 三重県 津市 久居東鷹跡町
514-1193 三重県 津市 久居明神町
514-1195 三重県 津市 栄町
514-1251 三重県 津市 榊原町
514-1252 三重県 津市 稲葉町
514-1253 三重県 津市 久居一色町
514-1254 三重県 津市 森町
514-1255 三重県 津市 庄田町
514-1256 三重県 津市 中村町
514-1257 三重県 津市 大鳥町
514-1258 三重県 津市 久居緑が丘町
514-1292 三重県 津市 榊原町
514-1293 三重県 津市 榊原町
514-1294 三重県 津市 庄田町
514-1295 三重県 津市 大鳥町
514-1296 三重県 津市 久居一色町
514-1297 三重県 津市 大鳥町
514-2101 三重県 津市 美里町高座原
514-2102 三重県 津市 美里町船山
514-2103 三重県 津市 美里町日南田
514-2104 三重県 津市 美里町家所
514-2105 三重県 津市 美里町五百野
514-2106 三重県 津市 美里町足坂
514-2107 三重県 津市 美里町穴倉
514-2111 三重県 津市 美里町平木
514-2112 三重県 津市 美里町北長野
514-2113 三重県 津市 美里町三郷
514-2114 三重県 津市 美里町南長野
514-2115 三重県 津市 美里町桂畑
514-2192 三重県 津市 美里町三郷
514-2201 三重県 津市 芸濃町楠原
514-2202 三重県 津市 芸濃町林
514-2203 三重県 津市 芸濃町中縄
514-2204 三重県 津市 芸濃町雲林院
514-2205 三重県 津市 芸濃町多門
514-2206 三重県 津市 芸濃町小野平
514-2207 三重県 津市 芸濃町河内
514-2208 三重県 津市 芸濃町忍田
514-2211 三重県 津市 芸濃町椋本
514-2212 三重県 津市 芸濃町岡本
514-2213 三重県 津市 芸濃町北神山
514-2214 三重県 津市 芸濃町萩野
514-2221 三重県 津市 高野尾町
514-2292 三重県 津市 芸濃町椋本
514-2293 三重県 津市 高野尾町
514-2294 三重県 津市 高野尾町
514-2301 三重県 津市 安濃町荒木
514-2302 三重県 津市 安濃町安濃
514-2303 三重県 津市 安濃町内多
514-2304 三重県 津市 安濃町太田
514-2305 三重県 津市 安濃町清水
514-2306 三重県 津市 安濃町曽根
514-2307 三重県 津市 安濃町浄土寺
514-2308 三重県 津市 安濃町川西
514-2311 三重県 津市 安濃町神田
514-2312 三重県 津市 安濃町連部
514-2313 三重県 津市 安濃町今徳
514-2314 三重県 津市 安濃町妙法寺
514-2315 三重県 津市 安濃町光明寺
514-2316 三重県 津市 安濃町南神山
514-2317 三重県 津市 安濃町前野
514-2318 三重県 津市 安濃町中川
514-2321 三重県 津市 安濃町野口
514-2322 三重県 津市 安濃町戸島
514-2323 三重県 津市 安濃町大塚
514-2324 三重県 津市 安濃町粟加
514-2325 三重県 津市 安濃町田端上野
514-2326 三重県 津市 安濃町東観音寺
514-2327 三重県 津市 安濃町安部
514-2328 三重県 津市 安濃町草生
514-2392 三重県 津市 安濃町草生
514-2393 三重県 津市 安濃町東観音寺
514-2395 三重県 津市 安濃町荒木
514-2396 三重県 津市 安濃町内多
514-2398 三重県 津市 安濃町安濃
514-8501 三重県 津市 島崎町
514-8502 三重県 津市 広明町
514-8503 三重県 津市 丸之内
514-8505 三重県 津市 観音寺町
514-8507 三重県 津市 上浜町
514-8508 三重県 津市 西丸之内
514-8510 三重県 津市 修成町
514-8511 三重県 津市 観音寺町
514-8512 三重県 津市 中央
514-8513 三重県 津市 岩田
514-8514 三重県 津市 栄町
514-8515 三重県 津市 桜橋
514-8518 三重県 津市 垂水
514-8520 三重県 津市 丸之内
514-8521 三重県 津市 島崎町
514-8522 三重県 津市 桜橋
514-8524 三重県 津市 島崎町
514-8526 三重県 津市 中央
514-8528 三重県 津市 桜橋
514-8530 三重県 津市 高茶屋
514-8531 三重県 津市 丸之内養正町
514-8532 三重県 津市 垂水
514-8533 三重県 津市 片田町
514-8538 三重県 津市 桜橋
514-8540 三重県 津市 栄町
514-8543 三重県 津市 柳山津興
514-8545 三重県 津市 桜橋
514-8546 三重県 津市 桜橋
514-8550 三重県 津市 桜橋
514-8552 三重県 津市 桜橋
514-8553 三重県 津市 桜橋
514-8555 三重県 津市 藤方
514-8558 三重県 津市 丸之内
514-8560 三重県 津市 桜橋
514-8566 三重県 津市 栄町
514-8567 三重県 津市 桜橋
514-8568 三重県 津市 桜橋
514-8570 三重県 津市 広明町
514-8571 三重県 津市 羽所町
514-8575 三重県 津市 東丸之内
514-8577 三重県 津市 桜橋
514-8578 三重県 津市 栄町
514-8585 三重県 津市 桜橋
514-8586 三重県 津市 大倉
514-8588 三重県 津市 栄町
514-8601 三重県 津市 丸之内
514-8611 三重県 津市 西丸之内
514-8633 三重県 津市 渋見町
514-8635 三重県 津市 中央
514-8666 三重県 津市 岩田
514-8686 三重県 津市 中央
515-0000 三重県 松阪市 
515-0001 三重県 松阪市 大口町
515-0002 三重県 松阪市 郷津町
515-0003 三重県 松阪市 朝日町一区
515-0004 三重県 松阪市 朝日町
515-0005 三重県 松阪市 鎌田町
515-0006 三重県 松阪市 石津町
515-0007 三重県 松阪市 荒木町
515-0011 三重県 松阪市 高町
515-0012 三重県 松阪市 東町
515-0013 三重県 松阪市 幸生町
515-0014 三重県 松阪市 若葉町
515-0015 三重県 松阪市 宮町
515-0016 三重県 松阪市 末広町
515-0017 三重県 松阪市 京町
515-0018 三重県 松阪市 京町一区
515-0019 三重県 松阪市 中央町
515-0021 三重県 松阪市 古井町
515-0022 三重県 松阪市 新屋敷町
515-0023 三重県 松阪市 下七見町
515-0024 三重県 松阪市 大宮田町
515-0025 三重県 松阪市 和屋町
515-0026 三重県 松阪市 立田町
515-0027 三重県 松阪市 朝田町
515-0028 三重県 松阪市 佐久米町
515-0029 三重県 松阪市 西野々町
515-0031 三重県 松阪市 大津町
515-0032 三重県 松阪市 田原町
515-0033 三重県 松阪市 垣鼻町
515-0034 三重県 松阪市 南町
515-0035 三重県 松阪市 長月町
515-0036 三重県 松阪市 平生町
515-0037 三重県 松阪市 愛宕町
515-0038 三重県 松阪市 挽木町
515-0039 三重県 松阪市 清生町
515-0041 三重県 松阪市 上川町
515-0042 三重県 松阪市 虹が丘町
515-0043 三重県 松阪市 下村町
515-0044 三重県 松阪市 久保町
515-0045 三重県 松阪市 駅部田町
515-0046 三重県 松阪市 南虹が丘町
515-0051 三重県 松阪市 光町
515-0052 三重県 松阪市 山室町
515-0053 三重県 松阪市 広陽町
515-0054 三重県 松阪市 立野町
515-0055 三重県 松阪市 田村町
515-0056 三重県 松阪市 宝塚町
515-0057 三重県 松阪市 御殿山町
515-0061 三重県 松阪市 黒田町
515-0062 三重県 松阪市 小黒田町
515-0063 三重県 松阪市 大黒田町
515-0064 三重県 松阪市 五反田町
515-0065 三重県 松阪市 五月町
515-0066 三重県 松阪市 泉町
515-0071 三重県 松阪市 桜町
515-0072 三重県 松阪市 内五曲町
515-0073 三重県 松阪市 殿町
515-0074 三重県 松阪市 新座町
515-0075 三重県 松阪市 新町
515-0076 三重県 松阪市 白粉町
515-0077 三重県 松阪市 茶与町
515-0078 三重県 松阪市 春日町
515-0081 三重県 松阪市 本町
515-0082 三重県 松阪市 魚町
515-0083 三重県 松阪市 中町
515-0084 三重県 松阪市 日野町
515-0085 三重県 松阪市 湊町
515-0086 三重県 松阪市 五十鈴町
515-0087 三重県 松阪市 萌木町
515-0088 三重県 松阪市 木の郷町
515-0101 三重県 松阪市 東黒部町
515-0102 三重県 松阪市 松名瀬町
515-0103 三重県 松阪市 西黒部町
515-0104 三重県 松阪市 高須町
515-0111 三重県 松阪市 柿木原町
515-0112 三重県 松阪市 土古路町
515-0113 三重県 松阪市 出間町
515-0114 三重県 松阪市 大垣内町
515-0115 三重県 松阪市 蓮花寺町
515-0116 三重県 松阪市 牛草町
515-0117 三重県 松阪市 乙部町
515-0118 三重県 松阪市 垣内田町
515-0119 三重県 松阪市 神守町
515-0121 三重県 松阪市 東久保町
515-0122 三重県 松阪市 川島町
515-0123 三重県 松阪市 新開町
515-0124 三重県 松阪市 保津町
515-0125 三重県 松阪市 腹太町
515-0126 三重県 松阪市 井口中町
515-0127 三重県 松阪市 六根町
515-0128 三重県 松阪市 魚見町
515-0201 三重県 松阪市 上七見町
515-0202 三重県 松阪市 菅生町
515-0203 三重県 松阪市 清水町
515-0204 三重県 松阪市 櫛田町
515-0205 三重県 松阪市 豊原町
515-0206 三重県 松阪市 山下町
515-0207 三重県 松阪市 安楽町
515-0208 三重県 松阪市 山添町
515-0211 三重県 松阪市 高木町
515-0212 三重県 松阪市 稲木町
515-0213 三重県 松阪市 伊勢場町
515-0214 三重県 松阪市 法田町
515-0215 三重県 松阪市 横地町
515-0216 三重県 松阪市 目田町
515-0217 三重県 松阪市 早馬瀬町
515-0300 三重県 多気郡明和町 
515-0301 三重県 多気郡明和町 大堀川新田
515-0302 三重県 多気郡明和町 大淀
515-0303 三重県 多気郡明和町 山大淀
515-0311 三重県 多気郡明和町 平尾
515-0312 三重県 多気郡明和町 上野
515-0313 三重県 多気郡明和町 明星
515-0314 三重県 多気郡明和町 新茶屋
515-0315 三重県 多気郡明和町 蓑村
515-0316 三重県 多気郡明和町 有爾中
515-0317 三重県 多気郡明和町 池村
515-0321 三重県 多気郡明和町 斎宮
515-0322 三重県 多気郡明和町 上村
515-0323 三重県 多気郡明和町 岩内
515-0324 三重県 多気郡明和町 金剛坂
515-0325 三重県 多気郡明和町 竹川
515-0331 三重県 多気郡明和町 佐田
515-0332 三重県 多気郡明和町 馬之上
515-0333 三重県 多気郡明和町 坂本
515-0334 三重県 多気郡明和町 中海
515-0341 三重県 多気郡明和町 北藤原
515-0342 三重県 多気郡明和町 南藤原
515-0343 三重県 多気郡明和町 内座
515-0344 三重県 多気郡明和町 養川
515-0345 三重県 多気郡明和町 田屋
515-0346 三重県 多気郡明和町 前野
515-0347 三重県 多気郡明和町 志貴
515-0348 三重県 多気郡明和町 中村
515-0349 三重県 多気郡明和町 川尻
515-0351 三重県 多気郡明和町 浜田
515-0352 三重県 多気郡明和町 八木戸
515-0353 三重県 多気郡明和町 根倉
515-0354 三重県 多気郡明和町 行部
515-0501 三重県 伊勢市 有滝町
515-0502 三重県 伊勢市 東豊浜町
515-0503 三重県 伊勢市 樫原町
515-0504 三重県 伊勢市 磯町
515-0505 三重県 伊勢市 西豊浜町
515-0506 三重県 伊勢市 植山町
515-0507 三重県 伊勢市 村松町
515-0508 三重県 伊勢市 柏町
515-0509 三重県 伊勢市 東大淀町
515-0511 三重県 伊勢市 野村町
515-0521 三重県 伊勢市 御薗町上條
515-0592 三重県 伊勢市 西豊浜町
515-0595 三重県 伊勢市 西豊浜町
515-0596 三重県 伊勢市 村松町
515-0598 三重県 伊勢市 西豊浜町
515-0801 三重県 松阪市 新松ケ島町
515-0802 三重県 松阪市 猟師町
515-0803 三重県 松阪市 町平尾町
515-0804 三重県 松阪市 大平尾町
515-0811 三重県 松阪市 塚本町
515-0812 三重県 松阪市 船江町
515-0813 三重県 松阪市 大塚町
515-0814 三重県 松阪市 久保田町
515-0815 三重県 松阪市 西町
515-0816 三重県 松阪市 西之庄町
515-0817 三重県 松阪市 井村町
515-0818 三重県 松阪市 川井町
515-0821 三重県 松阪市 外五曲町
515-0822 三重県 松阪市 大足町
515-0823 三重県 松阪市 阿形町
515-0824 三重県 松阪市 平成町
515-0825 三重県 松阪市 藤之木町
515-0831 三重県 松阪市 岡本町
515-0832 三重県 松阪市 丹生寺町
515-0833 三重県 松阪市 西野町
515-0834 三重県 松阪市 岡山町
515-0835 三重県 松阪市 日丘町
515-0841 三重県 松阪市 曲町
515-0842 三重県 松阪市 田牧町
515-0843 三重県 松阪市 殿村町
515-0844 三重県 松阪市 八重田町
515-0845 三重県 松阪市 伊勢寺町
515-0846 三重県 松阪市 深長町
515-0847 三重県 松阪市 岩内町
515-0848 三重県 松阪市 野村町
515-1101 三重県 松阪市 勢津町
515-1102 三重県 松阪市 矢津町
515-1103 三重県 松阪市 笹川町
515-1104 三重県 松阪市 桂瀬町
515-1105 三重県 松阪市 大河内町
