070-0000 北海道 旭川市 
071-1563 北海道 上川郡東神楽町 東三線
071-1564 北海道 上川郡東神楽町 東四線
071-1565 北海道 上川郡東神楽町 東五線
071-1570 北海道 上川郡東神楽町 南１３号
071-1571 北海道 上川郡東神楽町 南１番通
071-1572 北海道 上川郡東神楽町 南２線
071-1573 北海道 上川郡東神楽町 南３線
071-1574 北海道 上川郡東神楽町 南４線
071-1575 北海道 上川郡東神楽町 南５線
071-1577 北海道 上川郡東神楽町 八千代ケ岡
071-1581 北海道 上川郡東神楽町 栄岡
071-1582 北海道 上川郡東神楽町 志比内
071-1592 北海道 上川郡東神楽町 南一条西
071-1593 北海道 上川郡東神楽町 北一条東
071-1596 北海道 上川郡東神楽町 北三条東
071-8101 北海道 旭川市 東鷹栖１条
071-8102 北海道 旭川市 東鷹栖２条
071-8103 北海道 旭川市 東鷹栖３条
071-8104 北海道 旭川市 東鷹栖４条
071-8111 北海道 旭川市 東鷹栖東１条
071-8112 北海道 旭川市 東鷹栖東２条
071-8113 北海道 旭川市 東鷹栖東３条
071-8114 北海道 旭川市 東鷹栖東１線
071-8121 北海道 旭川市 末広東１条
071-8122 北海道 旭川市 末広東２条
071-8123 北海道 旭川市 末広東３条
071-8131 北海道 旭川市 末広１条
071-8132 北海道 旭川市 末広２条
071-8133 北海道 旭川市 末広３条
071-8134 北海道 旭川市 末広４条
071-8135 北海道 旭川市 末広５条
071-8136 北海道 旭川市 末広６条
071-8137 北海道 旭川市 末広７条
071-8138 北海道 旭川市 末広８条
071-8141 北海道 旭川市 春光台１条
071-8142 北海道 旭川市 春光台２条
071-8143 北海道 旭川市 春光台３条
071-8144 北海道 旭川市 春光台４条
071-8145 北海道 旭川市 春光台５条
071-8151 北海道 旭川市 東鷹栖１線
071-8152 北海道 旭川市 東鷹栖２線
071-8153 北海道 旭川市 東鷹栖３線
071-8154 北海道 旭川市 東鷹栖４線
071-8155 北海道 旭川市 東鷹栖５線
071-8156 北海道 旭川市 東鷹栖６線
071-8157 北海道 旭川市 東鷹栖７線
071-8158 北海道 旭川市 東鷹栖８線
071-8159 北海道 旭川市 東鷹栖９線
071-8160 北海道 旭川市 東鷹栖１０線
071-8161 北海道 旭川市 東鷹栖１１線
071-8162 北海道 旭川市 東鷹栖１２線
071-8163 北海道 旭川市 東鷹栖１３線
071-8164 北海道 旭川市 東鷹栖１４線
071-8165 北海道 旭川市 東鷹栖１５線
071-8166 北海道 旭川市 緑台
071-8171 北海道 旭川市 東山
072-0000 北海道 美唄市 
072-0001 北海道 美唄市 大通東一条北
072-0002 北海道 美唄市 東一条北
072-0003 北海道 美唄市 東二条北
072-0004 北海道 美唄市 東三条北
072-0005 北海道 美唄市 東四条北
072-0006 北海道 美唄市 東五条北
072-0007 北海道 美唄市 東六条北
072-0008 北海道 美唄市 癸巳町奔美唄
072-0009 北海道 美唄市 癸巳町
072-0011 北海道 美唄市 大通東一条南
072-0012 北海道 美唄市 東一条南
072-0013 北海道 美唄市 東二条南
072-0014 北海道 美唄市 東三条南
072-0015 北海道 美唄市 東四条南
072-0016 北海道 美唄市 東五条南
072-0017 北海道 美唄市 東六条南
072-0021 北海道 美唄市 大通西一条北
072-0022 北海道 美唄市 西一条北
072-0023 北海道 美唄市 大通西一条南
072-0024 北海道 美唄市 西一条南
072-0025 北海道 美唄市 西二条南
072-0026 北海道 美唄市 西三条南
072-0027 北海道 美唄市 西四条南
072-0028 北海道 美唄市 西五条南
072-0031 北海道 美唄市 西二条北
072-0032 北海道 美唄市 西三条北
072-0033 北海道 美唄市 西四条北
072-0034 北海道 美唄市 西五条北
072-0035 北海道 美唄市 沼の内町中央
072-0036 北海道 美唄市 沼の内町南
072-0037 北海道 美唄市 沼の内町北
072-0038 北海道 美唄市 沼の内町西
072-0041 北海道 美唄市 進徳町東
072-0042 北海道 美唄市 進徳町
072-0043 北海道 美唄市 進徳町西
072-0044 北海道 美唄市 一心町
072-0045 北海道 美唄市 開発町南
072-0046 北海道 美唄市 開発町北
072-0047 北海道 美唄市 開発町親和
072-0051 北海道 美唄市 上美唄町
072-0052 北海道 美唄市 上美唄町東
072-0053 北海道 美唄市 上美唄町中央
072-0054 北海道 美唄市 上美唄町沼の端
072-0055 北海道 美唄市 西美唄町元村
072-0056 北海道 美唄市 西美唄町山形
072-0057 北海道 美唄市 西美唄町大曲
072-0058 北海道 美唄市 西美唄町富樫
072-0059 北海道 美唄市 西美唄町元村美富
072-0801 北海道 美唄市 東七条北
072-0802 北海道 美唄市 東八条北
072-0803 北海道 美唄市 東明一条
072-0804 北海道 美唄市 東明二条
072-0805 北海道 美唄市 東明三条
072-0806 北海道 美唄市 東明四条
072-0807 北海道 美唄市 東明五条
072-0808 北海道 美唄市 東明町
072-0811 北海道 美唄市 東七条南
072-0812 北海道 美唄市 東八条南
072-0813 北海道 美唄市 南美唄町旭町
072-0814 北海道 美唄市 南美唄町山の手
072-0815 北海道 美唄市 南美唄町南町
072-0816 北海道 美唄市 南美唄町仲町
072-0817 北海道 美唄市 南美唄町北町
072-0818 北海道 美唄市 南美唄町中央通り
072-0819 北海道 美唄市 共練町西
072-0819 北海道 美唄市 共練町東
072-0821 北海道 美唄市 南美唄町上
072-0822 北海道 美唄市 南美唄町大通り
072-0823 北海道 美唄市 南美唄町下
072-0824 北海道 美唄市 南美唄町新富町
072-0825 北海道 美唄市 南美唄町桜井町
072-0826 北海道 美唄市 南美唄町栄町南
072-0827 北海道 美唄市 南美唄町栄町北
072-0828 北海道 美唄市 南美唄町西町
072-0831 北海道 美唄市 落合町栄町
072-0832 北海道 美唄市 落合町本町
072-0833 北海道 美唄市 落合町緑が丘
072-0834 北海道 美唄市 落合町住吉
072-0835 北海道 美唄市 落合町入初
072-0841 北海道 美唄市 盤の沢町滝の上
072-0842 北海道 美唄市 盤の沢町本町
072-0843 北海道 美唄市 盤の沢町高台
072-0844 北海道 美唄市 盤の沢町桜が丘
072-0851 北海道 美唄市 我路町一条
072-0852 北海道 美唄市 我路町二条
072-0853 北海道 美唄市 我路町三条
072-0854 北海道 美唄市 我路町四条
072-0855 北海道 美唄市 我路町公園通り
072-0856 北海道 美唄市 我路町新町
072-0857 北海道 美唄市 我路町菊水
072-8660 北海道 美唄市 西三条南
073-0000 北海道 滝川市 
073-0001 北海道 滝川市 北滝の川
073-0002 北海道 滝川市 屯田町西
073-0003 北海道 滝川市 滝の川町西
073-0004 北海道 滝川市 滝の川町東
073-0005 北海道 滝川市 二の坂町東
073-0006 北海道 滝川市 二の坂町西
073-0011 北海道 滝川市 黄金町西
073-0012 北海道 滝川市 黄金町東
073-0013 北海道 滝川市 南滝の川
073-0014 北海道 滝川市 文京町
073-0015 北海道 滝川市 朝日町東
073-0016 北海道 滝川市 一の坂町東
073-0017 北海道 滝川市 一の坂町西
073-0018 北海道 滝川市 朝日町西
073-0021 北海道 滝川市 本町
073-0022 北海道 滝川市 大町
073-0023 北海道 滝川市 緑町
073-0024 北海道 滝川市 東町
073-0025 北海道 滝川市 流通団地
073-0026 北海道 滝川市 東滝川
073-0027 北海道 滝川市 東滝川町
073-0031 北海道 滝川市 栄町
073-0032 北海道 滝川市 明神町
073-0033 北海道 滝川市 新町
073-0034 北海道 滝川市 空知町
073-0035 北海道 滝川市 中島町
073-0036 北海道 滝川市 花月町
073-0041 北海道 滝川市 西滝川
073-0042 北海道 滝川市 泉町
073-0043 北海道 滝川市 幸町
073-0044 北海道 滝川市 西町
073-0045 北海道 滝川市 有明町
073-0046 北海道 滝川市 扇町
073-0085 北海道 砂川市 富平
073-0100 北海道 砂川市 
073-0101 北海道 砂川市 空知太東一条
073-0102 北海道 砂川市 空知太東二条
073-0103 北海道 砂川市 空知太東三条
073-0104 北海道 砂川市 空知太東四条
073-0105 北海道 砂川市 空知太東五条
073-0106 北海道 砂川市 空知太
073-0107 北海道 砂川市 一の沢
073-0108 北海道 砂川市 北光
073-0111 北海道 砂川市 晴見一条北
073-0112 北海道 砂川市 晴見二条北
073-0113 北海道 砂川市 晴見三条北
073-0114 北海道 砂川市 晴見四条北
073-0115 北海道 砂川市 焼山
073-0116 北海道 砂川市 鶉
073-0117 北海道 砂川市 南吉野町
073-0118 北海道 砂川市 北吉野町
073-0121 北海道 砂川市 吉野一条南
073-0122 北海道 砂川市 吉野二条南
073-0123 北海道 砂川市 吉野三条南
073-0124 北海道 砂川市 吉野四条南
073-0125 北海道 砂川市 宮城の沢
073-0126 北海道 砂川市 東豊沼
073-0127 北海道 砂川市 日の出一条南
073-0131 北海道 砂川市 東一条南
073-0132 北海道 砂川市 東二条南
073-0133 北海道 砂川市 東三条南
073-0134 北海道 砂川市 東四条南
073-0135 北海道 砂川市 東五条南
073-0136 北海道 砂川市 東六条南
073-0137 北海道 砂川市 東七条南
073-0138 北海道 砂川市 豊沼町
073-0141 北海道 砂川市 西一条南
073-0142 北海道 砂川市 西二条南
073-0143 北海道 砂川市 西三条南
073-0144 北海道 砂川市 西四条南
073-0145 北海道 砂川市 西五条南
073-0146 北海道 砂川市 西六条南
073-0147 北海道 砂川市 西七条南
073-0148 北海道 砂川市 西豊沼
073-0151 北海道 砂川市 東一条北
073-0152 北海道 砂川市 東二条北
073-0153 北海道 砂川市 東三条北
073-0154 北海道 砂川市 東四条北
073-0155 北海道 砂川市 東五条北
073-0156 北海道 砂川市 東六条北
073-0157 北海道 砂川市 三砂町
073-0158 北海道 砂川市 吉野一条北
073-0159 北海道 砂川市 吉野二条北
073-0161 北海道 砂川市 西一条北
073-0162 北海道 砂川市 西二条北
073-0163 北海道 砂川市 西三条北
073-0164 北海道 砂川市 西四条北
073-0165 北海道 砂川市 西五条北
073-0166 北海道 砂川市 西六条北
073-0167 北海道 砂川市 西七条北
073-0168 北海道 砂川市 西八条北
073-0171 北海道 砂川市 空知太西一条
073-0172 北海道 砂川市 空知太西二条
073-0173 北海道 砂川市 空知太西三条
073-0174 北海道 砂川市 空知太西四条
073-0175 北海道 砂川市 空知太西五条
073-0176 北海道 砂川市 空知太西六条
073-0177 北海道 砂川市 空知太
073-0178 北海道 砂川市 袋地
073-0181 北海道 樺戸郡新十津川町 弥生
073-0192 北海道 砂川市 西四条北
073-0195 北海道 砂川市 西六条北
073-0196 北海道 砂川市 西四条北
073-0200 北海道 空知郡上砂川町 
073-0201 北海道 空知郡上砂川町 中央
073-0202 北海道 空知郡上砂川町 東町
073-0203 北海道 空知郡上砂川町 中町
073-0204 北海道 空知郡上砂川町 本町
073-0205 北海道 空知郡上砂川町 朝駒
073-0206 北海道 空知郡上砂川町 東山
073-0211 北海道 空知郡上砂川町 東鶉
073-0212 北海道 空知郡上砂川町 鶉
073-0213 北海道 空知郡上砂川町 緑が丘
073-0221 北海道 空知郡上砂川町 鶉本町
073-0222 北海道 空知郡上砂川町 下鶉
073-0292 北海道 空知郡上砂川町 
073-0400 北海道 歌志内市 
073-0401 北海道 歌志内市 上歌
073-0402 北海道 歌志内市 東光
073-0403 北海道 歌志内市 本町
073-0404 北海道 歌志内市 歌神
073-0405 北海道 歌志内市 神威
073-0406 北海道 歌志内市 中村
073-0407 北海道 歌志内市 文珠
073-0492 北海道 歌志内市 本町
073-1100 北海道 樺戸郡新十津川町 
073-1101 北海道 樺戸郡新十津川町 士寸
073-1102 北海道 樺戸郡新十津川町 大和
073-1103 北海道 樺戸郡新十津川町 中央
073-1104 北海道 樺戸郡新十津川町 弥生
073-1105 北海道 樺戸郡新十津川町 花月
073-1106 北海道 樺戸郡新十津川町 総進
073-1107 北海道 樺戸郡新十津川町 トップ
073-1321 北海道 樺戸郡新十津川町 学園
073-1322 北海道 樺戸郡新十津川町 吉野
073-1323 北海道 樺戸郡新十津川町 幌加
073-8501 北海道 滝川市 明神町
073-8502 北海道 滝川市 緑町
073-8510 北海道 滝川市 泉町
073-8511 北海道 滝川市 大町
073-8585 北海道 滝川市 緑町
073-8686 北海道 滝川市 大町
073-8688 北海道 滝川市 本町
074-0000 北海道 深川市 
074-0001 北海道 深川市 一条
074-0002 北海道 深川市 二条
074-0003 北海道 深川市 三条
074-0004 北海道 深川市 四条
074-0005 北海道 深川市 五条
074-0006 北海道 深川市 六条
074-0007 北海道 深川市 七条
074-0008 北海道 深川市 八条
074-0009 北海道 深川市 九条
074-0011 北海道 深川市 緑町
074-0012 北海道 深川市 西町
074-0013 北海道 深川市 文光町
074-0014 北海道 深川市 開西町
074-0015 北海道 深川市 メム
074-0021 北海道 深川市 稲穂町
074-0022 北海道 深川市 北光町
074-0023 北海道 深川市 太子町
074-0024 北海道 深川市 新光町
074-0025 北海道 深川市 錦町
074-0026 北海道 深川市 錦町西
074-0027 北海道 深川市 錦町北
074-0028 北海道 深川市 一已町
074-0031 北海道 深川市 あけぼの町
074-0141 北海道 深川市 多度志
074-0142 北海道 深川市 宇摩
074-0143 北海道 深川市 ウッカ
074-0144 北海道 深川市 鷹泊
074-0145 北海道 深川市 幌内
074-0146 北海道 深川市 湯内
074-0147 北海道 深川市 多度志南
074-0400 北海道 雨竜郡幌加内町 
074-0401 北海道 雨竜郡幌加内町 平和
074-0402 北海道 雨竜郡幌加内町 新成生
074-0403 北海道 雨竜郡幌加内町 下幌加内
074-0404 北海道 雨竜郡幌加内町 沼牛
074-0405 北海道 雨竜郡幌加内町 弥運内
074-0411 北海道 雨竜郡幌加内町 幌加内
074-0412 北海道 雨竜郡幌加内町 親和
074-0413 北海道 雨竜郡幌加内町 雨煙内
074-0414 北海道 雨竜郡幌加内町 清月
074-0415 北海道 雨竜郡幌加内町 長留内
074-0421 北海道 雨竜郡幌加内町 東栄
074-0422 北海道 雨竜郡幌加内町 振興
074-0423 北海道 雨竜郡幌加内町 上幌加内
074-0424 北海道 雨竜郡幌加内町 雨煙別
074-0425 北海道 雨竜郡幌加内町 政和第一
074-0426 北海道 雨竜郡幌加内町 政和第二
074-0427 北海道 雨竜郡幌加内町 政和第三
074-0492 北海道 雨竜郡幌加内町 幌加内
074-0493 北海道 雨竜郡幌加内町 幌加内
074-0494 北海道 雨竜郡幌加内町 清月
074-0495 北海道 雨竜郡幌加内町 平和
074-0741 北海道 雨竜郡幌加内町 母子里
074-0742 北海道 雨竜郡幌加内町 朱鞠内
074-0743 北海道 雨竜郡幌加内町 共栄
074-0744 北海道 雨竜郡幌加内町 大曲
074-0745 北海道 雨竜郡幌加内町 北星
074-0746 北海道 雨竜郡幌加内町 添牛内
074-0747 北海道 雨竜郡幌加内町 新富
074-1161 北海道 深川市 音江町
074-1162 北海道 深川市 音江町
074-1163 北海道 深川市 音江町
074-1164 北海道 深川市 音江町
074-1181 北海道 旭川市 神居町西丘
074-1182 北海道 旭川市 神居町豊里
074-1271 北海道 深川市 音江町
074-1271 北海道 深川市 広里町
074-1271 北海道 深川市 広里町
074-1271 北海道 深川市 広里町
074-1271 北海道 深川市 広里町
074-1271 北海道 深川市 広里町
074-1272 北海道 深川市 音江町
074-1273 北海道 深川市 音江町
074-1273 北海道 深川市 音江町
074-1273 北海道 深川市 音江町
074-1274 北海道 深川市 音江町
074-1275 北海道 深川市 音江町
074-1276 北海道 深川市 音江町
074-1292 北海道 深川市 音江町
074-8585 北海道 深川市 メム
074-8650 北海道 深川市 二条
074-8686 北海道 深川市 四条
075-0000 北海道 芦別市 
075-0001 北海道 芦別市 北一条西
075-0002 北海道 芦別市 北二条西
075-0003 北海道 芦別市 北三条西
075-0004 北海道 芦別市 北四条西
075-0005 北海道 芦別市 北五条西
075-0006 北海道 芦別市 北六条西
075-0007 北海道 芦別市 北七条西
075-0011 北海道 芦別市 北一条東
075-0012 北海道 芦別市 北二条東
075-0013 北海道 芦別市 北三条東
075-0014 北海道 芦別市 北四条東
075-0015 北海道 芦別市 北五条東
075-0016 北海道 芦別市 北六条東
075-0017 北海道 芦別市 福住町
075-0018 北海道 芦別市 常磐町
075-0019 北海道 芦別市 高根町
075-0021 北海道 芦別市 南一条西
075-0031 北海道 芦別市 南一条東
075-0032 北海道 芦別市 南二条東
075-0033 北海道 芦別市 南三条東
075-0034 北海道 芦別市 幌内
075-0035 北海道 芦別市 旭町油谷
075-0036 北海道 芦別市 旭町
075-0041 北海道 芦別市 本町
075-0161 北海道 芦別市 西芦別町
075-0162 北海道 芦別市 東頼城町
075-0163 北海道 芦別市 緑泉町
075-0164 北海道 芦別市 頼城町
075-0165 北海道 芦別市 青木沢
075-0166 北海道 芦別市 川岸
075-0167 北海道 芦別市 中の丘町
075-0251 北海道 芦別市 新城町
075-0252 北海道 芦別市 黄金町
075-0253 北海道 芦別市 豊岡町
075-0254 北海道 芦別市 豊岡
075-8501 北海道 芦別市 本町
075-8711 北海道 芦別市 北一条東
076-0000 北海道 富良野市 
076-0001 北海道 富良野市 北扇山
076-0002 北海道 富良野市 南扇山
076-0003 北海道 富良野市 布部石綿
076-0004 北海道 富良野市 布部市街地
076-0005 北海道 富良野市 布部一
076-0006 北海道 富良野市 西扇山
076-0007 北海道 富良野市 南町
076-0008 北海道 富良野市 扇町
076-0011 北海道 富良野市 末広町
076-0012 北海道 富良野市 下五区
076-0013 北海道 富良野市 中五区
076-0014 北海道 富良野市 上五区
076-0015 北海道 富良野市 上御料
076-0016 北海道 富良野市 中御料
076-0017 北海道 富良野市 下御料
076-0018 北海道 富良野市 弥生町
076-0021 北海道 富良野市 緑町
076-0022 北海道 富良野市 若葉町
076-0023 北海道 富良野市 栄町
076-0024 北海道 富良野市 幸町
076-0025 北海道 富良野市 日の出町
076-0026 北海道 富良野市 朝日町
076-0027 北海道 富良野市 花園町
076-0028 北海道 富良野市 錦町
076-0031 北海道 富良野市 本町
076-0032 北海道 富良野市 若松町
076-0033 北海道 富良野市 新富町
076-0034 北海道 富良野市 北の峰町
076-0035 北海道 富良野市 学田三区
076-0036 北海道 富良野市 島ノ下
076-0037 北海道 富良野市 西町
076-0038 北海道 富良野市 桂木町
076-0039 北海道 富良野市 信濃沢
076-0041 北海道 富良野市 東鳥沼
076-0042 北海道 富良野市 西鳥沼
076-0043 北海道 富良野市 南大沼
076-0044 北海道 富良野市 北大沼
076-0045 北海道 富良野市 東学田二区
076-0046 北海道 富良野市 北斗町
076-0047 北海道 富良野市 西学田二区
076-0048 北海道 富良野市 清水山
076-0050 北海道 富良野市 東雲町
076-0051 北海道 富良野市 東麻町
076-0052 北海道 富良野市 南麻町
076-0053 北海道 富良野市 東町
076-0054 北海道 富良野市 春日町
076-0055 北海道 富良野市 西麻町
076-0056 北海道 富良野市 瑞穂町
076-0057 北海道 富良野市 住吉町
076-0058 北海道 富良野市 新光町
076-0059 北海道 富良野市 北麻町
076-0081 北海道 芦別市 泉
076-0161 北海道 富良野市 麓郷市街地
076-0162 北海道 富良野市 東麓郷
076-0163 北海道 富良野市 西麓郷
076-0164 北海道 富良野市 南麓郷
076-0165 北海道 富良野市 北麓郷
076-0171 北海道 富良野市 布礼別市街地
076-0172 北海道 富良野市 東布礼別
076-0173 北海道 富良野市 西布礼別
076-0174 北海道 富良野市 南布礼別
076-0175 北海道 富良野市 北布礼別
076-0176 北海道 富良野市 中布礼別
076-0181 北海道 富良野市 東富丘
076-0182 北海道 富良野市 西富丘
076-0183 北海道 富良野市 富丘更生
076-0184 北海道 富良野市 八幡丘
076-0201 北海道 富良野市 西達布
076-0202 北海道 富良野市 東山
076-0203 北海道 富良野市 老節布
076-0204 北海道 富良野市 平沢
076-8511 北海道 富良野市 中御料
076-8555 北海道 富良野市 弥生町
076-8609 北海道 富良野市 緑町
076-8666 北海道 富良野市 朝日町
076-8765 北海道 富良野市 幸町
077-0000 北海道 留萌市 
077-0001 北海道 留萌市 三泊町
077-0002 北海道 留萌市 塩見町
077-0003 北海道 留萌市 春日町
077-0004 北海道 留萌市 元町
077-0005 北海道 留萌市 船場町
077-0006 北海道 留萌市 末広町
077-0007 北海道 留萌市 栄町
077-0011 北海道 留萌市 東雲町
077-0012 北海道 留萌市 大和田
077-0013 北海道 留萌市 潮静
077-0013 北海道 留萌市 留萌原野
077-0014 北海道 留萌市 南町
077-0015 北海道 留萌市 緑ケ丘町
077-0016 北海道 留萌市 元川町
077-0021 北海道 留萌市 高砂町
077-0022 北海道 留萌市 堀川町
077-0023 北海道 留萌市 五十嵐町
077-0024 北海道 留萌市 千鳥町
077-0025 北海道 留萌市 野本町
077-0026 北海道 留萌市 泉町
077-0027 北海道 留萌市 住之江町
077-0028 北海道 留萌市 花園町
077-0031 北海道 留萌市 幸町
077-0032 北海道 留萌市 宮園町
077-0033 北海道 留萌市 見晴町
077-0034 北海道 留萌市 平和台
077-0035 北海道 留萌市 礼受町
077-0036 北海道 留萌市 浜中町
077-0037 北海道 留萌市 沖見町
077-0038 北海道 留萌市 寿町
077-0041 北海道 留萌市 明元町
077-0042 北海道 留萌市 開運町
077-0043 北海道 留萌市 旭町
077-0044 北海道 留萌市 錦町
077-0045 北海道 留萌市 本町
077-0046 北海道 留萌市 港町
077-0047 北海道 留萌市 瀬越町
077-0048 北海道 留萌市 大町
077-0131 北海道 増毛郡増毛町 阿分
077-0132 北海道 増毛郡増毛町 舎熊
077-0133 北海道 増毛郡増毛町 信砂
077-0134 北海道 増毛郡増毛町 御料
077-0200 北海道 増毛郡増毛町 
077-0201 北海道 増毛郡増毛町 永寿町
077-0202 北海道 増毛郡増毛町 野塚町
077-0203 北海道 増毛郡増毛町 稲葉海岸町
077-0204 北海道 増毛郡増毛町 稲葉町
077-0205 北海道 増毛郡増毛町 弁天町
077-0206 北海道 増毛郡増毛町 中歌
077-0207 北海道 増毛郡増毛町 箸別
077-0208 北海道 増毛郡増毛町 湯の沢
077-0209 北海道 増毛郡増毛町 舎熊
077-0211 北海道 増毛郡増毛町 暑寒海岸町
077-0212 北海道 増毛郡増毛町 七源町
077-0213 北海道 増毛郡増毛町 畠中北町
077-0214 北海道 増毛郡増毛町 畠中町
077-0215 北海道 増毛郡増毛町 暑寒町
077-0216 北海道 増毛郡増毛町 暑寒沢
077-0217 北海道 増毛郡増毛町 別苅
077-0218 北海道 増毛郡増毛町 栄町
077-0221 北海道 増毛郡増毛町 港町
077-0222 北海道 増毛郡増毛町 見晴町
077-0223 北海道 増毛郡増毛町 南永寿町
077-0224 北海道 増毛郡増毛町 南畠中町
077-0225 北海道 増毛郡増毛町 南暑寒町
077-0292 北海道 増毛郡増毛町 弁天町
077-0293 北海道 増毛郡増毛町 港町
077-0295 北海道 増毛郡増毛町 南畠中町
077-0296 北海道 増毛郡増毛町 南暑寒町
077-0297 北海道 増毛郡増毛町 南暑寒町
077-0341 北海道 増毛郡増毛町 雄冬
077-0344 北海道 増毛郡増毛町 岩老
077-0345 北海道 増毛郡増毛町 岩尾
077-0351 北海道 石狩市 浜益区雄冬
077-0461 北海道 留萌郡小平町 川上
077-0462 北海道 留萌郡小平町 滝下
077-0463 北海道 留萌郡小平町 達布
077-0464 北海道 留萌郡小平町 住吉
077-0465 北海道 留萌郡小平町 寧楽
077-0466 北海道 留萌郡小平町 平和
077-8501 北海道 留萌市 寿町
077-8511 北海道 留萌市 東雲町
077-8585 北海道 留萌市 住之江町
077-8601 北海道 留萌市 幸町
077-8660 北海道 留萌市 末広町
077-8686 北海道 留萌市 花園町
078-0151 北海道 深川市 納内町
078-0152 北海道 深川市 音江町
078-0153 北海道 深川市 納内町北
078-0154 北海道 深川市 納内町グリーンタウン
078-0185 北海道 旭川市 神居町神居古潭
078-0186 北海道 旭川市 神居町西丘
078-0300 北海道 上川郡比布町 
078-0310 北海道 上川郡比布町 基線
078-0311 北海道 上川郡比布町 南１線
078-0321 北海道 上川郡比布町 北１線
078-0322 北海道 上川郡比布町 北２線
078-0323 北海道 上川郡比布町 北３線
078-0324 北海道 上川郡比布町 北４線
078-0325 北海道 上川郡比布町 北５線
078-0326 北海道 上川郡比布町 北６線
078-0327 北海道 上川郡比布町 北７線
078-0328 北海道 上川郡比布町 北８線
078-0329 北海道 上川郡比布町 北９線
078-0330 北海道 上川郡比布町 北１０線
078-0331 北海道 上川郡比布町 北１１線
078-0332 北海道 上川郡比布町 北１２線
078-0333 北海道 上川郡比布町 北１３線
078-0334 北海道 上川郡比布町 北１４線
078-0335 北海道 上川郡比布町 北１５線
078-0341 北海道 上川郡比布町 市街地
078-0342 北海道 上川郡比布町 西町
078-0343 北海道 上川郡比布町 中町
078-0344 北海道 上川郡比布町 緑町
078-0345 北海道 上川郡比布町 南町
078-0346 北海道 上川郡比布町 新町
078-0347 北海道 上川郡比布町 東町
078-0348 北海道 上川郡比布町 北町
078-0349 北海道 上川郡比布町 寿町
078-0392 北海道 上川郡比布町 北町
078-0397 北海道 上川郡比布町 南１線
078-1271 北海道 旭川市 東旭川町東桜岡
078-1272 北海道 旭川市 東旭川町豊田
078-1273 北海道 旭川市 東旭川町米原
078-1274 北海道 旭川市 東旭川町瑞穂
078-1300 北海道 上川郡当麻町 
078-1303 北海道 上川郡当麻町 三条西
078-1304 北海道 上川郡当麻町 四条西
078-1305 北海道 上川郡当麻町 五条西
078-1306 北海道 上川郡当麻町 六条西
078-1313 北海道 上川郡当麻町 三条東
078-1314 北海道 上川郡当麻町 四条東
078-1315 北海道 上川郡当麻町 五条東
078-1316 北海道 上川郡当麻町 六条東
078-1324 北海道 上川郡当麻町 四条南
078-1331 北海道 上川郡当麻町 中央
078-1332 北海道 上川郡当麻町 宇園別
078-1333 北海道 上川郡当麻町 伊香牛
078-1334 北海道 上川郡当麻町 北星
078-1335 北海道 上川郡当麻町 緑郷
078-1337 北海道 上川郡当麻町 東
078-1341 北海道 上川郡当麻町 開明
078-1393 北海道 上川郡当麻町 三条東
078-1395 北海道 上川郡当麻町 四条東
078-1400 北海道 上川郡愛別町 
078-1401 北海道 上川郡愛別町 愛別
078-1402 北海道 上川郡愛別町 東町
078-1403 北海道 上川郡愛別町 南町
078-1404 北海道 上川郡愛別町 北町
078-1405 北海道 上川郡愛別町 本町
078-1411 北海道 上川郡愛別町 金富
078-1412 北海道 上川郡愛別町 厚生
078-1413 北海道 上川郡愛別町 伏古
078-1414 北海道 上川郡愛別町 協和
078-1415 北海道 上川郡愛別町 徳星
078-1492 北海道 上川郡愛別町 本町
078-1493 北海道 上川郡愛別町 本町
078-1495 北海道 上川郡愛別町 本町
078-1651 北海道 上川郡愛別町 豊里
078-1652 北海道 上川郡愛別町 中央
078-1653 北海道 上川郡愛別町 愛山
078-1654 北海道 上川郡愛別町 愛山町
078-1700 北海道 上川郡上川町 
078-1701 北海道 上川郡上川町 層雲峡
078-1711 北海道 上川郡上川町 清川
078-1712 北海道 上川郡上川町 白川
078-1721 北海道 上川郡上川町 菊水
078-1722 北海道 上川郡上川町 新光町
078-1731 北海道 上川郡上川町 東雲
078-1732 北海道 上川郡上川町 共進
078-1733 北海道 上川郡上川町 栄町
078-1741 北海道 上川郡上川町 中央町
078-1742 北海道 上川郡上川町 西町
078-1743 北海道 上川郡上川町 花園町
078-1744 北海道 上川郡上川町 北町
078-1751 北海道 上川郡上川町 本町
078-1752 北海道 上川郡上川町 川端町
078-1753 北海道 上川郡上川町 南町
078-1761 北海道 上川郡上川町 旭町
078-1762 北海道 上川郡上川町 新町
078-1763 北海道 上川郡上川町 東町
078-1771 北海道 上川郡上川町 中越
078-1772 北海道 上川郡上川町 天幕
078-1773 北海道 上川郡上川町 日東
078-1774 北海道 上川郡上川町 豊原
078-1775 北海道 上川郡上川町 越路
078-1792 北海道 上川郡上川町 層雲峡
078-1793 北海道 上川郡上川町 層雲峡
078-1795 北海道 上川郡上川町 層雲峡
078-1796 北海道 上川郡上川町 層雲峡
078-1797 北海道 上川郡上川町 層雲峡
078-2100 北海道 雨竜郡秩父別町 
078-2101 北海道 雨竜郡秩父別町 １条
078-2102 北海道 雨竜郡秩父別町 ２条
078-2103 北海道 雨竜郡秩父別町 ３条
