310-0000 茨城県 水戸市 
312-8505 茨城県 ひたちなか市 稲田
312-8507 茨城県 ひたちなか市 堀口
312-8508 茨城県 ひたちなか市 中根
312-8511 茨城県 ひたちなか市 市毛
313-0000 茨城県 常陸太田市 
313-0001 茨城県 常陸太田市 上大門町
313-0002 茨城県 常陸太田市 下大門町
313-0003 茨城県 常陸太田市 瑞龍町
313-0004 茨城県 常陸太田市 馬場町
313-0005 茨城県 常陸太田市 栄町
313-0006 茨城県 常陸太田市 宮本町
313-0007 茨城県 常陸太田市 新宿町
313-0008 茨城県 常陸太田市 増井町
313-0011 茨城県 常陸太田市 西宮町
313-0012 茨城県 常陸太田市 三才町
313-0013 茨城県 常陸太田市 山下町
313-0014 茨城県 常陸太田市 木崎二町
313-0015 茨城県 常陸太田市 木崎一町
313-0016 茨城県 常陸太田市 金井町
313-0021 茨城県 常陸太田市 大森町
313-0022 茨城県 常陸太田市 真弓町
313-0023 茨城県 常陸太田市 亀作町
313-0024 茨城県 常陸太田市 高貫町
313-0025 茨城県 常陸太田市 幡町
313-0026 茨城県 常陸太田市 田渡町
313-0027 茨城県 常陸太田市 長谷町
313-0031 茨城県 常陸太田市 岡田町
313-0032 茨城県 常陸太田市 沢目町
313-0033 茨城県 常陸太田市 小目町
313-0034 茨城県 常陸太田市 上土木内町
313-0035 茨城県 常陸太田市 堅磐町
313-0036 茨城県 常陸太田市 落合町
313-0037 茨城県 常陸太田市 内田町
313-0038 茨城県 常陸太田市 小沢町
313-0041 茨城県 常陸太田市 稲木町
313-0042 茨城県 常陸太田市 磯部町
313-0043 茨城県 常陸太田市 谷河原町
313-0044 茨城県 常陸太田市 下河合町
313-0045 茨城県 常陸太田市 粟原町
313-0046 茨城県 常陸太田市 上河合町
313-0047 茨城県 常陸太田市 島町
313-0048 茨城県 常陸太田市 藤田町
313-0049 茨城県 常陸太田市 天神林町
313-0051 茨城県 常陸太田市 東一町
313-0052 茨城県 常陸太田市 東二町
313-0053 茨城県 常陸太田市 東三町
313-0054 茨城県 常陸太田市 西三町
313-0055 茨城県 常陸太田市 西二町
313-0056 茨城県 常陸太田市 西一町
313-0061 茨城県 常陸太田市 中城町
313-0062 茨城県 常陸太田市 塙町
313-0063 茨城県 常陸太田市 内堀町
313-0064 茨城県 常陸太田市 寿町
313-0101 茨城県 常陸太田市 上宮河内町
313-0102 茨城県 常陸太田市 赤土町
313-0103 茨城県 常陸太田市 下宮河内町
313-0104 茨城県 常陸太田市 上利員町
313-0105 茨城県 常陸太田市 中利員町
313-0106 茨城県 常陸太田市 下利員町
313-0111 茨城県 常陸太田市 千寿町
313-0112 茨城県 常陸太田市 岩手町
313-0113 茨城県 常陸太田市 高柿町
313-0114 茨城県 常陸太田市 箕町
313-0115 茨城県 常陸太田市 竹合町
313-0116 茨城県 常陸太田市 大方町
313-0117 茨城県 常陸太田市 宮の郷町
313-0121 茨城県 常陸太田市 芦間町
313-0122 茨城県 常陸太田市 玉造町
313-0123 茨城県 常陸太田市 久米町
313-0124 茨城県 常陸太田市 大平町
313-0125 茨城県 常陸太田市 大里町
313-0126 茨城県 常陸太田市 薬谷町
313-0131 茨城県 常陸太田市 花房町
313-0132 茨城県 常陸太田市 新地町
313-0133 茨城県 常陸太田市 松栄町
313-0134 茨城県 常陸太田市 中野町
313-0135 茨城県 常陸太田市 小島町
313-0211 茨城県 常陸太田市 東染町
313-0212 茨城県 常陸太田市 中染町
313-0213 茨城県 常陸太田市 町田町
313-0214 茨城県 常陸太田市 和久町
313-0215 茨城県 常陸太田市 西染町
313-0221 茨城県 常陸太田市 国安町
313-0222 茨城県 常陸太田市 松平町
313-0223 茨城県 常陸太田市 和田町
313-0224 茨城県 常陸太田市 東連地町
313-0225 茨城県 常陸太田市 棚谷町
313-0351 茨城県 常陸太田市 天下野町
313-0352 茨城県 常陸太田市 下高倉町
313-0353 茨城県 常陸太田市 上高倉町
313-8511 茨城県 常陸太田市 木崎二町
313-8555 茨城県 常陸太田市 木崎一町
313-8585 茨城県 常陸太田市 西三町
313-8611 茨城県 常陸太田市 金井町
313-8666 茨城県 常陸太田市 山下町
313-8686 茨城県 常陸太田市 金井町
314-0000 茨城県 鹿嶋市 
314-0001 茨城県 鹿嶋市 清水
314-0002 茨城県 鹿嶋市 明石
314-0003 茨城県 鹿嶋市 小宮作
314-0004 茨城県 鹿嶋市 下津
314-0005 茨城県 鹿嶋市 高天原
314-0006 茨城県 鹿嶋市 宮津台
314-0007 茨城県 鹿嶋市 神向寺
314-0011 茨城県 鹿嶋市 港ケ丘
314-0012 茨城県 鹿嶋市 平井
314-0013 茨城県 鹿嶋市 新浜
314-0014 茨城県 鹿嶋市 光
314-0015 茨城県 鹿嶋市 泉川
314-0016 茨城県 鹿嶋市 国末
314-0017 茨城県 鹿嶋市 旭ケ丘
314-0021 茨城県 鹿嶋市 粟生
314-0022 茨城県 鹿嶋市 長栖
314-0023 茨城県 鹿嶋市 谷原
314-0024 茨城県 鹿嶋市 鰐川
314-0025 茨城県 鹿嶋市 下塙
314-0026 茨城県 鹿嶋市 木滝佐田谷原入会
314-0027 茨城県 鹿嶋市 佐田
314-0028 茨城県 鹿嶋市 木滝
314-0030 茨城県 鹿嶋市 厨
314-0031 茨城県 鹿嶋市 宮中
314-0032 茨城県 鹿嶋市 宮下
314-0033 茨城県 鹿嶋市 鉢形台
314-0034 茨城県 鹿嶋市 鉢形
314-0035 茨城県 鹿嶋市 根三田
314-0036 茨城県 鹿嶋市 大船津
314-0037 茨城県 鹿嶋市 神野
314-0038 茨城県 鹿嶋市 城山
314-0039 茨城県 鹿嶋市 緑ヶ丘
314-0041 茨城県 鹿嶋市 沼尾
314-0042 茨城県 鹿嶋市 田野辺
314-0043 茨城県 鹿嶋市 田谷
314-0044 茨城県 鹿嶋市 猿田
314-0045 茨城県 鹿嶋市 山之上
314-0046 茨城県 鹿嶋市 爪木
314-0047 茨城県 鹿嶋市 須賀
314-0048 茨城県 鹿嶋市 田谷沼
314-0051 茨城県 神栖市 光
314-0052 茨城県 神栖市 居切
314-0100 茨城県 神栖市 
314-0101 茨城県 神栖市 北浜
314-0102 茨城県 神栖市 東和田
314-0103 茨城県 神栖市 東深芝
314-0111 茨城県 神栖市 南浜
314-0112 茨城県 神栖市 知手中央
314-0113 茨城県 神栖市 横瀬
314-0114 茨城県 神栖市 日川
314-0115 茨城県 神栖市 知手
314-0116 茨城県 神栖市 奥野谷
314-0121 茨城県 神栖市 溝口
314-0122 茨城県 神栖市 萩原
314-0123 茨城県 神栖市 芝崎
314-0124 茨城県 神栖市 石神
314-0125 茨城県 神栖市 高浜
314-0126 茨城県 神栖市 田畑
314-0127 茨城県 神栖市 木崎
314-0128 茨城県 神栖市 大野原中央
314-0131 茨城県 神栖市 下幡木
314-0132 茨城県 神栖市 筒井
314-0133 茨城県 神栖市 息栖
314-0134 茨城県 神栖市 賀
314-0135 茨城県 神栖市 堀割
314-0141 茨城県 神栖市 居切
314-0142 茨城県 神栖市 深芝南
314-0143 茨城県 神栖市 神栖
314-0144 茨城県 神栖市 大野原
314-0145 茨城県 神栖市 平泉外１２入会
314-0145 茨城県 神栖市 平泉東
314-0146 茨城県 神栖市 平泉
314-0147 茨城県 神栖市 鰐川
314-0148 茨城県 神栖市 深芝
314-0192 茨城県 神栖市 溝口
314-0193 茨城県 神栖市 東深芝
314-0194 茨城県 神栖市 東深芝
314-0195 茨城県 神栖市 東和田
314-0197 茨城県 神栖市 東和田
314-0198 茨城県 神栖市 東和田
314-0252 茨城県 神栖市 柳川
314-0253 茨城県 神栖市 須田
314-0254 茨城県 神栖市 太田
314-0255 茨城県 神栖市 砂山
314-0256 茨城県 神栖市 若松中央
314-0257 茨城県 神栖市 太田新町
314-0258 茨城県 神栖市 柳川中央
314-0341 茨城県 神栖市 矢田部
314-0342 茨城県 神栖市 土合北
314-0343 茨城県 神栖市 土合本町
314-0344 茨城県 神栖市 土合東
314-0345 茨城県 神栖市 土合南
314-0346 茨城県 神栖市 土合西
314-0347 茨城県 神栖市 土合中央
314-0407 茨城県 神栖市 波崎新港
314-0408 茨城県 神栖市 波崎
314-8501 茨城県 鹿嶋市 平井
314-8655 茨城県 鹿嶋市 平井
315-0000 茨城県 石岡市 
315-0000 茨城県 かすみがうら市 
315-0001 茨城県 石岡市 石岡
315-0002 茨城県 石岡市 柏原
315-0003 茨城県 石岡市 谷向町
315-0004 茨城県 石岡市 柏原町
315-0005 茨城県 石岡市 鹿の子
315-0006 茨城県 石岡市 並木
315-0007 茨城県 石岡市 染谷
315-0008 茨城県 石岡市 村上
315-0009 茨城県 石岡市 大砂
315-0010 茨城県 石岡市 碁石沢
315-0011 茨城県 石岡市 正上内
315-0012 茨城県 石岡市 北府中
315-0013 茨城県 石岡市 府中
315-0014 茨城県 石岡市 国府
315-0015 茨城県 石岡市 貝地
315-0016 茨城県 石岡市 総社
315-0017 茨城県 石岡市 若宮
315-0018 茨城県 石岡市 若松
315-0019 茨城県 石岡市 栄松
315-0021 茨城県 石岡市 荒金
315-0022 茨城県 石岡市 行里川
315-0023 茨城県 石岡市 東府中
315-0024 茨城県 石岡市 八軒台
315-0025 茨城県 石岡市 泉町
315-0026 茨城県 石岡市 杉の井
315-0027 茨城県 石岡市 杉並
315-0028 茨城県 石岡市 半ノ木
315-0029 茨城県 石岡市 根当
315-0030 茨城県 石岡市 池の台
315-0031 茨城県 石岡市 東大橋
315-0032 茨城県 石岡市 小井戸
315-0033 茨城県 石岡市 東光台
315-0034 茨城県 石岡市 東田中
315-0035 茨城県 石岡市 南台
315-0036 茨城県 石岡市 大谷津
315-0037 茨城県 石岡市 東石岡
315-0038 茨城県 石岡市 旭台
315-0041 茨城県 石岡市 田島
315-0042 茨城県 石岡市 茨城
315-0043 茨城県 石岡市 中津川
315-0044 茨城県 石岡市 北根本
315-0045 茨城県 石岡市 高浜
315-0046 茨城県 石岡市 石川
315-0047 茨城県 石岡市 井関
315-0048 茨城県 石岡市 三村
315-0051 茨城県 かすみがうら市 新治
315-0052 茨城県 かすみがうら市 下稲吉
315-0053 茨城県 かすみがうら市 稲吉東
315-0054 茨城県 かすみがうら市 稲吉
315-0055 茨城県 かすみがうら市 稲吉南
315-0056 茨城県 かすみがうら市 上稲吉
315-0057 茨城県 かすみがうら市 上土田
315-0058 茨城県 かすみがうら市 下土田
315-0061 茨城県 かすみがうら市 五反田
315-0062 茨城県 かすみがうら市 横堀
315-0063 茨城県 かすみがうら市 飯田
315-0064 茨城県 かすみがうら市 大峰
315-0065 茨城県 かすみがうら市 上佐谷
315-0066 茨城県 かすみがうら市 中佐谷
315-0067 茨城県 かすみがうら市 下佐谷
315-0068 茨城県 かすみがうら市 山本
315-0069 茨城県 かすみがうら市 雪入
315-0071 茨城県 かすみがうら市 市川
315-0072 茨城県 かすみがうら市 東野寺
315-0073 茨城県 かすみがうら市 西野寺
315-0074 茨城県 かすみがうら市 下志筑
315-0075 茨城県 かすみがうら市 中志筑
315-0076 茨城県 かすみがうら市 上志筑
315-0077 茨城県 かすみがうら市 高倉
315-0078 茨城県 かすみがうら市 粟田
315-0101 茨城県 石岡市 大増
315-0102 茨城県 石岡市 太田
315-0103 茨城県 石岡市 中戸
315-0104 茨城県 石岡市 小見
315-0105 茨城県 石岡市 大塚
315-0111 茨城県 石岡市 瓦谷
315-0112 茨城県 石岡市 部原
315-0113 茨城県 石岡市 片岡
315-0114 茨城県 石岡市 嘉良寿理
315-0115 茨城県 石岡市 浦須
315-0116 茨城県 石岡市 柿岡
315-0117 茨城県 石岡市 佐久
315-0118 茨城県 石岡市 野田
315-0121 茨城県 石岡市 真家
315-0122 茨城県 石岡市 東成井
315-0123 茨城県 石岡市 宮ケ崎
315-0124 茨城県 石岡市 柴間
315-0125 茨城県 石岡市 山崎
315-0131 茨城県 石岡市 下林
315-0132 茨城県 石岡市 根小屋
315-0133 茨城県 石岡市 半田
315-0134 茨城県 石岡市 川又
315-0135 茨城県 石岡市 加生野
315-0136 茨城県 石岡市 片野
315-0137 茨城県 石岡市 金指
315-0138 茨城県 石岡市 上林
315-0141 茨城県 石岡市 月岡
315-0142 茨城県 石岡市 弓弦
315-0143 茨城県 石岡市 柴内
315-0144 茨城県 石岡市 小野越
315-0145 茨城県 石岡市 仏生寺
315-0146 茨城県 石岡市 菖蒲沢
315-0147 茨城県 石岡市 辻
315-0148 茨城県 石岡市 青田
315-0151 茨城県 石岡市 須釜
315-0152 茨城県 石岡市 細谷
315-0153 茨城県 石岡市 下青柳
315-0154 茨城県 石岡市 上青柳
315-0155 茨城県 石岡市 小幡
315-0156 茨城県 石岡市 吉生
315-0157 茨城県 石岡市 上曽
315-0161 茨城県 石岡市 小塙
315-0162 茨城県 石岡市 宇治会
315-0163 茨城県 石岡市 鯨岡
315-0164 茨城県 石岡市 小屋
315-0165 茨城県 石岡市 小倉
315-0166 茨城県 石岡市 小山田
315-0167 茨城県 石岡市 龍明
315-0195 茨城県 石岡市 柿岡
315-8511 茨城県 石岡市 荒金
315-8512 茨城県 かすみがうら市 上土田
315-8513 茨城県 かすみがうら市 下稲吉
315-8518 茨城県 かすみがうら市 上稲吉
315-8522 茨城県 石岡市 田島
315-8525 茨城県 かすみがうら市 上稲吉
315-8585 茨城県 石岡市 柏原
315-8640 茨城県 石岡市 石岡
316-0001 茨城県 日立市 諏訪町
316-0002 茨城県 日立市 桜川町
316-0003 茨城県 日立市 多賀町
316-0004 茨城県 日立市 東多賀町
316-0005 茨城県 日立市 河原子町
316-0006 茨城県 日立市 末広町
316-0007 茨城県 日立市 中丸町
316-0011 茨城県 日立市 塙山町
316-0012 茨城県 日立市 大久保町
316-0013 茨城県 日立市 千石町
316-0014 茨城県 日立市 東金沢町
316-0015 茨城県 日立市 金沢町
316-0021 茨城県 日立市 台原町
316-0022 茨城県 日立市 大沼町
316-0023 茨城県 日立市 東大沼町
316-0024 茨城県 日立市 水木町
316-0025 茨城県 日立市 森山町
316-0026 茨城県 日立市 みかの原町
316-0031 茨城県 日立市 成沢町
316-0032 茨城県 日立市 西成沢町
316-0033 茨城県 日立市 中成沢町
316-0034 茨城県 日立市 東成沢町
316-0035 茨城県 日立市 国分町
316-0036 茨城県 日立市 鮎川町
316-8501 茨城県 日立市 国分町
316-8502 茨城県 日立市 東多賀町
316-8511 茨城県 日立市 中成沢町
316-8533 茨城県 日立市 鮎川町
317-0000 茨城県 日立市 
317-0051 茨城県 日立市 滑川本町
317-0052 茨城県 日立市 東滑川町
317-0053 茨城県 日立市 滑川町
317-0054 茨城県 日立市 本宮町
317-0055 茨城県 日立市 宮田町
317-0056 茨城県 日立市 白銀町
317-0061 茨城県 日立市 東町
317-0062 茨城県 日立市 平和町
317-0063 茨城県 日立市 若葉町
317-0064 茨城県 日立市 神峰町
317-0065 茨城県 日立市 助川町
317-0066 茨城県 日立市 高鈴町
317-0071 茨城県 日立市 鹿島町
317-0072 茨城県 日立市 弁天町
317-0073 茨城県 日立市 幸町
317-0074 茨城県 日立市 旭町
317-0075 茨城県 日立市 相賀町
317-0076 茨城県 日立市 会瀬町
317-0077 茨城県 日立市 城南町
317-8511 茨城県 日立市 幸町
317-8555 茨城県 日立市 東町
317-8601 茨城県 日立市 助川町
317-8602 茨城県 日立市 若葉町
318-0000 茨城県 高萩市 
318-0001 茨城県 高萩市 赤浜
318-0002 茨城県 高萩市 高戸
318-0003 茨城県 高萩市 下手綱
318-0004 茨城県 高萩市 上手綱
318-0005 茨城県 高萩市 望海
318-0011 茨城県 高萩市 肥前町
318-0012 茨城県 高萩市 有明町
318-0013 茨城県 高萩市 高浜町
318-0014 茨城県 高萩市 東本町
318-0021 茨城県 高萩市 安良川
318-0022 茨城県 高萩市 石滝
318-0023 茨城県 高萩市 島名
318-0024 茨城県 高萩市 秋山
318-0025 茨城県 高萩市 福平
318-0031 茨城県 高萩市 春日町
318-0032 茨城県 高萩市 大和町
318-0033 茨城県 高萩市 本町
318-0034 茨城県 高萩市 高萩
318-0101 茨城県 高萩市 横川
318-0102 茨城県 高萩市 若栗
318-0103 茨城県 高萩市 大能
318-0104 茨城県 高萩市 中戸川
318-0105 茨城県 高萩市 上君田
318-0106 茨城県 高萩市 下君田
318-8501 茨城県 高萩市 赤浜
318-8511 茨城県 高萩市 本町
319-0100 茨城県 小美玉市 
319-0101 茨城県 小美玉市 橋場美
319-0102 茨城県 小美玉市 西郷地
319-0103 茨城県 小美玉市 柴高
319-0104 茨城県 小美玉市 三箇
319-0105 茨城県 小美玉市 鶴田
319-0106 茨城県 小美玉市 堅倉
319-0107 茨城県 小美玉市 小岩戸
319-0108 茨城県 小美玉市 先後
319-0111 茨城県 小美玉市 中野谷
319-0112 茨城県 小美玉市 竹原下郷
319-0113 茨城県 小美玉市 竹原
319-0114 茨城県 小美玉市 竹原中郷
319-0115 茨城県 小美玉市 上馬場
319-0116 茨城県 小美玉市 中台
319-0121 茨城県 小美玉市 羽刈
319-0122 茨城県 小美玉市 江戸
319-0123 茨城県 小美玉市 羽鳥
319-0124 茨城県 小美玉市 花野井
319-0125 茨城県 小美玉市 小曽納
319-0126 茨城県 小美玉市 大谷
319-0131 茨城県 小美玉市 寺崎
319-0132 茨城県 小美玉市 部室
319-0133 茨城県 小美玉市 張星
319-0134 茨城県 小美玉市 納場
319-0135 茨城県 小美玉市 高田
319-0136 茨城県 小美玉市 手堤
319-0137 茨城県 小美玉市 大笹
319-0192 茨城県 小美玉市 堅倉
319-0198 茨城県 小美玉市 羽鳥
319-0201 茨城県 笠間市 上郷
319-0202 茨城県 笠間市 下郷
319-0203 茨城県 笠間市 吉岡
319-0204 茨城県 笠間市 土師
319-0205 茨城県 笠間市 押辺
319-0206 茨城県 笠間市 安居
319-0207 茨城県 笠間市 福島
319-0208 茨城県 笠間市 市野谷
319-0209 茨城県 笠間市 泉
319-0292 茨城県 笠間市 安居
319-0293 茨城県 笠間市 吉岡
319-0294 茨城県 笠間市 下郷
319-0295 茨城県 笠間市 安居
319-0301 茨城県 水戸市 田島町
319-0302 茨城県 水戸市 三野輪町
319-0303 茨城県 水戸市 黒磯町
319-0304 茨城県 水戸市 有賀町
319-0305 茨城県 水戸市 中原町
319-0306 茨城県 水戸市 杉崎町
319-0307 茨城県 水戸市 小原町
319-0311 茨城県 水戸市 牛伏町
319-0312 茨城県 水戸市 大足町
319-0313 茨城県 水戸市 筑地町
319-0314 茨城県 水戸市 赤尾関町
319-0315 茨城県 水戸市 内原町
319-0316 茨城県 水戸市 三湯町
319-0321 茨城県 水戸市 高田町
319-0322 茨城県 水戸市 下野町
319-0323 茨城県 水戸市 鯉淵町
319-0324 茨城県 水戸市 五平町
319-0325 茨城県 水戸市 小林町
319-0393 茨城県 水戸市 内原町
319-0394 茨城県 水戸市 中原町
319-0395 茨城県 水戸市 中原町
319-0397 茨城県 水戸市 三湯町
319-1100 茨城県 那珂郡東海村 
319-1101 茨城県 那珂郡東海村 石神外宿
319-1102 茨城県 那珂郡東海村 石神内宿
319-1103 茨城県 那珂郡東海村 竹瓦
319-1104 茨城県 那珂郡東海村 亀下
319-1105 茨城県 那珂郡東海村 豊岡
319-1106 茨城県 那珂郡東海村 白方
319-1107 茨城県 那珂郡東海村 豊白
319-1108 茨城県 那珂郡東海村 村松北
319-1109 茨城県 那珂郡東海村 白方中央
319-1111 茨城県 那珂郡東海村 舟石川
319-1112 茨城県 那珂郡東海村 村松
319-1113 茨城県 那珂郡東海村 照沼
319-1114 茨城県 那珂郡東海村 須和間
319-1115 茨城県 那珂郡東海村 船場
319-1116 茨城県 那珂郡東海村 舟石川駅西
319-1117 茨城県 那珂郡東海村 東海
319-1118 茨城県 那珂郡東海村 舟石川駅東
319-1184 茨城県 那珂郡東海村 村松
319-1188 茨城県 那珂郡東海村 白方
319-1192 茨城県 那珂郡東海村 白方
319-1194 茨城県 那珂郡東海村 村松
319-1195 茨城県 那珂郡東海村 白方
319-1196 茨城県 那珂郡東海村 村松
319-1221 茨城県 日立市 大みか町
319-1222 茨城県 日立市 久慈町
319-1223 茨城県 日立市 みなと町
319-1224 茨城県 日立市 南高野町
319-1225 茨城県 日立市 石名坂町
319-1231 茨城県 日立市 留町
319-1232 茨城県 日立市 下土木内町
319-1233 茨城県 日立市 神田町
319-1234 茨城県 日立市 大和田町
319-1235 茨城県 日立市 茂宮町
319-1292 茨城県 日立市 大みか町
319-1293 茨城県 日立市 大みか町
319-1295 茨城県 日立市 大みか町
319-1301 茨城県 日立市 十王町伊師
319-1302 茨城県 日立市 十王町伊師本郷
319-1303 茨城県 日立市 十王町友部東
319-1304 茨城県 日立市 十王町友部
319-1305 茨城県 日立市 十王町高原
319-1306 茨城県 日立市 十王町黒坂
319-1307 茨城県 日立市 十王町山部
319-1308 茨城県 日立市 十王町城の丘
319-1393 茨城県 日立市 十王町伊師
319-1411 茨城県 日立市 川尻町
319-1412 茨城県 日立市 折笠町
319-1413 茨城県 日立市 小木津町
319-1414 茨城県 日立市 日高町
319-1415 茨城県 日立市 相田町
319-1416 茨城県 日立市 田尻町
319-1417 茨城県 日立市 かみあい町
319-1418 茨城県 日立市 砂沢町
319-1500 茨城県 北茨城市 
319-1531 茨城県 北茨城市 華川町花園
319-1532 茨城県 北茨城市 華川町上小津田
319-1533 茨城県 北茨城市 華川町下小津田
319-1534 茨城県 北茨城市 華川町車
319-1535 茨城県 北茨城市 華川町臼場
319-1536 茨城県 北茨城市 華川町中妻
319-1537 茨城県 北茨城市 華川町下相田
319-1538 茨城県 北茨城市 華川町小豆畑
319-1541 茨城県 北茨城市 磯原町磯原
319-1542 茨城県 北茨城市 磯原町本町
319-1543 茨城県 北茨城市 磯原町豊田
319-1544 茨城県 北茨城市 磯原町上相田
319-1545 茨城県 北茨城市 磯原町木皿
319-1546 茨城県 北茨城市 磯原町大塚
319-1547 茨城県 北茨城市 磯原町内野
319-1551 茨城県 北茨城市 中郷町下桜井
319-1552 茨城県 北茨城市 中郷町足洗
319-1553 茨城県 北茨城市 中郷町汐見ケ丘
319-1554 茨城県 北茨城市 中郷町粟野
319-1555 茨城県 北茨城市 中郷町小野矢指
319-1556 茨城県 北茨城市 中郷町日棚
319-1557 茨城県 北茨城市 中郷町松井
319-1558 茨城県 北茨城市 中郷町石岡
319-1559 茨城県 北茨城市 中郷町上桜井
319-1592 茨城県 北茨城市 磯原町磯原
319-1593 茨城県 北茨城市 磯原町上相田
319-1701 茨城県 北茨城市 平潟町
319-1702 茨城県 北茨城市 大津町
319-1703 茨城県 北茨城市 大津町五浦
319-1704 茨城県 北茨城市 大津町北町
319-1711 茨城県 北茨城市 関南町関本下
319-1712 茨城県 北茨城市 関南町里根川
319-1713 茨城県 北茨城市 関南町仁井田
319-1714 茨城県 北茨城市 関南町神岡上
319-1715 茨城県 北茨城市 関南町神岡下
319-1721 茨城県 北茨城市 関本町関本上
319-1722 茨城県 北茨城市 関本町福田
319-1723 茨城県 北茨城市 関本町関本中
319-1724 茨城県 北茨城市 関本町八反
319-1725 茨城県 北茨城市 関本町富士ケ丘
319-1726 茨城県 北茨城市 関本町才丸
319-1727 茨城県 北茨城市 関本町小川
319-2102 茨城県 那珂市 瓜連
319-2103 茨城県 那珂市 中里
319-2104 茨城県 那珂市 平野
319-2105 茨城県 那珂市 古徳
319-2106 茨城県 那珂市 静
319-2107 茨城県 那珂市 下大賀
319-2131 茨城県 常陸大宮市 下村田
319-2132 茨城県 常陸大宮市 小場
319-2133 茨城県 常陸大宮市 小野
319-2134 茨城県 常陸大宮市 工業団地
319-2135 茨城県 常陸大宮市 石沢
319-2136 茨城県 常陸大宮市 上村田
319-2141 茨城県 常陸大宮市 下岩瀬
319-2142 茨城県 常陸大宮市 上岩瀬
319-2143 茨城県 常陸大宮市 根本
319-2144 茨城県 常陸大宮市 泉
319-2145 茨城県 常陸大宮市 宇留野
319-2200 茨城県 常陸大宮市 
319-2201 茨城県 常陸大宮市 辰ノ口
319-2202 茨城県 常陸大宮市 塩原
319-2203 茨城県 常陸大宮市 小倉
319-2204 茨城県 常陸大宮市 富岡
319-2205 茨城県 常陸大宮市 宮の郷
319-2211 茨城県 常陸大宮市 岩崎
319-2212 茨城県 常陸大宮市 上大賀
319-2213 茨城県 常陸大宮市 小祝
319-2214 茨城県 常陸大宮市 鷹巣
319-2221 茨城県 常陸大宮市 八田
319-2222 茨城県 常陸大宮市 若林
319-2223 茨城県 常陸大宮市 三美
319-2224 茨城県 常陸大宮市 東野
319-2225 茨城県 常陸大宮市 西塩子
319-2226 茨城県 常陸大宮市 北塩子
319-2227 茨城県 常陸大宮市 照田
319-2251 茨城県 常陸大宮市 姥賀町
319-2252 茨城県 常陸大宮市 東富町
319-2253 茨城県 常陸大宮市 高渡町
319-2254 茨城県 常陸大宮市 北町
319-2255 茨城県 常陸大宮市 野中町
319-2256 茨城県 常陸大宮市 田子内町
319-2261 茨城県 常陸大宮市 上町
319-2262 茨城県 常陸大宮市 下町
319-2263 茨城県 常陸大宮市 南町
319-2264 茨城県 常陸大宮市 栄町
319-2265 茨城県 常陸大宮市 中富町
319-2266 茨城県 常陸大宮市 抽ケ台町
319-2401 茨城県 常陸大宮市 上小瀬
319-2402 茨城県 常陸大宮市 下小瀬
319-2403 茨城県 常陸大宮市 那賀
319-2404 茨城県 常陸大宮市 国長
319-2405 茨城県 常陸大宮市 小玉
319-2411 茨城県 常陸大宮市 小舟
319-2412 茨城県 常陸大宮市 小瀬沢
319-2413 茨城県 常陸大宮市 松之草
319-2414 茨城県 常陸大宮市 吉丸
319-2415 茨城県 常陸大宮市 入本郷
319-2416 茨城県 常陸大宮市 千田
319-2417 茨城県 常陸大宮市 油河内
319-2418 茨城県 常陸大宮市 大岩
319-2511 茨城県 常陸大宮市 上檜沢
319-2512 茨城県 常陸大宮市 下檜沢
319-2513 茨城県 常陸大宮市 氷之沢
319-2601 茨城県 常陸大宮市 高部
319-2602 茨城県 常陸大宮市 小田野
319-2603 茨城県 常陸大宮市 鷲子
319-2692 茨城県 常陸大宮市 高部
319-3101 茨城県 常陸大宮市 久隆
319-3102 茨城県 常陸大宮市 盛金
319-3103 茨城県 常陸大宮市 家和楽
319-3104 茨城県 常陸大宮市 北富田
319-3105 茨城県 常陸大宮市 諸沢
319-3106 茨城県 常陸大宮市 西野内
319-3107 茨城県 常陸大宮市 舟生
319-3111 茨城県 常陸大宮市 山方
319-3112 茨城県 常陸大宮市 小貫
319-3113 茨城県 常陸大宮市 照山
319-3114 茨城県 常陸大宮市 野上
319-3115 茨城県 常陸大宮市 照田
319-3116 茨城県 常陸大宮市 長田
319-3117 茨城県 常陸大宮市 長沢
319-3361 茨城県 久慈郡大子町 頃藤
319-3362 茨城県 久慈郡大子町 西金
319-3363 茨城県 久慈郡大子町 北富田
319-3364 茨城県 久慈郡大子町 盛金
319-3365 茨城県 久慈郡大子町 栃原
319-3366 茨城県 久慈郡大子町 大沢
319-3500 茨城県 久慈郡大子町 
319-3511 茨城県 久慈郡大子町 高柴
319-3512 茨城県 久慈郡大子町 小生瀬
319-3513 茨城県 久慈郡大子町 大生瀬
319-3514 茨城県 久慈郡大子町 外大野
319-3515 茨城県 久慈郡大子町 内大野
319-3521 茨城県 久慈郡大子町 北田気
319-3522 茨城県 久慈郡大子町 久野瀬
319-3523 茨城県 久慈郡大子町 袋田
319-3524 茨城県 久慈郡大子町 下津原
319-3525 茨城県 久慈郡大子町 南田気
319-3526 茨城県 久慈郡大子町 大子
319-3531 茨城県 久慈郡大子町 上岡
319-3532 茨城県 久慈郡大子町 山田
319-3533 茨城県 久慈郡大子町 下金沢
319-3534 茨城県 久慈郡大子町 相川
319-3535 茨城県 久慈郡大子町 上金沢
319-3536 茨城県 久慈郡大子町 田野沢
319-3537 茨城県 久慈郡大子町 塙
