050-0000 北海道 室蘭市 
059-2598 北海道 日高郡新ひだか町 静内浦和
059-3101 北海道 日高郡新ひだか町 三石富沢
059-3102 北海道 日高郡新ひだか町 三石福畑
059-3103 北海道 日高郡新ひだか町 三石豊岡
059-3104 北海道 日高郡新ひだか町 三石蓬栄
059-3105 北海道 日高郡新ひだか町 三石東蓬莱
059-3106 北海道 日高郡新ひだか町 三石西蓬莱
059-3107 北海道 日高郡新ひだか町 三石旭町
059-3108 北海道 日高郡新ひだか町 三石本町
059-3111 北海道 日高郡新ひだか町 三石越海町
059-3112 北海道 日高郡新ひだか町 三石港町
059-3195 北海道 日高郡新ひだか町 三石本町
059-3231 北海道 日高郡新ひだか町 三石本桐
059-3232 北海道 日高郡新ひだか町 三石美野和
059-3233 北海道 日高郡新ひだか町 三石鳧舞
059-3351 北海道 日高郡新ひだか町 三石歌笛
059-3352 北海道 日高郡新ひだか町 三石稲見
059-3353 北海道 日高郡新ひだか町 三石清瀬
059-3354 北海道 日高郡新ひだか町 三石川上
059-3355 北海道 日高郡新ひだか町 三石美河
059-3451 北海道 浦河郡浦河町 荻伏町
059-3453 北海道 浦河郡浦河町 瑞穂
059-3454 北海道 浦河郡浦河町 野深
059-3461 北海道 浦河郡浦河町 東栄
059-3462 北海道 浦河郡浦河町 富里
059-3463 北海道 浦河郡浦河町 姉茶
059-8601 北海道 登別市 札内町
059-8701 北海道 登別市 中央町
