090-0000 北海道 北見市 
098-1616 北海道 紋別郡興部町 興部
098-1621 北海道 紋別郡興部町 秋里
098-1622 北海道 紋別郡興部町 北興
098-1623 北海道 紋別郡興部町 興部
098-1624 北海道 紋別郡興部町 宇津
098-1692 北海道 紋別郡興部町 興部
098-1693 北海道 紋別郡興部町 興部
098-1700 北海道 紋別郡雄武町 
098-1701 北海道 紋別郡雄武町 北雄武
098-1702 北海道 紋別郡雄武町 雄武
098-1703 北海道 紋別郡雄武町 沢木
098-1704 北海道 紋別郡雄武町 上沢木
098-1705 北海道 紋別郡雄武町 南雄武
098-1706 北海道 紋別郡雄武町 中雄武
098-1707 北海道 紋別郡雄武町 上雄武
098-1708 北海道 紋別郡雄武町 上幌内
098-1792 北海道 紋別郡雄武町 
098-1821 北海道 紋別郡雄武町 北幌内
098-1821 北海道 紋別郡雄武町 中幌内
098-1821 北海道 紋別郡雄武町 幌内
098-1941 北海道 紋別郡興部町 沙留
098-1942 北海道 紋別郡興部町 富丘
098-1943 北海道 紋別郡興部町 住吉
098-1944 北海道 紋別郡興部町 豊野
098-2181 北海道 名寄市 智恵文
098-2200 北海道 中川郡美深町 
098-2201 北海道 中川郡美深町 泉
098-2202 北海道 中川郡美深町 玉川
098-2203 北海道 中川郡美深町 六郷
098-2204 北海道 中川郡美深町 川西
098-2205 北海道 中川郡美深町 美深
098-2206 北海道 中川郡美深町 菊丘
098-2207 北海道 中川郡美深町 辺渓
098-2208 北海道 中川郡美深町 仁宇布
098-2211 北海道 中川郡美深町 富岡
098-2212 北海道 中川郡美深町 班渓
098-2213 北海道 中川郡美深町 吉野
098-2214 北海道 中川郡美深町 敷島
098-2220 北海道 中川郡美深町 大通北
098-2221 北海道 中川郡美深町 東一条北
098-2222 北海道 中川郡美深町 東二条北
098-2223 北海道 中川郡美深町 東三条北
098-2224 北海道 中川郡美深町 東四条北
098-2225 北海道 中川郡美深町 東五条北
098-2226 北海道 中川郡美深町 東六条北
098-2227 北海道 中川郡美深町 北町
098-2230 北海道 中川郡美深町 大通南
098-2231 北海道 中川郡美深町 東一条南
098-2232 北海道 中川郡美深町 東二条南
098-2233 北海道 中川郡美深町 東三条南
098-2234 北海道 中川郡美深町 東四条南
098-2235 北海道 中川郡美深町 南町
098-2236 北海道 中川郡美深町 東六条南
098-2237 北海道 中川郡美深町 若松町
098-2238 北海道 中川郡美深町 開運町
098-2241 北海道 中川郡美深町 西一条南
098-2242 北海道 中川郡美深町 西二条南
098-2243 北海道 中川郡美深町 西三条南
098-2251 北海道 中川郡美深町 西一条北
098-2252 北海道 中川郡美深町 西町
098-2253 北海道 中川郡美深町 西三条北
098-2361 北海道 中川郡美深町 恩根内
098-2362 北海道 中川郡美深町 大手
098-2363 北海道 中川郡美深町 小車
098-2364 北海道 中川郡美深町 報徳
098-2365 北海道 中川郡美深町 西里
098-2366 北海道 中川郡美深町 紋穂内
098-2367 北海道 中川郡美深町 楠
098-2368 北海道 中川郡美深町 清水
098-2500 北海道 中川郡音威子府村 
098-2501 北海道 中川郡音威子府村 音威子府
098-2502 北海道 中川郡音威子府村 咲来
098-2621 北海道 中川郡中川町 共和
098-2622 北海道 中川郡中川町 佐久
098-2623 北海道 中川郡中川町 富和
098-2624 北海道 中川郡中川町 豊里
098-2625 北海道 中川郡中川町 安川
098-2626 北海道 中川郡中川町 安川
098-2800 北海道 中川郡中川町 
098-2801 北海道 中川郡中川町 歌内
098-2802 北海道 中川郡中川町 中川
098-2803 北海道 中川郡中川町 琴平
098-2804 北海道 中川郡中川町 大富
098-2805 北海道 中川郡中川町 誉
098-2806 北海道 中川郡中川町 国府
098-2892 北海道 中川郡中川町 中川
098-2941 北海道 天塩郡幌延町 上問寒
098-2942 北海道 天塩郡幌延町 中問寒
098-2943 北海道 天塩郡幌延町 問寒別
098-2951 北海道 天塩郡天塩町 下コクネップ
098-3131 北海道 天塩郡天塩町 タツネウシ
098-3132 北海道 天塩郡天塩町 東雄信内
098-3133 北海道 天塩郡天塩町 オヌプナイ
098-3133 北海道 天塩郡天塩町 雄信内
098-3134 北海道 天塩郡天塩町 円山
098-3135 北海道 天塩郡天塩町 東産士
098-3141 北海道 天塩郡天塩町 西雄信内
098-3142 北海道 天塩郡天塩町 新成
098-3143 北海道 天塩郡天塩町 泉源
098-3144 北海道 天塩郡天塩町 男能富
098-3151 北海道 天塩郡幌延町 雄興
098-3200 北海道 天塩郡幌延町 
098-3201 北海道 天塩郡幌延町 一条北
098-3202 北海道 天塩郡幌延町 二条北
098-3203 北海道 天塩郡幌延町 三条北
098-3204 北海道 天塩郡幌延町 四条北
098-3205 北海道 天塩郡幌延町 五条北
098-3206 北海道 天塩郡幌延町 六条北
098-3207 北海道 天塩郡幌延町 宮園町
098-3211 北海道 天塩郡幌延町 一条南
098-3212 北海道 天塩郡幌延町 二条南
098-3213 北海道 天塩郡幌延町 三条南
098-3214 北海道 天塩郡幌延町 四条南
098-3215 北海道 天塩郡幌延町 五条南
098-3216 北海道 天塩郡幌延町 六条南
098-3217 北海道 天塩郡幌延町 元町
098-3221 北海道 天塩郡幌延町 栄町
098-3222 北海道 天塩郡幌延町 東町
098-3223 北海道 天塩郡幌延町 幌延
098-3224 北海道 天塩郡幌延町 北進
098-3225 北海道 天塩郡幌延町 上幌延
098-3226 北海道 天塩郡幌延町 開進
098-3227 北海道 天塩郡幌延町 浜里
098-3228 北海道 天塩郡幌延町 下沼
098-3300 北海道 天塩郡天塩町 
098-3301 北海道 天塩郡天塩町 山手通
098-3302 北海道 天塩郡天塩町 山手裏通
098-3303 北海道 天塩郡天塩町 新栄通
098-3304 北海道 天塩郡天塩町 新地通
098-3305 北海道 天塩郡天塩町 新開通
098-3306 北海道 天塩郡天塩町 海岸通
098-3311 北海道 天塩郡天塩町 産士
098-3312 北海道 天塩郡天塩町 川口
098-3313 北海道 天塩郡天塩町 作返
098-3314 北海道 天塩郡天塩町 更岸
098-3315 北海道 天塩郡天塩町 天塩
098-3316 北海道 天塩郡天塩町 振老
098-3361 北海道 天塩郡遠別町 北里
098-3392 北海道 天塩郡天塩町 新栄通
098-3393 北海道 天塩郡天塩町 川口
098-3395 北海道 天塩郡天塩町 川口
098-3396 北海道 天塩郡天塩町 新栄通
098-3398 北海道 天塩郡天塩町 新栄通
098-3500 北海道 天塩郡遠別町 
098-3501 北海道 天塩郡遠別町 北里
098-3502 北海道 天塩郡遠別町 清川
098-3503 北海道 天塩郡遠別町 啓明
098-3504 北海道 天塩郡遠別町 丸松
098-3511 北海道 天塩郡遠別町 久光
098-3512 北海道 天塩郡遠別町 中央
098-3521 北海道 天塩郡遠別町 共栄
098-3522 北海道 天塩郡遠別町 大成
098-3523 北海道 天塩郡遠別町 東野
098-3531 北海道 天塩郡遠別町 旭
098-3532 北海道 天塩郡遠別町 歌越
098-3533 北海道 天塩郡遠別町 金浦
098-3534 北海道 天塩郡遠別町 富士見
098-3541 北海道 天塩郡遠別町 北浜
098-3542 北海道 天塩郡遠別町 幸和
098-3543 北海道 天塩郡遠別町 本町
098-4100 北海道 天塩郡豊富町 
098-4101 北海道 天塩郡豊富町 福永
098-4102 北海道 天塩郡豊富町 目梨別
098-4103 北海道 天塩郡豊富町 有明
098-4104 北海道 天塩郡豊富町 修徳
098-4105 北海道 天塩郡豊富町 幌加
098-4106 北海道 天塩郡豊富町 豊徳
098-4107 北海道 天塩郡豊富町 稚咲内
098-4110 北海道 天塩郡豊富町 大通り
098-4111 北海道 天塩郡豊富町 西一条
098-4112 北海道 天塩郡豊富町 西二条
098-4113 北海道 天塩郡豊富町 西三条
098-4114 北海道 天塩郡豊富町 西四条
098-4115 北海道 天塩郡豊富町 西五条
098-4116 北海道 天塩郡豊富町 西豊富
098-4117 北海道 天塩郡豊富町 落合
098-4121 北海道 天塩郡豊富町 東一条
098-4122 北海道 天塩郡豊富町 東二条
098-4123 北海道 天塩郡豊富町 東三条
098-4124 北海道 天塩郡豊富町 東四条
098-4125 北海道 天塩郡豊富町 東五条
098-4126 北海道 天塩郡豊富町 東六条
098-4131 北海道 天塩郡豊富町 東豊富
098-4132 北海道 天塩郡豊富町 温泉
098-4133 北海道 天塩郡豊富町 本流
098-4134 北海道 天塩郡豊富町 豊幌
098-4135 北海道 天塩郡豊富町 豊川
098-4136 北海道 天塩郡豊富町 新生
098-4137 北海道 天塩郡豊富町 徳満
098-4138 北海道 天塩郡豊富町 駅前通
098-4139 北海道 天塩郡豊富町 仲通り
098-4140 北海道 天塩郡豊富町 停車場通
098-4141 北海道 天塩郡豊富町 三条通り
098-4451 北海道 天塩郡豊富町 兜沼
098-4455 北海道 天塩郡豊富町 芦川
098-4456 北海道 天塩郡豊富町 開源
098-4457 北海道 天塩郡豊富町 沼向
098-4461 北海道 天塩郡豊富町 瑞穂東
098-4462 北海道 天塩郡豊富町 阿沙流
098-4463 北海道 天塩郡豊富町 瑞穂南
098-4464 北海道 天塩郡豊富町 豊栄
098-4465 北海道 天塩郡豊富町 豊田
098-4466 北海道 天塩郡豊富町 清明
098-4467 北海道 天塩郡豊富町 豊里
098-4468 北海道 天塩郡豊富町 落合
098-4581 北海道 稚内市 抜海村
098-4581 北海道 稚内市 抜海村
098-4581 北海道 稚内市 抜海村
098-4581 北海道 稚内市 抜海村
098-4582 北海道 稚内市 声問村
098-5101 北海道 枝幸郡中頓別町 岩手
098-5102 北海道 枝幸郡中頓別町 小頓別
098-5103 北海道 枝幸郡中頓別町 秋田
098-5111 北海道 枝幸郡中頓別町 上頓別
098-5112 北海道 枝幸郡中頓別町 豊平
098-5113 北海道 枝幸郡中頓別町 敏音知
098-5201 北海道 枝幸郡枝幸町 歌登パンケナイ
098-5202 北海道 枝幸郡枝幸町 歌登東歌登
098-5203 北海道 枝幸郡枝幸町 歌登辺毛内
098-5204 北海道 枝幸郡枝幸町 歌登南町
098-5205 北海道 枝幸郡枝幸町 歌登桧垣町
098-5206 北海道 枝幸郡枝幸町 歌登西町
098-5207 北海道 枝幸郡枝幸町 歌登東町
098-5211 北海道 枝幸郡枝幸町 歌登西歌登
098-5212 北海道 枝幸郡枝幸町 歌登中央
098-5213 北海道 枝幸郡枝幸町 歌登本幌別
098-5221 北海道 枝幸郡枝幸町 歌登毛登別
098-5298 北海道 枝幸郡枝幸町 歌登東町
098-5441 北海道 枝幸郡枝幸町 歌登志美宇丹
098-5442 北海道 枝幸郡枝幸町 歌登豊沃
098-5443 北海道 枝幸郡枝幸町 歌登上徳志別
098-5444 北海道 枝幸郡枝幸町 歌登大奮
098-5445 北海道 枝幸郡枝幸町 歌登大曲
098-5500 北海道 枝幸郡中頓別町 
098-5551 北海道 枝幸郡中頓別町 中頓別
098-5552 北海道 枝幸郡中頓別町 寿
098-5553 北海道 枝幸郡中頓別町 弥生
098-5554 北海道 枝幸郡中頓別町 旭台
098-5555 北海道 枝幸郡中頓別町 豊泉
098-5561 北海道 枝幸郡中頓別町 兵安
098-5562 北海道 枝幸郡中頓別町 神崎
098-5563 北海道 枝幸郡中頓別町 藤井
098-5564 北海道 枝幸郡中頓別町 上駒
098-5565 北海道 枝幸郡中頓別町 松音知
098-5595 北海道 枝幸郡中頓別町 中頓別
098-5700 北海道 枝幸郡浜頓別町 
098-5701 北海道 枝幸郡浜頓別町 栄和
098-5701 北海道 枝幸郡浜頓別町 頓別
098-5702 北海道 枝幸郡浜頓別町 豊牛
098-5702 北海道 枝幸郡浜頓別町 豊寒別
098-5703 北海道 枝幸郡浜頓別町 斜内
098-5703 北海道 枝幸郡浜頓別町 豊浜
098-5704 北海道 枝幸郡浜頓別町 中央北
098-5705 北海道 枝幸郡浜頓別町 中央南
098-5711 北海道 枝幸郡浜頓別町 北１条
098-5712 北海道 枝幸郡浜頓別町 北２条
098-5713 北海道 枝幸郡浜頓別町 北３条
098-5714 北海道 枝幸郡浜頓別町 北４条
098-5717 北海道 枝幸郡浜頓別町 浜頓別
098-5721 北海道 枝幸郡浜頓別町 南１条
098-5722 北海道 枝幸郡浜頓別町 南２条
098-5723 北海道 枝幸郡浜頓別町 南３条
098-5725 北海道 枝幸郡浜頓別町 大通
098-5734 北海道 枝幸郡浜頓別町 日の出
098-5738 北海道 枝幸郡浜頓別町 緑ケ丘
098-5739 北海道 枝幸郡浜頓別町 クッチャロ湖畔
098-5741 北海道 枝幸郡浜頓別町 旭ケ丘
098-5742 北海道 枝幸郡浜頓別町 戸出
098-5743 北海道 枝幸郡浜頓別町 楓
098-5744 北海道 枝幸郡浜頓別町 宇曽丹
098-5745 北海道 枝幸郡浜頓別町 常盤
098-5751 北海道 枝幸郡浜頓別町 金ヶ丘
098-5752 北海道 枝幸郡浜頓別町 下頓別
098-5753 北海道 枝幸郡浜頓別町 高砂
098-5754 北海道 枝幸郡浜頓別町 宇津内
098-5755 北海道 枝幸郡浜頓別町 茂宇津内
098-5761 北海道 枝幸郡浜頓別町 智福
098-5761 北海道 枝幸郡浜頓別町 山軽
098-5762 北海道 枝幸郡浜頓別町 ポン仁達内
098-5763 北海道 枝幸郡浜頓別町 仁達内
098-5764 北海道 枝幸郡浜頓別町 安別
098-5765 北海道 枝幸郡浜頓別町 共和
098-5792 北海道 枝幸郡浜頓別町 中央南
098-5800 北海道 枝幸郡枝幸町 
098-5801 北海道 枝幸郡枝幸町 徳志別
098-5802 北海道 枝幸郡枝幸町 岡島
098-5803 北海道 枝幸郡枝幸町 下幌別
098-5804 北海道 枝幸郡枝幸町 南浜町
098-5805 北海道 枝幸郡枝幸町 幸町
098-5806 北海道 枝幸郡枝幸町 梅ケ枝町
098-5807 北海道 枝幸郡枝幸町 本町
098-5808 北海道 枝幸郡枝幸町 新港町
098-5814 北海道 枝幸郡枝幸町 岬町
098-5815 北海道 枝幸郡枝幸町 問牧
098-5816 北海道 枝幸郡枝幸町 目梨泊
098-5821 北海道 枝幸郡枝幸町 栄町
098-5822 北海道 枝幸郡枝幸町 北幸町
098-5823 北海道 枝幸郡枝幸町 三笠町
098-5824 北海道 枝幸郡枝幸町 北栄町
098-5825 北海道 枝幸郡枝幸町 新栄町
098-5826 北海道 枝幸郡枝幸町 北浜町
098-5827 北海道 枝幸郡枝幸町 宇遠内
098-5892 北海道 枝幸郡枝幸町 本町
098-5951 北海道 枝幸郡枝幸町 山臼
098-5952 北海道 枝幸郡枝幸町 乙忠部
098-5953 北海道 枝幸郡枝幸町 風烈布
098-5954 北海道 枝幸郡枝幸町 上音標
098-5955 北海道 枝幸郡枝幸町 音標
098-6101 北海道 宗谷郡猿払村 浅茅野
098-6102 北海道 宗谷郡猿払村 浅茅野台地
098-6103 北海道 宗谷郡猿払村 狩別
098-6104 北海道 宗谷郡猿払村 猿払
098-6105 北海道 宗谷郡猿払村 浜猿払
098-6106 北海道 宗谷郡猿払村 上猿払
098-6200 北海道 宗谷郡猿払村 
098-6222 北海道 宗谷郡猿払村 浜鬼志別
098-6225 北海道 宗谷郡猿払村 芦野
098-6226 北海道 宗谷郡猿払村 豊里
098-6228 北海道 宗谷郡猿払村 小石
098-6231 北海道 宗谷郡猿払村 鬼志別東町
098-6232 北海道 宗谷郡猿払村 鬼志別西町
098-6233 北海道 宗谷郡猿払村 鬼志別南町
098-6234 北海道 宗谷郡猿払村 鬼志別北町
098-6292 北海道 宗谷郡猿払村 鬼志別西町
098-6341 北海道 宗谷郡猿払村 知来別
098-6384 北海道 稚内市 宗谷村
098-6385 北海道 稚内市 宗谷村
098-6561 北海道 稚内市 声問村
098-6562 北海道 稚内市 声問村
098-6563 北海道 稚内市 声問村
098-6564 北海道 稚内市 声問村
098-6565 北海道 稚内市 声問村
098-6571 北海道 稚内市 声問村
098-6572 北海道 稚内市 声問村
098-6573 北海道 稚内市 声問村
098-6574 北海道 稚内市 声問村
098-6575 北海道 稚内市 声問村
098-6576 北海道 稚内市 声問村
098-6642 北海道 稚内市 声問
098-6642 北海道 稚内市 声問
098-6642 北海道 稚内市 声問
098-6642 北海道 稚内市 声問
098-6642 北海道 稚内市 声問
098-6642 北海道 稚内市 声問村
098-6643 北海道 稚内市 声問村
098-6644 北海道 稚内市 宗谷村
098-6645 北海道 稚内市 声問村
098-6751 北海道 稚内市 宗谷村
098-6754 北海道 稚内市 宗谷村
098-6755 北海道 稚内市 宗谷村
098-6756 北海道 稚内市 宗谷村
098-6757 北海道 稚内市 宗谷村
098-6758 北海道 稚内市 宗谷岬
099-0101 北海道 紋別郡遠軽町 下白滝
099-0102 北海道 紋別郡遠軽町 旧白滝
099-0111 北海道 紋別郡遠軽町 白滝
099-0121 北海道 紋別郡遠軽町 白滝北支湧別
099-0122 北海道 紋別郡遠軽町 白滝支湧別
099-0123 北海道 紋別郡遠軽町 白滝上支湧別
099-0124 北海道 紋別郡遠軽町 東白滝
099-0125 北海道 紋別郡遠軽町 白滝天狗平
099-0126 北海道 紋別郡遠軽町 奥白滝
099-0127 北海道 紋別郡遠軽町 上白滝
099-0201 北海道 紋別郡遠軽町 丸瀬布新町
099-0202 北海道 紋別郡遠軽町 丸瀬布天神町
099-0203 北海道 紋別郡遠軽町 丸瀬布中町
099-0204 北海道 紋別郡遠軽町 丸瀬布西町
099-0205 北海道 紋別郡遠軽町 丸瀬布東町
099-0206 北海道 紋別郡遠軽町 丸瀬布水谷町
099-0207 北海道 紋別郡遠軽町 丸瀬布元町
099-0211 北海道 紋別郡遠軽町 丸瀬布金山
099-0212 北海道 紋別郡遠軽町 丸瀬布上丸
099-0213 北海道 紋別郡遠軽町 丸瀬布上武利
099-0214 北海道 紋別郡遠軽町 丸瀬布大平
099-0215 北海道 紋別郡遠軽町 丸瀬布南丸
099-0216 北海道 紋別郡遠軽町 丸瀬布武利
099-0341 北海道 紋別郡遠軽町 瀬戸瀬東町
099-0342 北海道 紋別郡遠軽町 瀬戸瀬西町
099-0343 北海道 紋別郡遠軽町 栄野
099-0344 北海道 紋別郡遠軽町 野上
099-0345 北海道 紋別郡遠軽町 湯の里
099-0346 北海道 紋別郡遠軽町 若咲内
099-0347 北海道 紋別郡遠軽町 柏
099-0400 北海道 紋別郡遠軽町 
099-0401 北海道 紋別郡遠軽町 学田
099-0402 北海道 紋別郡遠軽町 二条通北
099-0403 北海道 紋別郡遠軽町 一条通北
099-0404 北海道 紋別郡遠軽町 大通北
099-0405 北海道 紋別郡遠軽町 岩見通北
099-0406 北海道 紋別郡遠軽町 宮前町
099-0407 北海道 紋別郡遠軽町 丸大
099-0408 北海道 紋別郡遠軽町 留岡
099-0410 北海道 紋別郡遠軽町 東町
099-0411 北海道 紋別郡遠軽町 向遠軽
099-0412 北海道 紋別郡遠軽町 豊里
099-0413 北海道 紋別郡遠軽町 寿町
099-0414 北海道 紋別郡遠軽町 南町
099-0415 北海道 紋別郡遠軽町 岩見通南
099-0416 北海道 紋別郡遠軽町 大通南
099-0417 北海道 紋別郡遠軽町 一条通南
099-0418 北海道 紋別郡遠軽町 二条通南
099-0421 北海道 紋別郡遠軽町 福路
099-0422 北海道 紋別郡遠軽町 清川
099-0423 北海道 紋別郡遠軽町 若松
099-0424 北海道 紋別郡遠軽町 美山
099-0425 北海道 紋別郡遠軽町 千代田
099-0426 北海道 紋別郡遠軽町 社名淵
099-0427 北海道 紋別郡遠軽町 見晴
099-0428 北海道 紋別郡遠軽町 西町
099-0492 北海道 紋別郡遠軽町 一条通北
099-0494 北海道 紋別郡遠軽町 大通北
099-0495 北海道 紋別郡遠軽町 大通南
099-0621 北海道 紋別郡遠軽町 生田原水穂
099-0622 北海道 紋別郡遠軽町 生田原安国
099-0623 北海道 紋別郡遠軽町 生田原旭野
099-0624 北海道 紋別郡遠軽町 生田原豊原
099-0701 北海道 紋別郡遠軽町 生田原
099-0702 北海道 紋別郡遠軽町 生田原伊吹
099-0703 北海道 紋別郡遠軽町 生田原八重
099-0704 北海道 紋別郡遠軽町 生田原岩戸
099-0705 北海道 紋別郡遠軽町 生田原清里
099-0871 北海道 北見市 相内町
099-0872 北海道 北見市 豊田
099-0873 北海道 北見市 西相内
099-0874 北海道 北見市 住吉
099-0875 北海道 北見市 本沢
099-0876 北海道 北見市 富里
099-0877 北海道 北見市 柏木
099-0878 北海道 北見市 東相内町
099-0879 北海道 北見市 美園
099-1100 北海道 常呂郡置戸町 
099-1101 北海道 常呂郡置戸町 北光
099-1102 北海道 常呂郡置戸町 緑
099-1103 北海道 常呂郡置戸町 栄二
099-1104 北海道 常呂郡置戸町 栄一
099-1105 北海道 常呂郡置戸町 洗心
099-1106 北海道 常呂郡置戸町 新和
099-1112 北海道 常呂郡置戸町 若松
099-1113 北海道 常呂郡置戸町 新光
099-1114 北海道 常呂郡置戸町 協生
099-1115 北海道 常呂郡置戸町 宮下
099-1116 北海道 常呂郡置戸町 朝日
099-1117 北海道 常呂郡置戸町 宮坂
099-1118 北海道 常呂郡置戸町 若木
099-1121 北海道 常呂郡置戸町 北農
099-1122 北海道 常呂郡置戸町 林友
099-1123 北海道 常呂郡置戸町 拓殖
099-1124 北海道 常呂郡置戸町 拓実
099-1131 北海道 常呂郡置戸町 中央
099-1132 北海道 常呂郡置戸町 協和
099-1133 北海道 常呂郡置戸町 更盛
099-1134 北海道 常呂郡置戸町 十全
099-1135 北海道 常呂郡置戸町 国栄
099-1136 北海道 常呂郡置戸町 日進
099-1137 北海道 常呂郡置戸町 大美
099-1138 北海道 常呂郡置戸町 中里
099-1197 北海道 常呂郡置戸町 
099-1198 北海道 常呂郡置戸町 
099-1251 北海道 常呂郡置戸町 安住
099-1252 北海道 常呂郡置戸町 勝山
099-1253 北海道 常呂郡置戸町 春日
099-1254 北海道 常呂郡置戸町 常元
099-1361 北海道 常呂郡置戸町 境野
099-1362 北海道 常呂郡置戸町 雄勝
099-1363 北海道 常呂郡置戸町 幸岡
099-1364 北海道 常呂郡置戸町 秋田
099-1365 北海道 常呂郡置戸町 豊住
099-1366 北海道 常呂郡置戸町 川南
099-1367 北海道 常呂郡置戸町 常盤
099-1400 北海道 常呂郡訓子府町 
099-1401 北海道 常呂郡訓子府町 日出
099-1402 北海道 常呂郡訓子府町 穂波
099-1403 北海道 常呂郡訓子府町 東幸町
099-1404 北海道 常呂郡訓子府町 柏丘
099-1405 北海道 常呂郡訓子府町 高園
099-1406 北海道 常呂郡訓子府町 弥生
099-1407 北海道 常呂郡訓子府町 福野
099-1411 北海道 常呂郡訓子府町 大谷
099-1412 北海道 常呂郡訓子府町 緑丘
099-1413 北海道 常呂郡訓子府町 協成
099-1414 北海道 常呂郡訓子府町 開盛
099-1415 北海道 常呂郡訓子府町 美園
099-1416 北海道 常呂郡訓子府町 常盤
099-1417 北海道 常呂郡訓子府町 末広町
099-1418 北海道 常呂郡訓子府町 実郷
099-1421 北海道 常呂郡訓子府町 駒里
099-1422 北海道 常呂郡訓子府町 北栄
099-1423 北海道 常呂郡訓子府町 西幸町
099-1424 北海道 常呂郡訓子府町 西富
099-1425 北海道 常呂郡訓子府町 若葉町
099-1426 北海道 常呂郡訓子府町 清住
099-1427 北海道 常呂郡訓子府町 豊坂
099-1431 北海道 常呂郡訓子府町 東町
099-1432 北海道 常呂郡訓子府町 旭町
099-1433 北海道 常呂郡訓子府町 仲町
099-1434 北海道 常呂郡訓子府町 栄町
099-1435 北海道 常呂郡訓子府町 若富町
099-1436 北海道 常呂郡訓子府町 大町
099-1437 北海道 常呂郡訓子府町 元町
099-1492 北海道 常呂郡訓子府町 仲町
099-1495 北海道 常呂郡訓子府町 東町
099-1496 北海道 常呂郡訓子府町 弥生
099-1498 北海道 常呂郡訓子府町 東町
099-1581 北海道 北見市 南丘
099-1582 北海道 北見市 開成
099-1583 北海道 北見市 北上
099-1584 北海道 北見市 常川
099-1585 北海道 北見市 上ところ
099-1586 北海道 北見市 広郷
099-1587 北海道 北見市 豊地
099-1595 北海道 北見市 豊地
099-2101 北海道 北見市 端野町一区
099-2102 北海道 北見市 端野町二区
099-2103 北海道 北見市 端野町三区
099-2104 北海道 北見市 端野町端野
099-2105 北海道 北見市 端野町忠志
099-2106 北海道 北見市 端野町協和
099-2107 北海道 北見市 端野町川向
099-2111 北海道 北見市 端野町北登
099-2112 北海道 北見市 端野町豊実
099-2192 北海道 北見市 端野町二区
099-2193 北海道 北見市 端野町三区
099-2194 北海道 北見市 端野町二区
099-2195 北海道 北見市 端野町三区
099-2196 北海道 北見市 端野町緋牛内
099-2197 北海道 北見市 端野町緋牛内
099-2198 北海道 北見市 端野町三区
099-2231 北海道 北見市 端野町緋牛内
099-2300 北海道 網走郡大空町 
099-2301 北海道 網走郡大空町 女満別本郷
099-2302 北海道 網走郡大空町 女満別住吉
099-2303 北海道 網走郡大空町 女満別豊里
099-2304 北海道 網走郡大空町 女満別公園
099-2305 北海道 網走郡大空町 女満別東陽
099-2306 北海道 網走郡大空町 女満別湖畔
099-2310 北海道 網走郡大空町 女満別本通
099-2311 北海道 網走郡大空町 女満別東一条
099-2312 北海道 網走郡大空町 女満別東二条
099-2321 北海道 網走郡大空町 女満別西一条
099-2322 北海道 網走郡大空町 女満別西二条
099-2323 北海道 網走郡大空町 女満別西三条
099-2324 北海道 網走郡大空町 女満別西四条
099-2325 北海道 網走郡大空町 女満別西五条
099-2326 北海道 網走郡大空町 女満別西六条
099-2327 北海道 網走郡大空町 女満別西七条
099-2351 北海道 網走郡大空町 女満別公園通
099-2354 北海道 網走郡大空町 女満別眺湖台
099-2355 北海道 網走郡大空町 女満別夕陽台
099-2356 北海道 網走郡大空町 女満別昭和
099-2361 北海道 網走郡大空町 女満別湖南
099-2362 北海道 網走郡大空町 女満別朝日
099-2371 北海道 網走郡大空町 女満別中央
099-2372 北海道 網走郡大空町 女満別大東
099-2373 北海道 網走郡大空町 女満別巴沢
099-2381 北海道 網走郡大空町 女満別大成
099-2382 北海道 網走郡大空町 女満別開陽
099-2383 北海道 網走郡大空町 女満別日進
099-2392 北海道 網走郡大空町 女満別西三条
099-2421 北海道 網走市 呼人
099-2422 北海道 網走市 八坂
099-2423 北海道 網走市 東網走
099-2424 北海道 網走市 中園
099-2492 北海道 網走市 呼人
099-2493 北海道 網走市 八坂
099-2495 北海道 網走市 呼人
099-3111 北海道 網走市 藻琴
099-3112 北海道 網走市 北浜
099-3113 北海道 網走市 実豊
099-3114 北海道 網走市 丸万
099-3115 北海道 網走市 稲富
099-3116 北海道 網走市 山里
099-3117 北海道 網走市 昭和
099-3118 北海道 網走市 豊郷
099-3119 北海道 網走市 鱒浦
099-3201 北海道 網走郡大空町 東藻琴
099-3202 北海道 網走郡大空町 東藻琴西倉
099-3211 北海道 網走郡大空町 東藻琴
099-3212 北海道 網走郡大空町 東藻琴
099-3213 北海道 網走郡大空町 東藻琴
099-3214 北海道 網走郡大空町 東藻琴
099-3221 北海道 網走郡大空町 東藻琴大進
099-3222 北海道 網走郡大空町 東藻琴新富
099-3223 北海道 網走郡大空町 東藻琴
099-3224 北海道 網走郡大空町 東藻琴明生
099-3225 北海道 網走郡大空町 東藻琴
099-3231 北海道 網走郡大空町 東藻琴千草
099-3232 北海道 網走郡大空町 東藻琴末広
099-3233 北海道 網走郡大空町 東藻琴
099-3234 北海道 網走郡大空町 東藻琴福富
099-3243 北海道 網走郡大空町 東藻琴山園
099-3244 北海道 網走郡大空町 東藻琴
099-3292 北海道 網走郡大空町 東藻琴
099-3293 北海道 網走郡大空町 東藻琴
099-3451 北海道 斜里郡小清水町 倉栄
099-3452 北海道 斜里郡小清水町 浜小清水
099-3453 北海道 斜里郡小清水町 北斗
099-3454 北海道 斜里郡小清水町 止別
099-3501 北海道 網走市 音根内
099-3502 北海道 網走市 浦士別
099-3503 北海道 網走市 栄
099-3504 北海道 網走市 清浦
099-3600 北海道 斜里郡小清水町 
099-3601 北海道 斜里郡小清水町 萱野
099-3602 北海道 斜里郡小清水町 東野
099-3603 北海道 斜里郡小清水町 泉
