410-0000 静岡県 沼津市 
413-0302 静岡県 賀茂郡東伊豆町 北川
413-0303 静岡県 賀茂郡東伊豆町 片瀬
413-0304 静岡県 賀茂郡東伊豆町 白田
413-0411 静岡県 賀茂郡東伊豆町 稲取
413-0492 静岡県 賀茂郡東伊豆町 稲取
413-0493 静岡県 賀茂郡東伊豆町 稲取
413-0500 静岡県 賀茂郡河津町 
413-0501 静岡県 賀茂郡河津町 梨本
413-0502 静岡県 賀茂郡河津町 川津筏場
413-0503 静岡県 賀茂郡河津町 見高
413-0504 静岡県 賀茂郡河津町 田中
413-0505 静岡県 賀茂郡河津町 沢田
413-0506 静岡県 賀茂郡河津町 下佐ケ野
413-0507 静岡県 賀茂郡河津町 湯ケ野
413-0508 静岡県 賀茂郡河津町 小鍋
413-0509 静岡県 賀茂郡河津町 大鍋
413-0511 静岡県 賀茂郡河津町 峰
413-0512 静岡県 賀茂郡河津町 笹原
413-0513 静岡県 賀茂郡河津町 浜
413-0514 静岡県 賀茂郡河津町 縄地
413-0515 静岡県 賀茂郡河津町 谷津
413-0516 静岡県 賀茂郡河津町 逆川
413-0701 静岡県 下田市 落合
413-0702 静岡県 下田市 堀之内
413-0703 静岡県 下田市 荒増
413-0704 静岡県 下田市 椎原
413-0705 静岡県 下田市 箕作
413-0711 静岡県 下田市 相玉
413-0712 静岡県 下田市 横川
413-0713 静岡県 下田市 加増野
413-0714 静岡県 下田市 北湯ケ野
413-0715 静岡県 下田市 宇土金
413-0716 静岡県 下田市 須原
413-8502 静岡県 熱海市 上宿町
413-8505 静岡県 熱海市 春日町
413-8510 静岡県 熱海市 泉
413-8511 静岡県 熱海市 桃山町
413-8530 静岡県 熱海市 泉
413-8550 静岡県 熱海市 中央町
413-8555 静岡県 熱海市 熱海
413-8558 静岡県 熱海市 田原本町
413-8560 静岡県 熱海市 福道町
413-8566 静岡県 熱海市 西熱海町
413-8567 静岡県 熱海市 東海岸町
413-8585 静岡県 熱海市 桃山町
413-8589 静岡県 熱海市 伊豆山
413-8611 静岡県 熱海市 和田浜南町
413-8618 静岡県 熱海市 紅葉ガ丘町
413-8626 静岡県 熱海市 和田浜南町
413-8678 静岡県 熱海市 東海岸町
414-0000 静岡県 伊東市 
414-0001 静岡県 伊東市 宇佐美
414-0002 静岡県 伊東市 湯川
414-0003 静岡県 伊東市 中央町
414-0004 静岡県 伊東市 猪戸
414-0005 静岡県 伊東市 松原湯端町
414-0006 静岡県 伊東市 松原
414-0011 静岡県 伊東市 松川町
414-0012 静岡県 伊東市 宝町
414-0013 静岡県 伊東市 桜木町
414-0014 静岡県 伊東市 弥生町
414-0015 静岡県 伊東市 末広町
414-0016 静岡県 伊東市 岡広町
414-0017 静岡県 伊東市 幸町
414-0018 静岡県 伊東市 寿町
414-0021 静岡県 伊東市 松原本町
414-0022 静岡県 伊東市 東松原町
414-0023 静岡県 伊東市 渚町
414-0024 静岡県 伊東市 和田
414-0025 静岡県 伊東市 物見が丘
414-0026 静岡県 伊東市 竹の台
414-0027 静岡県 伊東市 竹の内
414-0028 静岡県 伊東市 銀座元町
414-0031 静岡県 伊東市 湯田町
414-0032 静岡県 伊東市 音無町
414-0033 静岡県 伊東市 馬場町
414-0034 静岡県 伊東市 瓶山
414-0035 静岡県 伊東市 南町
414-0036 静岡県 伊東市 宮川町
414-0037 静岡県 伊東市 桜が丘
414-0038 静岡県 伊東市 広野
414-0041 静岡県 伊東市 芝町
414-0042 静岡県 伊東市 静海町
414-0043 静岡県 伊東市 新井
414-0044 静岡県 伊東市 川奈
414-0045 静岡県 伊東市 玖須美元和田
414-0046 静岡県 伊東市 大原
414-0051 静岡県 伊東市 吉田
414-0052 静岡県 伊東市 十足
414-0053 静岡県 伊東市 荻
414-0054 静岡県 伊東市 鎌田
414-0055 静岡県 伊東市 岡
414-8511 静岡県 伊東市 渚町
414-8550 静岡県 伊東市 馬場町
414-8555 静岡県 伊東市 大原
414-8601 静岡県 伊東市 東松原町
414-8602 静岡県 伊東市 宇佐美
415-0000 静岡県 下田市 
415-0001 静岡県 下田市 
415-0011 静岡県 下田市 河内
415-0012 静岡県 下田市 白浜
415-0013 静岡県 下田市 柿崎
415-0014 静岡県 下田市 須崎
415-0015 静岡県 下田市 武ガ浜
415-0016 静岡県 下田市 中
415-0017 静岡県 下田市 東中
415-0018 静岡県 下田市 西中
415-0021 静岡県 下田市 一丁目
415-0022 静岡県 下田市 二丁目
415-0023 静岡県 下田市 三丁目
415-0024 静岡県 下田市 四丁目
415-0025 静岡県 下田市 五丁目
415-0026 静岡県 下田市 六丁目
415-0027 静岡県 下田市 旧岡方村
415-0028 静岡県 下田市 吉佐美
415-0029 静岡県 下田市 田牛
415-0031 静岡県 下田市 蓮台寺
415-0032 静岡県 下田市 立野
415-0033 静岡県 下田市 本郷
415-0034 静岡県 下田市 高馬
415-0035 静岡県 下田市 東本郷
415-0036 静岡県 下田市 西本郷
415-0037 静岡県 下田市 敷根
415-0038 静岡県 下田市 大賀茂
415-0039 静岡県 下田市 大沢
415-0151 静岡県 賀茂郡南伊豆町 青市
415-0152 静岡県 賀茂郡南伊豆町 湊
415-0153 静岡県 賀茂郡南伊豆町 手石
415-0154 静岡県 賀茂郡南伊豆町 下流
415-0155 静岡県 賀茂郡南伊豆町 大瀬
415-0156 静岡県 賀茂郡南伊豆町 石廊崎
415-0192 静岡県 賀茂郡南伊豆町 湊
415-0193 静岡県 賀茂郡南伊豆町 湊
415-0194 静岡県 賀茂郡南伊豆町 青市
415-0300 静岡県 賀茂郡南伊豆町 
415-0301 静岡県 賀茂郡南伊豆町 一條
415-0302 静岡県 賀茂郡南伊豆町 上賀茂
415-0303 静岡県 賀茂郡南伊豆町 下賀茂
415-0304 静岡県 賀茂郡南伊豆町 加納
415-0305 静岡県 賀茂郡南伊豆町 二條
415-0306 静岡県 賀茂郡南伊豆町 石井
415-0311 静岡県 賀茂郡南伊豆町 中木
415-0312 静岡県 賀茂郡南伊豆町 入間
415-0312 静岡県 賀茂郡南伊豆町 差田
415-0313 静岡県 賀茂郡南伊豆町 一色
415-0314 静岡県 賀茂郡南伊豆町 蝶ケ野
415-0321 静岡県 賀茂郡南伊豆町 毛倉野
415-0322 静岡県 賀茂郡南伊豆町 岩殿
415-0323 静岡県 賀茂郡南伊豆町 川合野
415-0323 静岡県 賀茂郡南伊豆町 下小野
415-0324 静岡県 賀茂郡南伊豆町 上小野
415-0325 静岡県 賀茂郡南伊豆町 市之瀬
415-0325 静岡県 賀茂郡南伊豆町 平戸
415-0326 静岡県 賀茂郡南伊豆町 蛇石
415-0327 静岡県 賀茂郡南伊豆町 青野
415-0392 静岡県 賀茂郡南伊豆町 下賀茂
415-0531 静岡県 賀茂郡南伊豆町 一町田
415-0531 静岡県 賀茂郡南伊豆町 伊浜
415-0531 静岡県 賀茂郡南伊豆町 落居
415-0531 静岡県 賀茂郡南伊豆町 天神原
415-0532 静岡県 賀茂郡南伊豆町 子浦
415-0533 静岡県 賀茂郡南伊豆町 立岩
415-0533 静岡県 賀茂郡南伊豆町 妻良
415-0533 静岡県 賀茂郡南伊豆町 吉田
415-8501 静岡県 下田市 東本郷
415-8502 静岡県 下田市 三丁目
415-8505 静岡県 下田市 
415-8506 静岡県 下田市 
415-8507 静岡県 下田市 東本郷
415-8508 静岡県 下田市 二丁目
415-8509 静岡県 下田市 四丁目
415-8510 静岡県 下田市 五丁目
415-8511 静岡県 下田市 吉佐美
415-8512 静岡県 下田市 白浜
415-8513 静岡県 下田市 中
415-8514 静岡県 下田市 柿崎
415-8515 静岡県 下田市 六丁目
415-8516 静岡県 下田市 中
415-8517 静岡県 下田市 東本郷
415-8518 静岡県 下田市 東本郷
415-8520 静岡県 下田市 四丁目
415-8521 静岡県 下田市 西本郷
415-8522 静岡県 下田市 一丁目
415-8523 静岡県 下田市 中
415-8524 静岡県 下田市 西本郷
415-8525 静岡県 下田市 白浜
415-8526 静岡県 下田市 六丁目
415-8527 静岡県 下田市 蓮台寺
415-8528 静岡県 下田市 東中
415-8530 静岡県 下田市 東本郷
415-8602 静岡県 下田市 一丁目
415-8603 静岡県 下田市 二丁目
415-8611 静岡県 下田市 中
416-0901 静岡県 富士市 岩本
416-0902 静岡県 富士市 長通
416-0903 静岡県 富士市 松本
416-0904 静岡県 富士市 本市場新田
416-0905 静岡県 富士市 五味島
416-0906 静岡県 富士市 本市場
416-0907 静岡県 富士市 中島
416-0908 静岡県 富士市 柚木
416-0909 静岡県 富士市 松岡
416-0911 静岡県 富士市 八幡町
416-0912 静岡県 富士市 加島町
416-0913 静岡県 富士市 平垣本町
416-0914 静岡県 富士市 本町
416-0915 静岡県 富士市 富士町
416-0916 静岡県 富士市 平垣
416-0917 静岡県 富士市 元町
416-0918 静岡県 富士市 平垣町
416-0919 静岡県 富士市 松富町
416-0921 静岡県 富士市 水戸島
416-0922 静岡県 富士市 水戸島元町
416-0923 静岡県 富士市 横割本町
416-0924 静岡県 富士市 水戸島本町
416-0931 静岡県 富士市 蓼原
416-0932 静岡県 富士市 柳島
416-0933 静岡県 富士市 中丸
416-0934 静岡県 富士市 鮫島
416-0935 静岡県 富士市 田子
416-0936 静岡県 富士市 中河原
416-0937 静岡県 富士市 前田
416-0938 静岡県 富士市 浜田町
416-0939 静岡県 富士市 川成島
416-0941 静岡県 富士市 十兵衛
416-0942 静岡県 富士市 上横割
416-0943 静岡県 富士市 下横割
416-0944 静岡県 富士市 横割
416-0945 静岡県 富士市 宮島
416-0946 静岡県 富士市 五貫島
416-0947 静岡県 富士市 宮下
416-0948 静岡県 富士市 森島
416-0949 静岡県 富士市 森下
416-0951 静岡県 富士市 米之宮町
416-0952 静岡県 富士市 青葉町
416-0953 静岡県 富士市 蓼原町
416-0954 静岡県 富士市 本市場町
416-0955 静岡県 富士市 川成新町
416-8501 静岡県 富士市 鮫島
416-8521 静岡県 富士市 蓼原
416-8530 静岡県 富士市 蓼原
416-8533 静岡県 富士市 宮島
416-8540 静岡県 富士市 上横割
416-8544 静岡県 富士市 本市場
416-8555 静岡県 富士市 平垣
416-8558 静岡県 富士市 本市場
416-8577 静岡県 富士市 柚木
416-8650 静岡県 富士市 本市場
416-8654 静岡県 富士市 横割
416-8655 静岡県 富士市 前田
416-8656 静岡県 富士市 平垣
416-8659 静岡県 富士市 水戸島元町
416-8660 静岡県 富士市 上横割
417-0000 静岡県 富士市 
417-0001 静岡県 富士市 今泉
417-0002 静岡県 富士市 依田橋
417-0003 静岡県 富士市 依田橋町
417-0004 静岡県 富士市 新橋町
417-0011 静岡県 富士市 鈴川本町
417-0012 静岡県 富士市 鈴川東町
417-0013 静岡県 富士市 鈴川中町
417-0014 静岡県 富士市 鈴川西町
417-0015 静岡県 富士市 鈴川町
417-0021 静岡県 富士市 依田原
417-0022 静岡県 富士市 依田原町
417-0023 静岡県 富士市 吉原宝町
417-0024 静岡県 富士市 八代町
417-0025 静岡県 富士市 瓜島
417-0026 静岡県 富士市 南町
417-0031 静岡県 富士市 田島
417-0032 静岡県 富士市 田島新田
417-0033 静岡県 富士市 島田町
417-0034 静岡県 富士市 津田
417-0035 静岡県 富士市 津田町
417-0036 静岡県 富士市 中河原
417-0037 静岡県 富士市 外木
417-0041 静岡県 富士市 御幸町
417-0042 静岡県 富士市 荒田島
417-0043 静岡県 富士市 荒田島町
417-0044 静岡県 富士市 高嶺町
417-0045 静岡県 富士市 錦町
417-0046 静岡県 富士市 青島
417-0047 静岡県 富士市 青島町
417-0048 静岡県 富士市 高島町
417-0049 静岡県 富士市 緑町
417-0051 静岡県 富士市 吉原
417-0052 静岡県 富士市 中央町
417-0053 静岡県 富士市 依田原新田
417-0054 静岡県 富士市 永田
417-0055 静岡県 富士市 永田町
417-0056 静岡県 富士市 日乃出町
417-0057 静岡県 富士市 瓜島町
417-0058 静岡県 富士市 永田北町
417-0061 静岡県 富士市 伝法
417-0062 静岡県 富士市 香西
417-0063 静岡県 富士市 香西新田
417-0064 静岡県 富士市 弥生
417-0065 静岡県 富士市 弥生新田
417-0071 静岡県 富士市 国久保
417-0072 静岡県 富士市 浅間上町
417-0073 静岡県 富士市 浅間本町
417-0801 静岡県 富士市 大淵
417-0802 静岡県 富士市 今宮
417-0803 静岡県 富士市 桑崎
417-0804 静岡県 富士市 石井
417-0805 静岡県 富士市 鵜無ケ淵
417-0806 静岡県 富士市 間門
417-0807 静岡県 富士市 神戸
417-0808 静岡県 富士市 一色
417-0809 静岡県 富士市 中野
417-0811 静岡県 富士市 江尾
417-0812 静岡県 富士市 境
417-0813 静岡県 富士市 船津
417-0814 静岡県 富士市 西船津
417-0815 静岡県 富士市 増川
417-0816 静岡県 富士市 増川新町
417-0817 静岡県 富士市 江尾南
417-0821 静岡県 富士市 神谷
417-0822 静岡県 富士市 神谷新町
417-0823 静岡県 富士市 神谷南
417-0824 静岡県 富士市 川尻東
417-0825 静岡県 富士市 川尻
417-0826 静岡県 富士市 中里
417-0831 静岡県 富士市 東柏原新田
417-0832 静岡県 富士市 中柏原新田
417-0833 静岡県 富士市 沼田新田
417-0834 静岡県 富士市 西柏原新田
417-0835 静岡県 富士市 柏原
417-0841 静岡県 富士市 富士岡
417-0842 静岡県 富士市 三新田
417-0843 静岡県 富士市 田中新田
417-0844 静岡県 富士市 桧新田
417-0845 静岡県 富士市 大野新田
417-0846 静岡県 富士市 今井
417-0847 静岡県 富士市 比奈
417-0851 静岡県 富士市 富士見台
417-0852 静岡県 富士市 原田
417-0853 静岡県 富士市 宇東川東町
417-0854 静岡県 富士市 宇東川西町
417-0855 静岡県 富士市 三ツ沢
417-0861 静岡県 富士市 広見東本町
417-0862 静岡県 富士市 石坂
417-0863 静岡県 富士市 広見西本町
417-0864 静岡県 富士市 広見本町
417-8501 静岡県 富士市 今泉
417-8503 静岡県 富士市 比奈
417-8505 静岡県 富士市 西柏原新田
417-8506 静岡県 富士市 八代町
417-8507 静岡県 富士市 島田町
417-8508 静岡県 富士市 大淵
417-8510 静岡県 富士市 中里
417-8511 静岡県 富士市 中央町
417-8512 静岡県 富士市 伝法
417-8519 静岡県 富士市 中央町
417-8520 静岡県 富士市 比奈
417-8522 静岡県 富士市 青島町
417-8529 静岡県 富士市 伝法
417-8530 静岡県 富士市 田島
417-8531 静岡県 富士市 大淵
417-8533 静岡県 富士市 大野新田
417-8535 静岡県 富士市 伝法
417-8538 静岡県 富士市 永田
417-8540 静岡県 富士市 永田町
417-8543 静岡県 富士市 神谷
417-8545 静岡県 富士市 今泉
417-8550 静岡県 富士市 大淵
417-8555 静岡県 富士市 原田
417-8560 静岡県 富士市 新橋町
417-8565 静岡県 富士市 鈴川本町
417-8566 静岡県 富士市 八代町
417-8567 静岡県 富士市 高島町
417-8570 静岡県 富士市 依田橋
417-8571 静岡県 富士市 今泉
417-8575 静岡県 富士市 大淵
417-8577 静岡県 富士市 今泉
417-8580 静岡県 富士市 大淵
417-8585 静岡県 富士市 今泉
417-8588 静岡県 富士市 中河原
417-8601 静岡県 富士市 永田町
417-8609 静岡県 富士市 南町
417-8610 静岡県 富士市 今井
417-8632 静岡県 富士市 瓜島町
417-8650 静岡県 富士市 大野新田
417-8686 静岡県 富士市 青島町
418-0000 静岡県 富士宮市 
418-0001 静岡県 富士宮市 万野原新田
418-0002 静岡県 富士宮市 中原町
418-0003 静岡県 富士宮市 ひばりが丘
418-0004 静岡県 富士宮市 三園平
418-0005 静岡県 富士宮市 宮原
418-0006 静岡県 富士宮市 外神
418-0007 静岡県 富士宮市 外神東町
418-0011 静岡県 富士宮市 粟倉
418-0012 静岡県 富士宮市 村山
418-0013 静岡県 富士宮市 大岩
418-0014 静岡県 富士宮市 富士見ケ丘
418-0015 静岡県 富士宮市 舞々木町
418-0016 静岡県 富士宮市 阿幸地
418-0017 静岡県 富士宮市 舟久保町
418-0018 静岡県 富士宮市 粟倉南町
418-0019 静岡県 富士宮市 南陵
418-0021 静岡県 富士宮市 杉田
418-0022 静岡県 富士宮市 小泉
418-0023 静岡県 富士宮市 山本
418-0024 静岡県 富士宮市 貫戸
418-0025 静岡県 富士宮市 前田町
418-0026 静岡県 富士宮市 西小泉町
418-0031 静岡県 富士宮市 神田川町
418-0032 静岡県 富士宮市 浅間町
418-0033 静岡県 富士宮市 野中東町
418-0034 静岡県 富士宮市 黒田
418-0035 静岡県 富士宮市 星山
418-0036 静岡県 富士宮市 沼久保
418-0037 静岡県 富士宮市 安居山
418-0038 静岡県 富士宮市 野中町
418-0039 静岡県 富士宮市 野中
418-0041 静岡県 富士宮市 淀川町
418-0042 静岡県 富士宮市 貴船町
418-0043 静岡県 富士宮市 泉町
418-0044 静岡県 富士宮市 大中里
418-0045 静岡県 富士宮市 中島町
418-0046 静岡県 富士宮市 中里東町
418-0047 静岡県 富士宮市 青木
418-0048 静岡県 富士宮市 青木平
418-0051 静岡県 富士宮市 淀師
418-0052 静岡県 富士宮市 淀平町
418-0053 静岡県 富士宮市 宮北町
418-0054 静岡県 富士宮市 光町
418-0055 静岡県 富士宮市 宝町
418-0056 静岡県 富士宮市 西町
418-0057 静岡県 富士宮市 朝日町
418-0058 静岡県 富士宮市 穂波町
418-0061 静岡県 富士宮市 北町
418-0062 静岡県 富士宮市 城北町
418-0063 静岡県 富士宮市 若の宮町
418-0064 静岡県 富士宮市 元城町
418-0065 静岡県 富士宮市 中央町
418-0066 静岡県 富士宮市 大宮町
418-0067 静岡県 富士宮市 宮町
418-0068 静岡県 富士宮市 豊町
418-0071 静岡県 富士宮市 東阿幸地
418-0072 静岡県 富士宮市 矢立町
418-0073 静岡県 富士宮市 弓沢町
418-0074 静岡県 富士宮市 源道寺町
418-0075 静岡県 富士宮市 田中町
418-0076 静岡県 富士宮市 錦町
418-0077 静岡県 富士宮市 東町
418-0078 静岡県 富士宮市 阿幸地町
418-0101 静岡県 富士宮市 根原
418-0102 静岡県 富士宮市 人穴
418-0103 静岡県 富士宮市 上井出
418-0104 静岡県 富士宮市 内野
418-0105 静岡県 富士宮市 原
418-0106 静岡県 富士宮市 半野
418-0107 静岡県 富士宮市 佐折
418-0108 静岡県 富士宮市 猪之頭
418-0109 静岡県 富士宮市 麓
418-0111 静岡県 富士宮市 山宮
418-0112 静岡県 富士宮市 北山
418-0113 静岡県 富士宮市 馬見塚
418-0114 静岡県 富士宮市 下条
418-0115 静岡県 富士宮市 精進川
418-0116 静岡県 富士宮市 上条
418-0117 静岡県 富士宮市 狩宿
418-0192 静岡県 富士宮市 上井出
418-8601 静岡県 富士宮市 弓沢町
418-8666 静岡県 富士宮市 大中里
418-8686 静岡県 富士宮市 元城町
419-0100 静岡県 田方郡函南町 
419-0101 静岡県 田方郡函南町 桑原
419-0102 静岡県 田方郡函南町 田代
419-0103 静岡県 田方郡函南町 軽井沢
419-0104 静岡県 田方郡函南町 畑
419-0105 静岡県 田方郡函南町 丹那
419-0106 静岡県 田方郡函南町 南箱根ダイヤランド
419-0107 静岡県 田方郡函南町 平井
419-0111 静岡県 田方郡函南町 畑毛
419-0112 静岡県 田方郡函南町 柏谷
419-0113 静岡県 田方郡函南町 大土肥
419-0114 静岡県 田方郡函南町 仁田
419-0115 静岡県 田方郡函南町 新田
419-0116 静岡県 田方郡函南町 日守
419-0121 静岡県 田方郡函南町 大竹
419-0122 静岡県 田方郡函南町 上沢
419-0123 静岡県 田方郡函南町 間宮
419-0124 静岡県 田方郡函南町 塚本
419-0125 静岡県 田方郡函南町 肥田
419-0192 静岡県 田方郡函南町 平井
419-0193 静岡県 田方郡函南町 平井
419-0201 静岡県 富士市 厚原
419-0202 静岡県 富士市 久沢
419-0203 静岡県 富士市 鷹岡本町
419-0204 静岡県 富士市 入山瀬
419-0205 静岡県 富士市 天間
419-0293 静岡県 富士市 久沢
419-0295 静岡県 富士市 天間
419-0300 静岡県 富士郡芝川町 
419-0301 静岡県 富士宮市 上柚野
419-0302 静岡県 富士宮市 猫沢
419-0303 静岡県 富士宮市 大鹿窪
419-0304 静岡県 富士宮市 鳥並
419-0305 静岡県 富士宮市 下柚野
419-0311 静岡県 富士宮市 上稲子
419-0312 静岡県 富士宮市 下稲子
419-0313 静岡県 富士宮市 西山
419-0314 静岡県 富士宮市 大久保
419-0315 静岡県 富士宮市 長貫
419-0316 静岡県 富士宮市 羽鮒
419-0317 静岡県 富士宮市 内房
419-0392 静岡県 富士宮市 長貫
