080-0000 北海道 帯広市 
085-0217 北海道 釧路市 阿寒町北町
085-0218 北海道 釧路市 阿寒町新町
085-0220 北海道 釧路市 阿寒町舌辛
085-0221 北海道 釧路市 阿寒町上舌辛
085-0222 北海道 釧路市 阿寒町布伏内
085-0223 北海道 釧路市 阿寒町下布伏内
085-0224 北海道 釧路市 阿寒町雄別横山
085-0225 北海道 釧路市 阿寒町知茶布
085-0231 北海道 釧路市 阿寒町下徹別
085-0232 北海道 釧路市 阿寒町大正
085-0233 北海道 釧路市 阿寒町西徹別
085-0234 北海道 釧路市 阿寒町蘇牛
085-0235 北海道 釧路市 阿寒町上徹別
085-0236 北海道 釧路市 阿寒町中徹別
085-0237 北海道 釧路市 阿寒町徹別中央
085-0238 北海道 釧路市 阿寒町飽別
085-0241 北海道 釧路市 阿寒町中阿寒
085-0242 北海道 釧路市 阿寒町東舌辛
085-0243 北海道 釧路市 阿寒町西阿寒
085-0244 北海道 釧路市 阿寒町紀ノ丘
085-0245 北海道 釧路市 阿寒町上阿寒
085-0251 北海道 釧路市 桜田
085-0252 北海道 釧路市 青山
085-0292 北海道 釧路市 阿寒町中央
085-0293 北海道 釧路市 阿寒町北新町
085-0467 北海道 釧路市 阿寒町阿寒湖温泉
085-0467 北海道 釧路市 阿寒町阿寒湖温泉
085-0467 北海道 釧路市 阿寒町阿寒湖温泉
085-0467 北海道 釧路市 阿寒町阿寒湖温泉
085-0467 北海道 釧路市 阿寒町阿寒湖温泉
085-0467 北海道 釧路市 阿寒町阿寒湖温泉
085-0801 北海道 釧路市 三津浦
085-0802 北海道 釧路市 桂恋
085-0803 北海道 釧路市 益浦
085-0804 北海道 釧路市 白樺台
085-0805 北海道 釧路市 桜ケ岡
085-0806 北海道 釧路市 武佐
085-0807 北海道 釧路市 高山
085-0811 北海道 釧路市 興津
085-0812 北海道 釧路市 紫雲台
085-0813 北海道 釧路市 春採
085-0814 北海道 釧路市 緑ケ岡
085-0815 北海道 釧路市 材木町
085-0816 北海道 釧路市 貝塚
085-0821 北海道 釧路市 鶴ケ岱
085-0822 北海道 釧路市 春湖台
085-0823 北海道 釧路市 千代ノ浦
085-0824 北海道 釧路市 柏木町
085-0825 北海道 釧路市 千歳町
085-0826 北海道 釧路市 城山
085-0831 北海道 釧路市 住吉
085-0832 北海道 釧路市 富士見
085-0833 北海道 釧路市 宮本
085-0834 北海道 釧路市 弥生
085-0835 北海道 釧路市 浦見
085-0836 北海道 釧路市 幣舞町
085-0837 北海道 釧路市 大川町
085-0841 北海道 釧路市 南大通
085-0842 北海道 釧路市 米町
085-0843 北海道 釧路市 弁天ケ浜
085-0844 北海道 釧路市 知人町
085-0845 北海道 釧路市 港町
085-0846 北海道 釧路市 入舟
085-0847 北海道 釧路市 大町
085-1131 北海道 阿寒郡鶴居村 新幌呂
085-1132 北海道 阿寒郡鶴居村 上幌呂
085-1133 北海道 阿寒郡鶴居村 支幌呂
085-1134 北海道 阿寒郡鶴居村 茂幌呂
085-1141 北海道 阿寒郡鶴居村 幌呂西
085-1142 北海道 阿寒郡鶴居村 幌呂東
085-1143 北海道 阿寒郡鶴居村 中幌呂
085-1144 北海道 阿寒郡鶴居村 下幌呂
085-1145 北海道 阿寒郡鶴居村 温根内
085-1146 北海道 阿寒郡鶴居村 アトコシヤラカ
085-1147 北海道 阿寒郡鶴居村 幌呂
085-1200 北海道 阿寒郡鶴居村 
085-1201 北海道 阿寒郡鶴居村 鶴居北
085-1202 北海道 阿寒郡鶴居村 中雪裡
085-1203 北海道 阿寒郡鶴居村 鶴居西
085-1204 北海道 阿寒郡鶴居村 鶴居南
085-1205 北海道 阿寒郡鶴居村 中雪裡
085-1206 北海道 阿寒郡鶴居村 鶴居東
085-1207 北海道 阿寒郡鶴居村 中雪裡
085-1211 北海道 阿寒郡鶴居村 下雪裡
085-1212 北海道 阿寒郡鶴居村 支雪裡
085-1213 北海道 阿寒郡鶴居村 茂雪裡
085-1361 北海道 阿寒郡鶴居村 中久著呂
085-1362 北海道 阿寒郡鶴居村 下久著呂
085-1381 北海道 川上郡標茶町 中久著呂市街
085-1382 北海道 川上郡標茶町 中久著呂
085-1383 北海道 川上郡標茶町 上久著呂
085-1384 北海道 川上郡標茶町 上沼幌
085-1385 北海道 川上郡標茶町 下沼幌
085-1386 北海道 川上郡標茶町 新久著呂
085-1387 北海道 川上郡標茶町 下久著呂
085-1388 北海道 川上郡標茶町 コッタロ
085-2271 北海道 釧路郡釧路町 跡永賀村
085-2272 北海道 釧路郡釧路町 昆布森
085-2273 北海道 釧路郡釧路町 昆布森村
085-8501 北海道 釧路市 黒金町
085-8502 北海道 釧路市 栄町
085-8505 北海道 釧路市 黒金町
085-8510 北海道 釧路市 柏木町
085-8511 北海道 釧路市 黒金町
085-8512 北海道 釧路市 新栄町
085-8515 北海道 釧路市 幸町
085-8522 北海道 釧路市 幸町
085-8527 北海道 釧路市 北大通
085-8533 北海道 釧路市 中園町
085-8535 北海道 釧路市 幸町
085-8550 北海道 釧路市 入舟
085-8551 北海道 釧路市 幸町
085-8555 北海道 釧路市 寿
085-8557 北海道 釧路市 柏木町
085-8558 北海道 釧路市 春湖台
085-8567 北海道 釧路市 宮本
085-8577 北海道 釧路市 北大通
085-8580 北海道 釧路市 城山
085-8581 北海道 釧路市 幸町
085-8585 北海道 釧路市 芦野
085-8586 北海道 釧路市 幸町
085-8588 北海道 釧路市 浦見
085-8639 北海道 釧路市 幸町
085-8649 北海道 釧路市 幸町
085-8650 北海道 釧路市 黒金町
085-8655 北海道 釧路市 黒金町
085-8660 北海道 釧路市 幣舞町
085-8668 北海道 釧路市 幸町
085-8677 北海道 釧路市 末広町
086-0061 北海道 根室市 明郷
086-0062 北海道 根室市 湖南
086-0063 北海道 根室市 東厚床
086-0064 北海道 根室市 厚床
086-0065 北海道 根室市 西厚床
086-0071 北海道 根室市 槍昔
086-0072 北海道 根室市 川口
086-0073 北海道 根室市 酪陽
086-0074 北海道 根室市 東梅
086-0075 北海道 根室市 別当賀
086-0076 北海道 根室市 初田牛
086-0081 北海道 厚岸郡浜中町 厚陽
086-0131 北海道 野付郡別海町 上風連
086-0200 北海道 野付郡別海町 
086-0201 北海道 野付郡別海町 別海宮舞町
086-0202 北海道 野付郡別海町 別海旭町
086-0203 北海道 野付郡別海町 別海西本町
086-0204 北海道 野付郡別海町 別海新栄町
086-0205 北海道 野付郡別海町 別海常盤町
086-0211 北海道 野付郡別海町 別海寿町
086-0212 北海道 野付郡別海町 別海鶴舞町
086-0213 北海道 野付郡別海町 奥行
086-0214 北海道 野付郡別海町 別海緑町
086-0215 北海道 野付郡別海町 別海川上町
086-0216 北海道 野付郡別海町 別海
086-0341 北海道 野付郡別海町 中西別緑町
086-0342 北海道 野付郡別海町 中西別朝日町
086-0343 北海道 野付郡別海町 中西別光町
086-0344 北海道 野付郡別海町 中西別本町
086-0345 北海道 野付郡別海町 中西別
086-0346 北海道 野付郡別海町 矢臼別
086-0521 北海道 野付郡別海町 床丹
086-0522 北海道 野付郡別海町 本別海
086-0523 北海道 野付郡別海町 走古丹
086-0651 北海道 野付郡別海町 中春別東町
086-0652 北海道 野付郡別海町 中春別南町
086-0653 北海道 野付郡別海町 中春別西町
086-0654 北海道 野付郡別海町 中春別
086-0655 北海道 野付郡別海町 床丹
086-0656 北海道 野付郡別海町 美原
086-0657 北海道 野付郡別海町 豊原
086-1001 北海道 標津郡中標津町 東一条南
086-1002 北海道 標津郡中標津町 東二条南
086-1003 北海道 標津郡中標津町 東三条南
086-1004 北海道 標津郡中標津町 東四条南
086-1005 北海道 標津郡中標津町 東五条南
086-1006 北海道 標津郡中標津町 東六条南
086-1007 北海道 標津郡中標津町 東七条南
086-1008 北海道 標津郡中標津町 東八条南
086-1009 北海道 標津郡中標津町 東九条南
086-1010 北海道 標津郡中標津町 東十条南
086-1011 北海道 標津郡中標津町 東十一条南
086-1012 北海道 標津郡中標津町 東十二条南
086-1013 北海道 標津郡中標津町 東十三条南
086-1014 北海道 標津郡中標津町 東十四条南
086-1015 北海道 標津郡中標津町 東十五条南
086-1016 北海道 標津郡中標津町 東十六条南
086-1017 北海道 標津郡中標津町 東十七条南
086-1018 北海道 標津郡中標津町 東十八条南
086-1019 北海道 標津郡中標津町 東十九条南
086-1020 北海道 標津郡中標津町 東二十条南
086-1021 北海道 標津郡中標津町 東二十一条南
086-1022 北海道 標津郡中標津町 東二十二条南
086-1023 北海道 標津郡中標津町 東二十三条南
086-1024 北海道 標津郡中標津町 東二十四条南
086-1025 北海道 標津郡中標津町 東二十五条南
086-1026 北海道 標津郡中標津町 東二十六条南
086-1027 北海道 標津郡中標津町 東二十七条南
086-1028 北海道 標津郡中標津町 東二十八条南
086-1029 北海道 標津郡中標津町 東二十九条南
086-1030 北海道 標津郡中標津町 東三十条南
086-1031 北海道 標津郡中標津町 東三十一条南
086-1032 北海道 標津郡中標津町 東三十二条南
086-1033 北海道 標津郡中標津町 東三十三条南
086-1034 北海道 標津郡中標津町 東三十四条南
086-1035 北海道 標津郡中標津町 東三十五条南
086-1036 北海道 標津郡中標津町 東三十六条南
086-1037 北海道 標津郡中標津町 東三十七条南
086-1038 北海道 標津郡中標津町 東三十八条南
086-1039 北海道 標津郡中標津町 東三十九条南
086-1041 北海道 標津郡中標津町 東一条北
086-1042 北海道 標津郡中標津町 東二条北
086-1043 北海道 標津郡中標津町 東三条北
086-1044 北海道 標津郡中標津町 東四条北
086-1045 北海道 標津郡中標津町 東五条北
086-1046 北海道 標津郡中標津町 東六条北
086-1047 北海道 標津郡中標津町 東七条北
086-1048 北海道 標津郡中標津町 東八条北
086-1049 北海道 標津郡中標津町 東九条北
086-1050 北海道 標津郡中標津町 東十条北
086-1051 北海道 標津郡中標津町 東十一条北
086-1052 北海道 標津郡中標津町 東十二条北
086-1053 北海道 標津郡中標津町 東十三条北
086-1054 北海道 標津郡中標津町 東十四条北
086-1055 北海道 標津郡中標津町 東十五条北
086-1056 北海道 標津郡中標津町 東十六条北
086-1057 北海道 標津郡中標津町 東十七条北
086-1058 北海道 標津郡中標津町 東十八条北
086-1059 北海道 標津郡中標津町 東十九条北
086-1060 北海道 標津郡中標津町 東二十条北
086-1061 北海道 標津郡中標津町 東二十一条北
086-1062 北海道 標津郡中標津町 東二十二条北
086-1063 北海道 標津郡中標津町 東二十三条北
086-1064 北海道 標津郡中標津町 東二十四条北
086-1065 北海道 標津郡中標津町 東二十五条北
086-1066 北海道 標津郡中標津町 東二十六条北
086-1067 北海道 標津郡中標津町 東二十七条北
086-1068 北海道 標津郡中標津町 東二十八条北
086-1069 北海道 標津郡中標津町 東二十九条北
086-1070 北海道 標津郡中標津町 東三十条北
086-1071 北海道 標津郡中標津町 東三十一条北
086-1072 北海道 標津郡中標津町 東三十二条北
086-1073 北海道 標津郡中標津町 東三十三条北
086-1074 北海道 標津郡中標津町 東三十四条北
086-1075 北海道 標津郡中標津町 東三十五条北
086-1076 北海道 標津郡中標津町 東三十六条北
086-1077 北海道 標津郡中標津町 東三十七条北
086-1078 北海道 標津郡中標津町 東三十八条北
086-1079 北海道 標津郡中標津町 東三十九条北
086-1080 北海道 標津郡中標津町 東四十条北
086-1080 北海道 標津郡中標津町 東四十条南
086-1081 北海道 標津郡中標津町 東四十一条北
086-1081 北海道 標津郡中標津町 東四十一条南
086-1082 北海道 標津郡中標津町 東四十二条北
086-1082 北海道 標津郡中標津町 東四十二条南
086-1083 北海道 標津郡中標津町 東中
086-1100 北海道 標津郡中標津町 
086-1101 北海道 標津郡中標津町 西一条南
086-1102 北海道 標津郡中標津町 西二条南
086-1103 北海道 標津郡中標津町 西三条南
086-1104 北海道 標津郡中標津町 西四条南
086-1105 北海道 標津郡中標津町 西五条南
086-1106 北海道 標津郡中標津町 西六条南
086-1107 北海道 標津郡中標津町 西七条南
086-1108 北海道 標津郡中標津町 西八条南
086-1109 北海道 標津郡中標津町 西九条南
086-1110 北海道 標津郡中標津町 西十条南
086-1111 北海道 標津郡中標津町 西十一条南
086-1112 北海道 標津郡中標津町 西十二条南
086-1121 北海道 標津郡中標津町 西一条北
086-1122 北海道 標津郡中標津町 西二条北
086-1123 北海道 標津郡中標津町 西三条北
086-1124 北海道 標津郡中標津町 西四条北
086-1125 北海道 標津郡中標津町 西五条北
086-1126 北海道 標津郡中標津町 西六条北
086-1127 北海道 標津郡中標津町 西七条北
086-1128 北海道 標津郡中標津町 西八条北
086-1129 北海道 標津郡中標津町 西九条北
086-1130 北海道 標津郡中標津町 西十条北
086-1131 北海道 標津郡中標津町 西十一条北
086-1132 北海道 標津郡中標津町 西十二条北
086-1133 北海道 標津郡中標津町 西十三条北
086-1134 北海道 標津郡中標津町 西十四条北
086-1135 北海道 標津郡中標津町 旭ケ丘
086-1136 北海道 標津郡中標津町 協和
086-1137 北海道 標津郡中標津町 俵橋
086-1139 北海道 標津郡中標津町 豊岡
086-1141 北海道 標津郡中標津町 大通北
086-1142 北海道 標津郡中標津町 大通南
086-1143 北海道 標津郡中標津町 当幌本通
086-1144 北海道 標津郡中標津町 東当幌
086-1145 北海道 標津郡中標津町 北中
086-1146 北海道 標津郡中標津町 南町
086-1147 北海道 標津郡中標津町 共立
086-1148 北海道 標津郡中標津町 緑ケ丘
086-1150 北海道 標津郡中標津町 南中
086-1151 北海道 標津郡中標津町 川西
086-1152 北海道 標津郡中標津町 北町
086-1153 北海道 標津郡中標津町 桜ケ丘
086-1156 北海道 標津郡中標津町 並美ケ丘
086-1157 北海道 標津郡中標津町 西町
086-1159 北海道 標津郡中標津町 青葉台
086-1160 北海道 標津郡中標津町 りんどう町
086-1163 北海道 標津郡中標津町 俵中
086-1164 北海道 標津郡中標津町 丸山
086-1165 北海道 標津郡中標津町 緑町北
086-1166 北海道 標津郡中標津町 緑町南
086-1197 北海道 標津郡中標津町 丸山
086-1271 北海道 標津郡中標津町 武佐
086-1272 北海道 標津郡中標津町 開陽
086-1273 北海道 標津郡中標津町 俣落
086-1451 北海道 標津郡標津町 川北
086-1600 北海道 標津郡標津町 
086-1601 北海道 標津郡標津町 忠類
086-1602 北海道 標津郡標津町 伊茶仁
086-1621 北海道 標津郡標津町 茶志骨
086-1622 北海道 標津郡標津町 茶志骨
086-1623 北海道 標津郡標津町 茶志骨
086-1625 北海道 標津郡標津町 茶志骨
086-1626 北海道 標津郡標津町 茶志骨
086-1630 北海道 標津郡標津町 北十条
086-1631 北海道 標津郡標津町 北一条
086-1632 北海道 標津郡標津町 北二条
086-1633 北海道 標津郡標津町 北三条
086-1634 北海道 標津郡標津町 北四条
086-1635 北海道 標津郡標津町 北五条
086-1636 北海道 標津郡標津町 北六条
086-1637 北海道 標津郡標津町 北七条
086-1638 北海道 標津郡標津町 北八条
086-1639 北海道 標津郡標津町 北九条
086-1641 北海道 野付郡別海町 尾岱沼
086-1642 北海道 野付郡別海町 尾岱沼岬町
086-1643 北海道 野付郡別海町 尾岱沼港町
086-1644 北海道 野付郡別海町 尾岱沼潮見町
086-1645 北海道 野付郡別海町 野付
086-1651 北海道 標津郡標津町 南一条
086-1652 北海道 標津郡標津町 南二条
086-1653 北海道 標津郡標津町 南三条
086-1654 北海道 標津郡標津町 南四条
086-1655 北海道 標津郡標津町 南五条
086-1656 北海道 標津郡標津町 南六条
086-1657 北海道 標津郡標津町 南七条
086-1658 北海道 標津郡標津町 南八条
086-1731 北海道 標津郡標津町 古多糠
086-1732 北海道 標津郡標津町 薫別
086-1733 北海道 標津郡標津町 崎無異
086-1751 北海道 目梨郡羅臼町 峯浜町
086-1752 北海道 目梨郡羅臼町 幌萌町
086-1800 北海道 目梨郡羅臼町 
086-1801 北海道 目梨郡羅臼町 知床岬
086-1802 北海道 目梨郡羅臼町 滝ノ下
086-1803 北海道 目梨郡羅臼町 船泊
086-1804 北海道 目梨郡羅臼町 化石浜
086-1805 北海道 目梨郡羅臼町 崩浜
086-1806 北海道 目梨郡羅臼町 相泊
086-1811 北海道 目梨郡羅臼町 瀬石
086-1812 北海道 目梨郡羅臼町 昆布浜
086-1813 北海道 目梨郡羅臼町 北浜
086-1814 北海道 目梨郡羅臼町 岬町
086-1815 北海道 目梨郡羅臼町 海岸町
086-1816 北海道 目梨郡羅臼町 共栄町
086-1821 北海道 目梨郡羅臼町 緑町
086-1822 北海道 目梨郡羅臼町 湯ノ沢町
086-1823 北海道 目梨郡羅臼町 栄町
086-1831 北海道 目梨郡羅臼町 富士見町
086-1832 北海道 目梨郡羅臼町 船見町
086-1833 北海道 目梨郡羅臼町 本町
086-1834 北海道 目梨郡羅臼町 礼文町
086-1835 北海道 目梨郡羅臼町 松法町
086-1836 北海道 目梨郡羅臼町 知昭町
086-1841 北海道 目梨郡羅臼町 八木浜町
086-1842 北海道 目梨郡羅臼町 麻布町
086-1843 北海道 目梨郡羅臼町 春日町
086-1844 北海道 目梨郡羅臼町 幌萌町
086-1892 北海道 目梨郡羅臼町 栄町
086-1893 北海道 目梨郡羅臼町 船見町
087-0000 北海道 根室市 
087-0001 北海道 根室市 北浜町
087-0002 北海道 根室市 牧の内
087-0003 北海道 根室市 明治町
087-0004 北海道 根室市 光洋町
087-0005 北海道 根室市 宝町
087-0006 北海道 根室市 曙町
087-0007 北海道 根室市 月見町
087-0008 北海道 根室市 有磯町
087-0009 北海道 根室市 弥栄町
087-0010 北海道 根室市 栄町
087-0011 北海道 根室市 弁天町
087-0012 北海道 根室市 駒場町
087-0014 北海道 根室市 朝日町
087-0015 北海道 根室市 花咲町
087-0016 北海道 根室市 松ケ枝町
087-0017 北海道 根室市 鳴海町
087-0018 北海道 根室市 千島町
087-0019 北海道 根室市 汐見町
087-0021 北海道 根室市 幸町
087-0022 北海道 根室市 昭和町
087-0023 北海道 根室市 桂木
087-0024 北海道 根室市 宝林町
087-0025 北海道 根室市 西浜町
087-0026 北海道 根室市 敷島町
087-0027 北海道 根室市 光和町
087-0028 北海道 根室市 大正町
087-0031 北海道 根室市 月岡町
087-0032 北海道 根室市 花咲港
087-0033 北海道 根室市 西和田
087-0034 北海道 根室市 東和田
087-0035 北海道 根室市 温根沼
087-0036 北海道 根室市 幌茂尻
087-0037 北海道 根室市 穂香
087-0041 北海道 根室市 常盤町
087-0042 北海道 根室市 清隆町
087-0043 北海道 根室市 北斗町
087-0044 北海道 根室市 松本町
087-0045 北海道 根室市 花園町
087-0046 北海道 根室市 岬町
087-0047 北海道 根室市 定基町
087-0048 北海道 根室市 平内町
087-0049 北海道 根室市 弥生町
087-0051 北海道 根室市 緑町
087-0052 北海道 根室市 梅ケ枝町
087-0053 北海道 根室市 本町
087-0054 北海道 根室市 海岸町
087-0055 北海道 根室市 琴平町
087-0161 北海道 根室市 友知
087-0162 北海道 根室市 双沖
087-0163 北海道 根室市 歯舞
087-0164 北海道 根室市 珸瑤瑁
087-0165 北海道 根室市 納沙布
087-0166 北海道 根室市 温根元
087-0167 北海道 根室市 豊里
087-0192 北海道 根室市 歯舞
087-8555 北海道 根室市 光洋町
087-8588 北海道 根室市 常盤町
087-8609 北海道 根室市 幸町
087-8686 北海道 根室市 有磯町
087-8711 北海道 根室市 常盤町
088-0101 北海道 釧路市 音別町馬主来
088-0102 北海道 釧路市 音別町中音別
088-0103 北海道 釧路市 音別町中音別
088-0104 北海道 釧路市 音別町音別原野基線
088-0105 北海道 釧路市 音別町ムリ
088-0106 北海道 釧路市 音別町ヌプキベツ
088-0107 北海道 釧路市 音別町チヤンベツ
088-0108 北海道 釧路市 音別町音別原野基線
088-0109 北海道 釧路市 音別町音別原野東
088-0111 北海道 釧路市 音別町パシクル湖畔
088-0112 北海道 釧路市 音別町中音別
088-0113 北海道 釧路市 音別町風連
088-0114 北海道 釧路市 音別町海光
088-0115 北海道 釧路市 音別町本町
088-0116 北海道 釧路市 音別町中園
088-0117 北海道 釧路市 音別町朝日
088-0118 北海道 釧路市 音別町中音別
088-0121 北海道 釧路市 音別町若草
088-0122 北海道 釧路市 音別町あけぼの
088-0123 北海道 釧路市 音別町川東
088-0124 北海道 釧路市 音別町緑町
088-0125 北海道 釧路市 音別町共栄
088-0126 北海道 釧路市 音別町音別原野西
088-0131 北海道 釧路市 音別町ノトロ
088-0132 北海道 釧路市 音別町尺別
088-0133 北海道 釧路市 音別町尺別
088-0134 北海道 釧路市 音別町キナシ別
088-0135 北海道 釧路市 音別町直別
088-0181 北海道 十勝郡浦幌町 直別
088-0192 北海道 釧路市 音別町本町
088-0193 北海道 釧路市 音別町朝日
088-0300 北海道 白糠郡白糠町 
088-0301 北海道 白糠郡白糠町 東一条南
088-0302 北海道 白糠郡白糠町 東二条南
088-0303 北海道 白糠郡白糠町 東三条南
088-0304 北海道 白糠郡白糠町 岬
088-0305 北海道 白糠郡白糠町 刺牛
088-0311 北海道 白糠郡白糠町 西一条南
088-0312 北海道 白糠郡白糠町 西二条南
088-0321 北海道 白糠郡白糠町 西一条北
088-0322 北海道 白糠郡白糠町 西二条北
088-0323 北海道 白糠郡白糠町 西四条北
088-0324 北海道 白糠郡白糠町 西五条北
088-0331 北海道 白糠郡白糠町 東一条北
088-0332 北海道 白糠郡白糠町 東二条北
088-0333 北海道 白糠郡白糠町 東三条北
088-0341 北海道 白糠郡白糠町 大苗
088-0341 北海道 白糠郡白糠町 下茶路
088-0341 北海道 白糠郡白糠町 相互
088-0341 北海道 白糠郡白糠町 西茶路
088-0341 北海道 白糠郡白糠町 東茶路
088-0342 北海道 白糠郡白糠町 御札部
088-0342 北海道 白糠郡白糠町 御仁田
088-0342 北海道 白糠郡白糠町 川西
088-0342 北海道 白糠郡白糠町 高台
088-0342 北海道 白糠郡白糠町 鍛高
088-0342 北海道 白糠郡白糠町 茶路
088-0342 北海道 白糠郡白糠町 中茶路
088-0342 北海道 白糠郡白糠町 松川
088-0343 北海道 白糠郡白糠町 上茶路
088-0343 北海道 白糠郡白糠町 新縫別
088-0343 北海道 白糠郡白糠町 縫別
088-0343 北海道 白糠郡白糠町 南大曲
088-0343 北海道 白糠郡白糠町 南上茶路
088-0344 北海道 白糠郡白糠町 左股
088-0344 北海道 白糠郡白糠町 二股
088-0344 北海道 白糠郡白糠町 右股
088-0351 北海道 白糠郡白糠町 橋西
088-0351 北海道 白糠郡白糠町 坂の丘
088-0351 北海道 白糠郡白糠町 下和天別
088-0351 北海道 白糠郡白糠町 和天別
088-0352 北海道 白糠郡白糠町 川島
088-0352 北海道 白糠郡白糠町 大秋
088-0352 北海道 白糠郡白糠町 馬主来
088-0352 北海道 白糠郡白糠町 緑
088-0353 北海道 白糠郡白糠町 大沢
088-0353 北海道 白糠郡白糠町 大平
088-0353 北海道 白糠郡白糠町 河原
088-0353 北海道 白糠郡白糠町 恋隠
088-0353 北海道 白糠郡白糠町 中和天別
088-0353 北海道 白糠郡白糠町 本郷
088-0392 北海道 白糠郡白糠町 西一条南
088-0393 北海道 白糠郡白糠町 西一条北
088-0394 北海道 白糠郡白糠町 岬
088-0395 北海道 白糠郡白糠町 東一条南
088-0561 北海道 白糠郡白糠町 大楽毛
088-0562 北海道 白糠郡白糠町 コイトイ
088-0563 北海道 白糠郡白糠町 庶路甲区
088-0564 北海道 白糠郡白糠町 庶路
088-0565 北海道 白糠郡白糠町 庶路
088-0566 北海道 白糠郡白糠町 庶路
088-0567 北海道 白糠郡白糠町 庶路
088-0568 北海道 白糠郡白糠町 庶路乙区
088-0571 北海道 白糠郡白糠町 西庶路西一条北
088-0571 北海道 白糠郡白糠町 西庶路西二条北
088-0571 北海道 白糠郡白糠町 西庶路西三条北
088-0572 北海道 白糠郡白糠町 西庶路西一条南
088-0572 北海道 白糠郡白糠町 西庶路西二条南
088-0572 北海道 白糠郡白糠町 西庶路西三条南
088-0572 北海道 白糠郡白糠町 西庶路西四条南
088-0572 北海道 白糠郡白糠町 西庶路西五条南
088-0573 北海道 白糠郡白糠町 西庶路東一条北
088-0573 北海道 白糠郡白糠町 西庶路東二条北
088-0573 北海道 白糠郡白糠町 西庶路東三条北
088-0574 北海道 白糠郡白糠町 西庶路東一条南
088-0574 北海道 白糠郡白糠町 西庶路東二条南
088-0574 北海道 白糠郡白糠町 西庶路東三条南
088-0581 北海道 白糠郡白糠町 乳呑
088-0582 北海道 白糠郡白糠町 中庶路
088-0583 北海道 白糠郡白糠町 上庶路
088-0584 北海道 白糠郡白糠町 泊別
088-0585 北海道 白糠郡白糠町 暁
088-0586 北海道 白糠郡白糠町 庶路東
088-0587 北海道 白糠郡白糠町 庶路西
088-0592 北海道 白糠郡白糠町 西庶路東三条北
088-0595 北海道 白糠郡白糠町 庶路甲区
088-0598 北海道 白糠郡白糠町 庶路甲区
088-0600 北海道 釧路郡釧路町 
088-0601 北海道 釧路郡釧路町 上別保原野
088-0602 北海道 釧路郡釧路町 別保東
088-0603 北海道 釧路郡釧路町 別保南
088-0604 北海道 釧路郡釧路町 別保
088-0605 北海道 釧路郡釧路町 別保原野
088-0606 北海道 釧路郡釧路町 中央
088-0607 北海道 釧路郡釧路町 床丹
088-0608 北海道 釧路郡釧路町 釧望台
088-0609 北海道 釧路郡釧路町 共和
088-0611 北海道 釧路郡釧路町 豊美
088-0612 北海道 釧路郡釧路町 雁来
088-0613 北海道 釧路郡釧路町 若葉
088-0614 北海道 釧路郡釧路町 国誉
088-0615 北海道 釧路郡釧路町 睦
088-0616 北海道 釧路郡釧路町 曙
088-0617 北海道 釧路郡釧路町 北都
088-0618 北海道 釧路郡釧路町 富原
088-0621 北海道 釧路郡釧路町 桂木
088-0622 北海道 釧路郡釧路町 木場
088-0623 北海道 釧路郡釧路町 光和
088-0624 北海道 釧路郡釧路町 新開
088-0625 北海道 釧路郡釧路町 北見団地
088-0626 北海道 釧路郡釧路町 桂
088-0627 北海道 釧路郡釧路町 東陽西
088-0628 北海道 釧路郡釧路町 東陽大通西
088-0692 北海道 釧路郡釧路町 別保
088-0771 北海道 厚岸郡厚岸町 上尾幌
088-0831 北海道 釧路郡釧路町 仙鳳趾村
088-0832 北海道 釧路郡釧路町 仙鳳趾村
088-0833 北海道 釧路郡釧路町 仙鳳趾村
088-0834 北海道 釧路郡釧路町 仙鳳趾村
088-0835 北海道 釧路郡釧路町 仙鳳趾村
088-0871 北海道 厚岸郡厚岸町 尾幌
088-0872 北海道 厚岸郡厚岸町 来別
088-0873 北海道 厚岸郡厚岸町 乙幌
088-0874 北海道 厚岸郡厚岸町 門静
088-0875 北海道 厚岸郡厚岸町 苫多
088-0876 北海道 厚岸郡厚岸町 沖万別
088-0877 北海道 厚岸郡厚岸町 敏内
088-0878 北海道 厚岸郡厚岸町 ルークシュポール
088-1100 北海道 厚岸郡厚岸町 
088-1101 北海道 厚岸郡厚岸町 糸魚沢
088-1101 北海道 厚岸郡厚岸町 神岩
088-1101 北海道 厚岸郡厚岸町 チライカリベツ
088-1101 北海道 厚岸郡厚岸町 別寒辺牛
088-1101 北海道 厚岸郡厚岸町 ホロニタイ
088-1101 北海道 厚岸郡厚岸町 若松
088-1102 北海道 厚岸郡厚岸町 登喜岱
088-1103 北海道 厚岸郡厚岸町 小島
088-1104 北海道 厚岸郡厚岸町 大黒島
088-1105 北海道 厚岸郡厚岸町 末広
088-1106 北海道 厚岸郡厚岸町 東梅
088-1107 北海道 厚岸郡厚岸町 床潭
088-1108 北海道 厚岸郡厚岸町 筑紫恋
088-1111 北海道 厚岸郡厚岸町 奔渡
088-1112 北海道 厚岸郡厚岸町 有明
088-1113 北海道 厚岸郡厚岸町 愛冠
088-1114 北海道 厚岸郡厚岸町 湾月
088-1115 北海道 厚岸郡厚岸町 梅香
088-1116 北海道 厚岸郡厚岸町 松葉
088-1117 北海道 厚岸郡厚岸町 御供
088-1118 北海道 厚岸郡厚岸町 若竹
088-1118 北海道 厚岸郡厚岸町 若竹町
