300-0000 茨城県 土浦市 
300-2731 茨城県 常総市 古間木新田
300-2732 茨城県 常総市 鴻野山新田
300-2733 茨城県 常総市 馬場新田
300-2734 茨城県 常総市 栗山新田
300-2735 茨城県 常総市 左平太新田
300-2736 茨城県 常総市 孫兵ヱ新田
300-2741 茨城県 常総市 国生
300-2742 茨城県 常総市 向石下
300-2743 茨城県 常総市 岡田
300-2744 茨城県 常総市 杉山
300-2745 茨城県 常総市 大沢新田
300-2746 茨城県 常総市 鴻野山
300-2747 茨城県 常総市 崎房
300-2748 茨城県 常総市 馬場
300-2792 茨城県 常総市 新石下
300-2793 茨城県 常総市 新石下
300-2795 茨城県 常総市 古間木
300-2797 茨城県 常総市 鴻野山
300-2798 茨城県 常総市 杉山
300-3251 茨城県 つくば市 佐
300-3252 茨城県 つくば市 若森
300-3253 茨城県 つくば市 大曽根
300-3254 茨城県 つくば市 鹿島台
300-3255 茨城県 つくば市 玉取
300-3256 茨城県 つくば市 大穂
300-3257 茨城県 つくば市 筑穂
300-3261 茨城県 つくば市 花畑
300-3262 茨城県 つくば市 蓮沼
300-3263 茨城県 つくば市 立原
300-3264 茨城県 つくば市 篠崎
300-3265 茨城県 つくば市 長高野
300-3266 茨城県 つくば市 北原
300-3267 茨城県 つくば市 前野
300-3294 茨城県 つくば市 北原
300-3295 茨城県 つくば市 大曽根
300-3500 茨城県 結城郡八千代町 
300-3501 茨城県 結城郡八千代町 塩本
300-3502 茨城県 結城郡八千代町 下山川
300-3503 茨城県 結城郡八千代町 粕礼
300-3504 茨城県 結城郡八千代町 西大山
300-3505 茨城県 結城郡八千代町 佐野
300-3506 茨城県 結城郡八千代町 成田
300-3511 茨城県 結城郡八千代町 瀬戸井
300-3512 茨城県 結城郡八千代町 小屋
300-3513 茨城県 結城郡八千代町 久下田
300-3514 茨城県 結城郡八千代町 大里
300-3515 茨城県 結城郡八千代町 大渡戸
300-3516 茨城県 結城郡八千代町 高崎
300-3517 茨城県 結城郡八千代町 坪井
300-3518 茨城県 結城郡八千代町 野爪
300-3519 茨城県 結城郡八千代町 新井
300-3521 茨城県 結城郡八千代町 川尻
300-3522 茨城県 結城郡八千代町 袋
300-3523 茨城県 結城郡八千代町 八町
300-3524 茨城県 結城郡八千代町 兵庫
300-3525 茨城県 結城郡八千代町 沼森
300-3526 茨城県 結城郡八千代町 貝谷
300-3527 茨城県 結城郡八千代町 東原
300-3531 茨城県 結城郡八千代町 今里
300-3532 茨城県 結城郡八千代町 本郷
300-3533 茨城県 結城郡八千代町 片角
300-3534 茨城県 結城郡八千代町 太田
300-3535 茨城県 結城郡八千代町 粟野
300-3536 茨城県 結城郡八千代町 中野
300-3537 茨城県 結城郡八千代町 苅橋
300-3538 茨城県 結城郡八千代町 東大山
300-3539 茨城県 結城郡八千代町 仁江戸
300-3541 茨城県 結城郡八千代町 新地
300-3542 茨城県 結城郡八千代町 福岡
300-3543 茨城県 結城郡八千代町 新地新田
300-3544 茨城県 結城郡八千代町 若
300-3545 茨城県 結城郡八千代町 東蕗田
300-3551 茨城県 結城郡八千代町 栗山
300-3552 茨城県 結城郡八千代町 大間木
300-3553 茨城県 結城郡八千代町 蕗田
300-3554 茨城県 結城郡八千代町 尾崎
300-3555 茨城県 結城郡八千代町 芦ケ谷
300-3556 茨城県 結城郡八千代町 芦ケ谷新田
300-3561 茨城県 結城郡八千代町 平塚
300-3562 茨城県 結城郡八千代町 磯
300-3563 茨城県 結城郡八千代町 村貫
300-3564 茨城県 結城郡八千代町 水口
300-3565 茨城県 結城郡八千代町 松本
300-3571 茨城県 結城郡八千代町 大戸新田
300-3572 茨城県 結城郡八千代町 菅谷
300-3592 茨城県 結城郡八千代町 菅谷
300-3595 茨城県 結城郡八千代町 佐野
300-3598 茨城県 結城郡八千代町 平塚
300-4101 茨城県 土浦市 永井
300-4102 茨城県 土浦市 本郷
300-4103 茨城県 土浦市 大志戸
300-4104 茨城県 土浦市 沢辺
300-4105 茨城県 土浦市 田宮
300-4106 茨城県 土浦市 小高
300-4107 茨城県 土浦市 東城寺
300-4108 茨城県 土浦市 小野
300-4111 茨城県 土浦市 大畑
300-4112 茨城県 土浦市 桃園
300-4113 茨城県 土浦市 下坂田
300-4114 茨城県 土浦市 上坂田
300-4115 茨城県 土浦市 藤沢
300-4116 茨城県 土浦市 藤沢新田
300-4117 茨城県 土浦市 高岡
300-4118 茨城県 土浦市 田土部
300-4192 茨城県 土浦市 藤沢
300-4193 茨城県 土浦市 藤沢
300-4201 茨城県 つくば市 寺具
300-4202 茨城県 つくば市 高野原新田
300-4203 茨城県 つくば市 明石
300-4204 茨城県 つくば市 作谷
300-4205 茨城県 つくば市 安食
300-4211 茨城県 つくば市 臼井
300-4212 茨城県 つくば市 神郡
300-4213 茨城県 つくば市 平沢
300-4214 茨城県 つくば市 山口
300-4215 茨城県 つくば市 小沢
300-4216 茨城県 つくば市 漆所
300-4217 茨城県 つくば市 杉木
300-4218 茨城県 つくば市 大貫
300-4221 茨城県 つくば市 大形
300-4222 茨城県 つくば市 下大島
300-4223 茨城県 つくば市 小田
300-4224 茨城県 つくば市 小和田
300-4231 茨城県 つくば市 北条
300-4232 茨城県 つくば市 北太田
300-4233 茨城県 つくば市 君島
300-4234 茨城県 つくば市 山木
300-4235 茨城県 つくば市 泉
300-4236 茨城県 つくば市 小泉
300-4241 茨城県 つくば市 上菅間
300-4242 茨城県 つくば市 中菅間
300-4243 茨城県 つくば市 池田
300-4244 茨城県 つくば市 田中
300-4245 茨城県 つくば市 水守
300-4246 茨城県 つくば市 上沢
300-4247 茨城県 つくば市 和台
300-4248 茨城県 つくば市 磯部
300-4249 茨城県 つくば市 洞下
300-4251 茨城県 つくば市 田水山
300-4293 茨城県 つくば市 和台
300-4295 茨城県 つくば市 和台
300-4351 茨城県 つくば市 上大島
300-4352 茨城県 つくば市 筑波
300-4353 茨城県 つくば市 沼田
300-4354 茨城県 つくば市 国松
300-4401 茨城県 桜川市 真壁町上小幡
300-4402 茨城県 桜川市 真壁町下小幡
300-4403 茨城県 桜川市 真壁町長岡
300-4404 茨城県 桜川市 真壁町白井
300-4405 茨城県 桜川市 真壁町桜井
300-4406 茨城県 桜川市 真壁町山尾
300-4407 茨城県 桜川市 真壁町古城
300-4408 茨城県 桜川市 真壁町真壁
300-4411 茨城県 桜川市 真壁町田
300-4412 茨城県 桜川市 真壁町羽鳥
300-4413 茨城県 桜川市 真壁町酒寄
300-4414 茨城県 桜川市 真壁町椎尾
300-4415 茨城県 桜川市 真壁町東山田
300-4416 茨城県 桜川市 真壁町伊佐々
300-4417 茨城県 桜川市 真壁町飯塚
300-4421 茨城県 桜川市 真壁町原方
300-4422 茨城県 桜川市 真壁町亀熊
300-4423 茨城県 桜川市 真壁町塙世
300-4424 茨城県 桜川市 真壁町源法寺
300-4425 茨城県 桜川市 真壁町細芝
300-4426 茨城県 桜川市 真壁町下谷貝
300-4427 茨城県 桜川市 真壁町上谷貝
300-4428 茨城県 桜川市 真壁町大塚新田
300-4429 茨城県 桜川市 真壁町東矢貝
300-4495 茨城県 桜川市 真壁町飯塚
300-4501 茨城県 筑西市 猫島
300-4502 茨城県 筑西市 上西郷谷
300-4503 茨城県 筑西市 宮後
300-4504 茨城県 筑西市 宮山
300-4505 茨城県 筑西市 田宿
300-4506 茨城県 筑西市 鍋山
300-4507 茨城県 筑西市 内淀
300-4511 茨城県 筑西市 押尾
300-4512 茨城県 筑西市 有田
300-4513 茨城県 筑西市 中根
300-4514 茨城県 筑西市 山王堂
300-4515 茨城県 筑西市 倉持
300-4516 茨城県 筑西市 新井新田
300-4517 茨城県 筑西市 海老ケ島
300-4521 茨城県 筑西市 東石田
300-4522 茨城県 筑西市 向上野
300-4523 茨城県 筑西市 赤浜
300-4524 茨城県 筑西市 中上野
300-4525 茨城県 筑西市 寺上野
300-4531 茨城県 筑西市 築地
300-4532 茨城県 筑西市 鷺島
300-4533 茨城県 筑西市 成井
300-4534 茨城県 筑西市 高津
300-4535 茨城県 筑西市 谷原
300-4536 茨城県 筑西市 東保末
300-4537 茨城県 筑西市 大林
300-4538 茨城県 筑西市 海老江
300-4541 茨城県 筑西市 松原
300-4542 茨城県 筑西市 吉田
300-4543 茨城県 筑西市 竹垣
300-4544 茨城県 筑西市 古内
300-4545 茨城県 筑西市 下川中子
300-4546 茨城県 筑西市 村田
300-4598 茨城県 筑西市 海老ケ島
300-8550 茨城県 土浦市 菅谷町
300-8567 茨城県 土浦市 中央
300-8567 茨城県 土浦市 中央
300-8567 茨城県 土浦市 中央
300-8567 茨城県 土浦市 中央
300-8588 茨城県 土浦市 東中貫町
300-8601 茨城県 土浦市 城北町
300-8619 茨城県 土浦市 右籾
300-8686 茨城県 土浦市 下高津
301-0000 茨城県 龍ケ崎市 
301-0001 茨城県 龍ケ崎市 久保台
301-0002 茨城県 龍ケ崎市 中根台
301-0003 茨城県 龍ケ崎市 平台
301-0004 茨城県 龍ケ崎市 馴馬町
301-0005 茨城県 龍ケ崎市 川原代町
301-0006 茨城県 龍ケ崎市 門倉新田町
301-0007 茨城県 龍ケ崎市 馴柴町
301-0011 茨城県 龍ケ崎市 横町
301-0012 茨城県 龍ケ崎市 上町
301-0013 茨城県 龍ケ崎市 水門
301-0014 茨城県 龍ケ崎市 須藤堀町
301-0015 茨城県 龍ケ崎市 長沖町
301-0016 茨城県 龍ケ崎市 長沖新田町
301-0017 茨城県 龍ケ崎市 姫宮町
301-0018 茨城県 龍ケ崎市 米町
301-0021 茨城県 龍ケ崎市 北方町
301-0022 茨城県 龍ケ崎市 南が丘
301-0023 茨城県 龍ケ崎市 羽黒町
301-0024 茨城県 龍ケ崎市 豊田町
301-0025 茨城県 龍ケ崎市 大留町
301-0026 茨城県 龍ケ崎市 高須町
301-0031 茨城県 龍ケ崎市 庄兵衛新田町
301-0032 茨城県 龍ケ崎市 佐貫
301-0033 茨城県 龍ケ崎市 佐貫町
301-0034 茨城県 龍ケ崎市 小通幸谷町
301-0035 茨城県 龍ケ崎市 稗柄町
301-0041 茨城県 龍ケ崎市 若柴町
301-0042 茨城県 龍ケ崎市 長山
301-0043 茨城県 龍ケ崎市 松葉
301-0044 茨城県 龍ケ崎市 小柴
301-0045 茨城県 龍ケ崎市 稲荷新田町
301-0046 茨城県 龍ケ崎市 入地町
301-0047 茨城県 龍ケ崎市 南中島町
301-0048 茨城県 龍ケ崎市 川崎町
301-0801 茨城県 龍ケ崎市 板橋町
301-0802 茨城県 龍ケ崎市 高作町
301-0803 茨城県 龍ケ崎市 塗戸町
301-0804 茨城県 龍ケ崎市 長峰町
301-0805 茨城県 龍ケ崎市 薄倉町
301-0806 茨城県 龍ケ崎市 半田町
301-0811 茨城県 龍ケ崎市 宮渕町
301-0812 茨城県 龍ケ崎市 佐沼町
301-0813 茨城県 龍ケ崎市 新町
301-0814 茨城県 龍ケ崎市 高砂
301-0815 茨城県 龍ケ崎市 直鮒
301-0816 茨城県 龍ケ崎市 大徳町
301-0817 茨城県 龍ケ崎市 上大徳新町
301-0821 茨城県 龍ケ崎市 東町
301-0822 茨城県 龍ケ崎市 光順田
301-0823 茨城県 龍ケ崎市 砂町
301-0824 茨城県 龍ケ崎市 下町
301-0825 茨城県 龍ケ崎市 川余郷
301-0826 茨城県 龍ケ崎市 栄町
301-0831 茨城県 龍ケ崎市 野原町
301-0832 茨城県 龍ケ崎市 緑町
301-0833 茨城県 龍ケ崎市 城下
301-0834 茨城県 龍ケ崎市 古城
301-0835 茨城県 龍ケ崎市 田町
301-0836 茨城県 龍ケ崎市 寺後
301-0837 茨城県 龍ケ崎市 根町
301-0838 茨城県 龍ケ崎市 愛戸町
301-0839 茨城県 龍ケ崎市 出し山町
301-0841 茨城県 龍ケ崎市 白羽
301-0842 茨城県 龍ケ崎市 八代町
301-0843 茨城県 龍ケ崎市 羽原町
301-0844 茨城県 龍ケ崎市 平畑
301-0845 茨城県 龍ケ崎市 奈戸岡
301-0846 茨城県 龍ケ崎市 別所町
301-0847 茨城県 龍ケ崎市 城ノ内
301-0851 茨城県 龍ケ崎市 大塚町
301-0852 茨城県 龍ケ崎市 向陽台
301-0853 茨城県 龍ケ崎市 松ケ丘
301-0854 茨城県 龍ケ崎市 中里
301-0855 茨城県 龍ケ崎市 藤ケ丘
301-0856 茨城県 龍ケ崎市 貝原塚町
301-0857 茨城県 龍ケ崎市 泉町
301-0901 茨城県 稲敷市 下根本
301-0902 茨城県 稲敷市 上根本
301-8501 茨城県 龍ケ崎市 
301-8505 茨城県 龍ケ崎市 馴馬町
301-8555 茨城県 龍ケ崎市 平畑
301-8601 茨城県 龍ケ崎市 川原代町
301-8602 茨城県 龍ケ崎市 泉町
301-8610 茨城県 龍ケ崎市 若柴町
301-8611 茨城県 龍ケ崎市 
302-0000 茨城県 取手市 
302-0001 茨城県 取手市 小文間
302-0002 茨城県 取手市 長兵衛新田
302-0003 茨城県 取手市 小堀
302-0004 茨城県 取手市 取手
302-0005 茨城県 取手市 東
302-0006 茨城県 取手市 青柳
302-0007 茨城県 取手市 吉田
302-0011 茨城県 取手市 井野
302-0012 茨城県 取手市 井野団地
302-0013 茨城県 取手市 台宿
302-0014 茨城県 取手市 中央町
302-0015 茨城県 取手市 井野台
302-0016 茨城県 取手市 中原町
302-0017 茨城県 取手市 桑原
302-0021 茨城県 取手市 寺田
302-0022 茨城県 取手市 本郷
302-0023 茨城県 取手市 白山
302-0024 茨城県 取手市 新町
302-0025 茨城県 取手市 西
302-0026 茨城県 取手市 稲
302-0027 茨城県 取手市 駒場
302-0031 茨城県 取手市 新取手
302-0032 茨城県 取手市 野々井
302-0033 茨城県 取手市 米ノ井
302-0034 茨城県 取手市 戸頭
302-0035 茨城県 取手市 上高井
302-0036 茨城県 取手市 貝塚
302-0037 茨城県 取手市 市之代
302-0038 茨城県 取手市 下高井
302-0039 茨城県 取手市 ゆめみ野
302-0100 茨城県 守谷市 
302-0101 茨城県 守谷市 板戸井
302-0102 茨城県 守谷市 松前台
302-0103 茨城県 守谷市 大山新田
302-0104 茨城県 守谷市 久保ケ丘
302-0105 茨城県 守谷市 薬師台
302-0106 茨城県 守谷市 緑
302-0107 茨城県 守谷市 大木
302-0108 茨城県 守谷市 松並
302-0109 茨城県 守谷市 本町
302-0110 茨城県 守谷市 百合ケ丘
302-0111 茨城県 守谷市 赤法花
302-0112 茨城県 守谷市 同地
302-0115 茨城県 守谷市 中央
302-0115 茨城県 守谷市 守谷
302-0116 茨城県 守谷市 大柏
302-0117 茨城県 守谷市 野木崎
302-0118 茨城県 守谷市 立沢
302-0119 茨城県 守谷市 御所ケ丘
302-0121 茨城県 守谷市 みずき野
302-0122 茨城県 守谷市 小山
302-0123 茨城県 守谷市 乙子
302-0124 茨城県 守谷市 美園
302-0125 茨城県 守谷市 高野
302-0126 茨城県 守谷市 鈴塚
302-0127 茨城県 守谷市 松ケ丘
302-0128 茨城県 守谷市 けやき台
302-0131 茨城県 守谷市 ひがし野
302-0192 茨城県 守谷市 百合ケ丘
302-0198 茨城県 守谷市 大柏
302-8501 茨城県 取手市 白山
302-8502 茨城県 取手市 桑原
302-8585 茨城県 取手市 寺田
303-0000 茨城県 常総市 
303-0001 茨城県 常総市 中山町
303-0002 茨城県 常総市 相野谷町
303-0003 茨城県 常総市 水海道橋本町
303-0004 茨城県 常総市 水海道元町
303-0005 茨城県 常総市 水海道森下町
303-0006 茨城県 常総市 小山戸町
303-0011 茨城県 常総市 東町
303-0012 茨城県 常総市 大崎町
303-0013 茨城県 常総市 箕輪町
303-0014 茨城県 常総市 兵町
303-0015 茨城県 常総市 長助町
303-0016 茨城県 常総市 新井木町
303-0017 茨城県 常総市 平町
303-0018 茨城県 常総市 十花町
303-0021 茨城県 常総市 水海道諏訪町
303-0022 茨城県 常総市 水海道淵頭町
303-0023 茨城県 常総市 水海道宝町
303-0024 茨城県 常総市 水海道栄町
303-0025 茨城県 常総市 水海道亀岡町
303-0026 茨城県 常総市 水海道本町
303-0031 茨城県 常総市 水海道山田町
303-0032 茨城県 常総市 水海道川又町
303-0033 茨城県 常総市 水海道高野町
303-0034 茨城県 常総市 水海道天満町
303-0041 茨城県 常総市 豊岡町
303-0042 茨城県 常総市 坂手町
303-0043 茨城県 常総市 内守谷町
303-0044 茨城県 常総市 菅生町
303-0045 茨城県 常総市 大塚戸町
303-0046 茨城県 常総市 内守谷町きぬの里
303-8501 茨城県 常総市 水海道諏訪町
303-8503 茨城県 常総市 坂手町
304-0000 茨城県 下妻市 
304-0001 茨城県 下妻市 平方
304-0002 茨城県 下妻市 江
304-0003 茨城県 下妻市 関本下
304-0004 茨城県 下妻市 大木
304-0005 茨城県 下妻市 半谷
304-0006 茨城県 下妻市 柴
304-0007 茨城県 下妻市 黒駒
304-0011 茨城県 下妻市 神明
304-0012 茨城県 下妻市 若柳
304-0013 茨城県 下妻市 下宮
304-0014 茨城県 下妻市 中郷
304-0015 茨城県 下妻市 下田
304-0016 茨城県 下妻市 数須
304-0017 茨城県 下妻市 筑波島
304-0018 茨城県 下妻市 平川戸
304-0021 茨城県 下妻市 北大宝
304-0022 茨城県 下妻市 大宝
304-0023 茨城県 下妻市 大串
304-0024 茨城県 下妻市 坂本新田
304-0025 茨城県 下妻市 大木新田
304-0026 茨城県 下妻市 平沼
304-0027 茨城県 下妻市 福田
304-0028 茨城県 下妻市 下木戸
304-0031 茨城県 下妻市 高道祖
304-0032 茨城県 下妻市 比毛
304-0033 茨城県 下妻市 堀篭
304-0034 茨城県 下妻市 坂井
304-0035 茨城県 下妻市 横根
304-0041 茨城県 下妻市 古沢
304-0042 茨城県 下妻市 袋畑
304-0043 茨城県 下妻市 谷田部
304-0044 茨城県 下妻市 柳原
304-0045 茨城県 下妻市 山尻
304-0046 茨城県 下妻市 樋橋
304-0047 茨城県 下妻市 肘谷
304-0048 茨城県 下妻市 加養
304-0049 茨城県 下妻市 新堀
304-0050 茨城県 下妻市 亀崎
304-0051 茨城県 下妻市 小島
304-0052 茨城県 下妻市 二本紀
304-0053 茨城県 下妻市 今泉
304-0054 茨城県 下妻市 中居指
304-0055 茨城県 下妻市 砂沼新田
304-0056 茨城県 下妻市 長塚
304-0057 茨城県 下妻市 石の宮
304-0061 茨城県 下妻市 下妻丙
304-0062 茨城県 下妻市 下妻戊
304-0063 茨城県 下妻市 小野子町
304-0064 茨城県 下妻市 本城町
304-0065 茨城県 下妻市 本宿町
304-0066 茨城県 下妻市 下妻甲
304-0067 茨城県 下妻市 下妻乙
304-0068 茨城県 下妻市 下妻丁
304-0069 茨城県 下妻市 田町
304-0071 茨城県 下妻市 尻手
304-0072 茨城県 下妻市 渋井
304-0073 茨城県 下妻市 桐ケ瀬
304-0074 茨城県 下妻市 赤須
304-0075 茨城県 下妻市 南原
304-0076 茨城県 下妻市 前河原
304-0801 茨城県 下妻市 大園木
304-0802 茨城県 下妻市 鯨
304-0803 茨城県 下妻市 伊古立
304-0804 茨城県 下妻市 長萱
304-0805 茨城県 下妻市 唐崎
304-0806 茨城県 下妻市 見田
304-0811 茨城県 下妻市 下栗
304-0812 茨城県 下妻市 田下
304-0813 茨城県 下妻市 本宗道
304-0814 茨城県 下妻市 宗道
304-0815 茨城県 下妻市 渋田
304-0816 茨城県 下妻市 原
304-0817 茨城県 下妻市 羽子
304-0818 茨城県 下妻市 鬼怒
304-0819 茨城県 下妻市 鎌庭
304-0821 茨城県 下妻市 別府
304-0822 茨城県 下妻市 皆葉
304-0823 茨城県 下妻市 五箇
304-0824 茨城県 下妻市 村岡
304-8501 茨城県 下妻市 本城町
304-8601 茨城県 下妻市 下妻丁
305-0000 茨城県 つくば市 
305-0001 茨城県 つくば市 栗原
305-0002 茨城県 つくば市 上野
305-0003 茨城県 つくば市 桜
305-0004 茨城県 つくば市 柴崎
305-0005 茨城県 つくば市 天久保
305-0006 茨城県 つくば市 天王台
305-0007 茨城県 つくば市 春風台
305-0008 茨城県 つくば市 流星台
305-0011 茨城県 つくば市 上境
305-0012 茨城県 つくば市 中根
305-0013 茨城県 つくば市 栄
305-0014 茨城県 つくば市 松栄
305-0015 茨城県 つくば市 松塚
305-0016 茨城県 つくば市 大
305-0017 茨城県 つくば市 横町
305-0018 茨城県 つくば市 金田
305-0019 茨城県 つくば市 さくらの森
305-0021 茨城県 つくば市 古来
305-0022 茨城県 つくば市 吉瀬
305-0023 茨城県 つくば市 上ノ室
305-0024 茨城県 つくば市 倉掛
305-0025 茨城県 つくば市 花室
305-0026 茨城県 つくば市 岡村新田
305-0027 茨城県 つくば市 東岡
305-0028 茨城県 つくば市 妻木
305-0029 茨城県 つくば市 花園
305-0031 茨城県 つくば市 吾妻
305-0032 茨城県 つくば市 竹園
305-0033 茨城県 つくば市 東新井
305-0034 茨城県 つくば市 小野崎
305-0035 茨城県 つくば市 松代
305-0036 茨城県 つくば市 西郷
305-0041 茨城県 つくば市 上広岡
305-0042 茨城県 つくば市 下広岡
305-0043 茨城県 つくば市 大角豆
305-0044 茨城県 つくば市 並木
305-0045 茨城県 つくば市 梅園
305-0046 茨城県 つくば市 東
305-0047 茨城県 つくば市 千現
305-0051 茨城県 つくば市 二の宮
305-0052 茨城県 つくば市 長峰
305-0053 茨城県 つくば市 小野川
305-0054 茨城県 つくば市 西大沼
305-0055 茨城県 つくば市 上原
305-0056 茨城県 つくば市 松野木
305-0061 茨城県 つくば市 稲荷前
305-0062 茨城県 つくば市 赤塚
305-0063 茨城県 つくば市 下原
305-0064 茨城県 つくば市 梶内
305-0065 茨城県 つくば市 南中妻
305-0066 茨城県 つくば市 北中妻
305-0067 茨城県 つくば市 館野
305-0068 茨城県 つくば市 中内
305-0071 茨城県 つくば市 稲岡
305-0072 茨城県 つくば市 北中島
305-0073 茨城県 つくば市 市之台
305-0074 茨城県 つくば市 高野台
305-0075 茨城県 つくば市 下横場
305-0076 茨城県 つくば市 新牧田
305-0077 茨城県 つくば市 鷹野原
305-0801 茨城県 つくば市 大穂
305-0802 茨城県 つくば市 立原
305-0803 茨城県 つくば市 南原
305-0804 茨城県 つくば市 旭
305-0805 茨城県 つくば市 花畑
305-0811 茨城県 つくば市 北郷
305-0812 茨城県 つくば市 東平塚
305-0813 茨城県 つくば市 下平塚
305-0814 茨城県 つくば市 西平塚
305-0815 茨城県 つくば市 西原
305-0816 茨城県 つくば市 学園の森
305-0817 茨城県 つくば市 研究学園
305-0818 茨城県 つくば市 学園南
305-0821 茨城県 つくば市 春日
305-0822 茨城県 つくば市 苅間
305-0823 茨城県 つくば市 原
305-0824 茨城県 つくば市 葛城根崎
305-0831 茨城県 つくば市 西大橋
305-0832 茨城県 つくば市 西岡
305-0833 茨城県 つくば市 島
305-0834 茨城県 つくば市 手代木
305-0835 茨城県 つくば市 新井
305-0836 茨城県 つくば市 山中
305-0841 茨城県 つくば市 御幸が丘
305-0842 茨城県 つくば市 柳橋
305-0843 茨城県 つくば市 八幡台
305-0844 茨城県 つくば市 小白硲
305-0845 茨城県 つくば市 大白硲
305-0846 茨城県 つくば市 平
305-0847 茨城県 つくば市 陣場
305-0851 茨城県 つくば市 大わし
305-0852 茨城県 つくば市 藤本
305-0853 茨城県 つくば市 榎戸
305-0854 茨城県 つくば市 上横場
305-0855 茨城県 つくば市 今泉
305-0856 茨城県 つくば市 観音台
305-0857 茨城県 つくば市 羽成
305-0861 茨城県 つくば市 谷田部
305-0862 茨城県 つくば市 東丸山
305-0863 茨城県 つくば市 緑が丘
305-0864 茨城県 つくば市 境松
305-0865 茨城県 つくば市 根崎
305-0866 茨城県 つくば市 古館
305-0867 茨城県 つくば市 境田
305-0868 茨城県 つくば市 台町
305-0871 茨城県 つくば市 上萱丸
305-0872 茨城県 つくば市 下萱丸
305-0873 茨城県 つくば市 中野
305-0874 茨城県 つくば市 飯田
305-0875 茨城県 つくば市 花島新田
305-0876 茨城県 つくば市 西栗山
305-0877 茨城県 つくば市 片田
305-0881 茨城県 つくば市 みどりの
305-0882 茨城県 つくば市 みどりの中央
305-0883 茨城県 つくば市 みどりの東
305-0884 茨城県 つくば市 みどりの南
305-0901 茨城県 つくば市 池の台
305-0902 茨城県 つくば市 西の沢
305-0903 茨城県 つくば市 松の里
305-8501 茨城県 つくば市 御幸が丘
305-8504 茨城県 つくば市 高野台
305-8506 茨城県 つくば市 小野川
305-8515 茨城県 つくば市 東新井
305-8516 茨城県 つくば市 南原
305-8520 茨城県 つくば市 天久保
305-8521 茨城県 つくば市 春日
305-8555 茨城県 つくば市 苅間
305-8561 茨城県 つくば市 東
305-8562 茨城県 つくば市 東
305-8563 茨城県 つくば市 梅園
305-8564 茨城県 つくば市 並木
305-8565 茨城県 つくば市 東
305-8566 茨城県 つくば市 東
305-8567 茨城県 つくば市 東
305-8568 茨城県 つくば市 梅園
305-8569 茨城県 つくば市 小野川
305-8585 茨城県 つくば市 御幸が丘
305-8601 茨城県 つくば市 観音台
305-8602 茨城県 つくば市 観音台
305-8604 茨城県 つくば市 観音台
305-8642 茨城県 つくば市 観音台
305-8686 茨城県 つくば市 大わし
305-8687 茨城県 つくば市 松の里
306-0000 茨城県 古河市 
306-0001 茨城県 古河市 静町
306-0002 茨城県 古河市 三杉町
306-0003 茨城県 古河市 緑町
306-0004 茨城県 古河市 雷電町
306-0005 茨城県 古河市 北町
306-0006 茨城県 古河市 平和町
306-0007 茨城県 古河市 常盤町
306-0011 茨城県 古河市 東
306-0012 茨城県 古河市 旭町
306-0013 茨城県 古河市 東本町
306-0014 茨城県 古河市 下山町
306-0015 茨城県 古河市 南町
306-0016 茨城県 古河市 古河
306-0021 茨城県 古河市 松並
306-0022 茨城県 古河市 横山町
306-0023 茨城県 古河市 本町
306-0024 茨城県 古河市 幸町
306-0025 茨城県 古河市 原町
306-0026 茨城県 古河市 原
306-0031 茨城県 古河市 宮前町
306-0032 茨城県 古河市 大手町
306-0033 茨城県 古河市 中央町
306-0034 茨城県 古河市 長谷町
306-0035 茨城県 古河市 長谷
306-0036 茨城県 古河市 桜町
306-0037 茨城県 古河市 錦町
306-0038 茨城県 古河市 西町
306-0041 茨城県 古河市 鴻巣
306-0042 茨城県 古河市 三和
306-0043 茨城県 古河市 鳥喰
306-0044 茨城県 古河市 新久田
306-0045 茨城県 古河市 駒ケ崎
306-0046 茨城県 古河市 牧野地
306-0047 茨城県 古河市 立崎
306-0051 茨城県 古河市 茶屋新田
306-0052 茨城県 古河市 大山
306-0053 茨城県 古河市 中田
306-0054 茨城県 古河市 中田新田
306-0055 茨城県 古河市 けやき平
306-0056 茨城県 古河市 坂間
306-0101 茨城県 古河市 尾崎
306-0103 茨城県 古河市 長左エ門新田
306-0104 茨城県 古河市 恩名
306-0105 茨城県 古河市 江口
306-0106 茨城県 古河市 北間中橋
306-0107 茨城県 古河市 東間中橋
306-0108 茨城県 古河市 南間中橋
306-0109 茨城県 古河市 西間中橋
306-0110 茨城県 古河市 名崎
306-0111 茨城県 古河市 大和田
306-0112 茨城県 古河市 東山田
306-0113 茨城県 古河市 谷貝
306-0114 茨城県 古河市 山田
306-0115 茨城県 古河市 北山田
306-0116 茨城県 古河市 新和田
306-0121 茨城県 古河市 駒込
306-0122 茨城県 古河市 上和田
306-0123 茨城県 古河市 五部
306-0124 茨城県 古河市 東諸川
306-0125 茨城県 古河市 仁連
306-0126 茨城県 古河市 諸川
306-0127 茨城県 古河市 下片田
306-0128 茨城県 古河市 上片田
306-0201 茨城県 古河市 上大野
306-0202 茨城県 古河市 稲宮
306-0203 茨城県 古河市 柳橋
306-0204 茨城県 古河市 下大野
306-0205 茨城県 古河市 関戸
306-0206 茨城県 古河市 丘里
306-0211 茨城県 古河市 葛生
306-0212 茨城県 古河市 久能
306-0213 茨城県 古河市 北利根
306-0214 茨城県 古河市 高野
306-0215 茨城県 古河市 水海
