360-0000 埼玉県 熊谷市 
367-0313 埼玉県 児玉郡神川町 矢納
367-8501 埼玉県 本庄市 本庄
367-8686 埼玉県 本庄市 小島南
368-0000 埼玉県 秩父市 
368-0000 埼玉県 秩父郡横瀬町 
368-0001 埼玉県 秩父市 黒谷
368-0002 埼玉県 秩父市 栃谷
368-0003 埼玉県 秩父市 定峰
368-0004 埼玉県 秩父市 山田
368-0005 埼玉県 秩父市 大野原
368-0011 埼玉県 秩父市 大畑町
368-0012 埼玉県 秩父市 滝の上町
368-0013 埼玉県 秩父市 永田町
368-0014 埼玉県 秩父市 金室町
368-0015 埼玉県 秩父市 柳田町
368-0016 埼玉県 秩父市 阿保町
368-0021 埼玉県 秩父市 下宮地町
368-0022 埼玉県 秩父市 中宮地町
368-0023 埼玉県 秩父市 大宮
368-0024 埼玉県 秩父市 上宮地町
368-0025 埼玉県 秩父市 桜木町
368-0026 埼玉県 秩父市 相生町
368-0031 埼玉県 秩父市 上野町
368-0032 埼玉県 秩父市 熊木町
368-0033 埼玉県 秩父市 野坂町
368-0034 埼玉県 秩父市 日野田町
368-0035 埼玉県 秩父市 上町
368-0041 埼玉県 秩父市 番場町
368-0042 埼玉県 秩父市 東町
368-0043 埼玉県 秩父市 中町
368-0044 埼玉県 秩父市 本町
368-0045 埼玉県 秩父市 道生町
368-0046 埼玉県 秩父市 宮側町
368-0051 埼玉県 秩父市 中村町
368-0052 埼玉県 秩父市 近戸町
368-0053 埼玉県 秩父市 久那
368-0054 埼玉県 秩父市 別所
368-0055 埼玉県 秩父市 田村
368-0056 埼玉県 秩父市 寺尾
368-0061 埼玉県 秩父市 小柱
368-0062 埼玉県 秩父市 蒔田
368-0063 埼玉県 秩父市 伊古田
368-0064 埼玉県 秩父市 品沢
368-0065 埼玉県 秩父市 太田
368-0066 埼玉県 秩父市 堀切
368-0067 埼玉県 秩父市 みどりが丘
368-0071 埼玉県 秩父郡横瀬町 芦ケ久保
368-0072 埼玉県 秩父郡横瀬町 横瀬
368-0100 埼玉県 秩父郡小鹿野町 
368-0101 埼玉県 秩父郡小鹿野町 下小鹿野
368-0102 埼玉県 秩父郡小鹿野町 長留
368-0103 埼玉県 秩父郡小鹿野町 般若
368-0104 埼玉県 秩父郡小鹿野町 伊豆沢
368-0105 埼玉県 秩父郡小鹿野町 小鹿野
368-0111 埼玉県 秩父郡小鹿野町 飯田
368-0112 埼玉県 秩父郡小鹿野町 三山
368-0113 埼玉県 秩父郡小鹿野町 河原沢
368-0114 埼玉県 秩父郡小鹿野町 藤倉
368-0115 埼玉県 秩父郡小鹿野町 日尾
368-0192 埼玉県 秩父郡小鹿野町 小鹿野
368-0193 埼玉県 秩父郡小鹿野町 小鹿野
368-0195 埼玉県 秩父郡小鹿野町 般若
368-0201 埼玉県 秩父郡小鹿野町 両神薄
368-0202 埼玉県 秩父郡小鹿野町 両神小森
368-0292 埼玉県 秩父郡小鹿野町 両神薄
368-8501 埼玉県 秩父郡横瀬町 横瀬
368-8502 埼玉県 秩父郡横瀬町 横瀬
368-8505 埼玉県 秩父郡横瀬町 横瀬
368-8680 埼玉県 秩父市 上町
368-8686 埼玉県 秩父市 熊木町
369-0101 埼玉県 熊谷市 津田
369-0102 埼玉県 熊谷市 玉作
369-0103 埼玉県 熊谷市 小八林
369-0104 埼玉県 熊谷市 冑山
369-0105 埼玉県 熊谷市 箕輪
369-0106 埼玉県 熊谷市 相上
369-0107 埼玉県 熊谷市 向谷
369-0108 埼玉県 熊谷市 船木台
369-0111 埼玉県 鴻巣市 新宿
369-0112 埼玉県 鴻巣市 鎌塚
369-0113 埼玉県 鴻巣市 下忍
369-0114 埼玉県 鴻巣市 筑波
369-0115 埼玉県 鴻巣市 吹上本町
369-0116 埼玉県 鴻巣市 北新宿
369-0121 埼玉県 鴻巣市 吹上富士見
369-0122 埼玉県 鴻巣市 南
369-0123 埼玉県 鴻巣市 榎戸
369-0124 埼玉県 鴻巣市 荊原
369-0131 埼玉県 鴻巣市 袋
369-0132 埼玉県 鴻巣市 前砂
369-0133 埼玉県 鴻巣市 小谷
369-0134 埼玉県 鴻巣市 三町免
369-0135 埼玉県 鴻巣市 明用
369-0136 埼玉県 鴻巣市 吹上
369-0137 埼玉県 鴻巣市 大芦
369-0192 埼玉県 鴻巣市 南
369-0195 埼玉県 鴻巣市 吹上富士見
369-0198 埼玉県 鴻巣市 前砂
369-0201 埼玉県 深谷市 岡
369-0202 埼玉県 深谷市 岡里
369-0203 埼玉県 深谷市 普済寺
369-0211 埼玉県 深谷市 岡部
369-0212 埼玉県 深谷市 櫛挽
369-0213 埼玉県 深谷市 針ケ谷
369-0214 埼玉県 深谷市 本郷
369-0215 埼玉県 深谷市 今泉
369-0216 埼玉県 深谷市 山崎
369-0217 埼玉県 深谷市 山河
369-0221 埼玉県 深谷市 榛沢新田
369-0222 埼玉県 深谷市 後榛沢
369-0223 埼玉県 深谷市 榛沢
369-0224 埼玉県 深谷市 西田
369-0225 埼玉県 深谷市 沓掛
369-0292 埼玉県 深谷市 岡
369-0293 埼玉県 深谷市 普済寺
369-0295 埼玉県 深谷市 岡
369-0297 埼玉県 深谷市 岡
369-0300 埼玉県 児玉郡上里町 
369-0301 埼玉県 児玉郡上里町 金久保
369-0302 埼玉県 児玉郡上里町 黛
369-0303 埼玉県 児玉郡上里町 忍保
369-0304 埼玉県 児玉郡上里町 八町河原
369-0305 埼玉県 児玉郡上里町 神保原町
369-0306 埼玉県 児玉郡上里町 七本木
369-0307 埼玉県 児玉郡上里町 嘉美
369-0308 埼玉県 児玉郡上里町 毘沙吐
369-0311 埼玉県 児玉郡上里町 勅使河原
369-0312 埼玉県 児玉郡上里町 帯刀
369-0313 埼玉県 児玉郡上里町 堤
369-0314 埼玉県 児玉郡上里町 三町
369-0315 埼玉県 児玉郡上里町 大御堂
369-0316 埼玉県 児玉郡上里町 長浜
369-0317 埼玉県 児玉郡上里町 五明
369-0318 埼玉県 児玉郡上里町 藤木戸
369-0392 埼玉県 児玉郡上里町 七本木
369-0393 埼玉県 児玉郡上里町 七本木
369-0395 埼玉県 児玉郡上里町 嘉美
369-1101 埼玉県 深谷市 長在家
369-1102 埼玉県 深谷市 瀬山
369-1103 埼玉県 深谷市 川本明戸
369-1104 埼玉県 深谷市 菅沼
369-1105 埼玉県 深谷市 本田
369-1106 埼玉県 深谷市 白草台
369-1107 埼玉県 深谷市 畠山
369-1108 埼玉県 深谷市 田中
369-1109 埼玉県 深谷市 上原
369-1111 埼玉県 深谷市 武川
369-1192 埼玉県 深谷市 田中
369-1193 埼玉県 深谷市 長在家
369-1195 埼玉県 深谷市 白草台
369-1200 埼玉県 大里郡寄居町 
369-1201 埼玉県 大里郡寄居町 用土
369-1202 埼玉県 大里郡寄居町 桜沢
369-1203 埼玉県 大里郡寄居町 寄居
369-1204 埼玉県 大里郡寄居町 藤田
369-1205 埼玉県 大里郡寄居町 末野
369-1211 埼玉県 大里郡寄居町 赤浜
369-1212 埼玉県 大里郡寄居町 西古里
369-1213 埼玉県 大里郡寄居町 鷹巣
369-1214 埼玉県 大里郡寄居町 今市
369-1215 埼玉県 大里郡寄居町 牟礼
369-1216 埼玉県 大里郡寄居町 富田
369-1217 埼玉県 大里郡寄居町 小園
369-1221 埼玉県 大里郡寄居町 保田原
369-1222 埼玉県 大里郡寄居町 露梨子
369-1223 埼玉県 大里郡寄居町 三ケ山
369-1224 埼玉県 大里郡寄居町 鉢形
369-1225 埼玉県 大里郡寄居町 西ノ入
369-1231 埼玉県 大里郡寄居町 立原
369-1232 埼玉県 大里郡寄居町 三品
369-1233 埼玉県 大里郡寄居町 秋山
369-1234 埼玉県 大里郡寄居町 折原
369-1235 埼玉県 大里郡寄居町 風布
369-1236 埼玉県 大里郡寄居町 金尾
369-1241 埼玉県 深谷市 武蔵野
369-1242 埼玉県 深谷市 北根
369-1243 埼玉県 深谷市 永田
369-1244 埼玉県 深谷市 黒田
369-1245 埼玉県 深谷市 荒川
369-1246 埼玉県 深谷市 小前田
369-1247 埼玉県 深谷市 緑台
369-1292 埼玉県 大里郡寄居町 寄居
369-1293 埼玉県 深谷市 小前田
369-1295 埼玉県 深谷市 小前田
369-1298 埼玉県 大里郡寄居町 用土
369-1300 埼玉県 秩父郡長瀞町 
369-1301 埼玉県 秩父郡長瀞町 矢那瀬
369-1302 埼玉県 秩父郡長瀞町 野上下郷
369-1303 埼玉県 秩父郡長瀞町 中野上
369-1304 埼玉県 秩父郡長瀞町 本野上
369-1305 埼玉県 秩父郡長瀞町 長瀞
369-1311 埼玉県 秩父郡長瀞町 岩田
369-1312 埼玉県 秩父郡長瀞町 井戸
369-1313 埼玉県 秩父郡長瀞町 風布
369-1392 埼玉県 秩父郡長瀞町 本野上
369-1400 埼玉県 秩父郡皆野町 
369-1411 埼玉県 秩父郡皆野町 三沢
369-1412 埼玉県 秩父郡皆野町 皆野
369-1413 埼玉県 秩父郡皆野町 下田野
369-1492 埼玉県 秩父郡皆野町 皆野
369-1501 埼玉県 秩父市 吉田久長
369-1502 埼玉県 秩父市 吉田阿熊
369-1503 埼玉県 秩父市 下吉田
369-1504 埼玉県 秩父市 吉田石間
369-1505 埼玉県 秩父市 上吉田
369-1506 埼玉県 秩父市 吉田太田部
369-1592 埼玉県 秩父市 下吉田
369-1593 埼玉県 秩父市 下吉田
369-1596 埼玉県 秩父市 下吉田
369-1601 埼玉県 秩父郡皆野町 金沢
369-1621 埼玉県 秩父郡皆野町 金崎
369-1622 埼玉県 秩父郡皆野町 国神
369-1623 埼玉県 秩父郡皆野町 大淵
369-1624 埼玉県 秩父郡皆野町 野巻
369-1625 埼玉県 秩父郡皆野町 下日野沢
369-1626 埼玉県 秩父郡皆野町 上日野沢
369-1801 埼玉県 秩父市 荒川久那
369-1802 埼玉県 秩父市 荒川上田野
369-1803 埼玉県 秩父市 荒川日野
369-1804 埼玉県 秩父市 荒川小野原
369-1871 埼玉県 秩父市 下影森
369-1872 埼玉県 秩父市 上影森
369-1873 埼玉県 秩父市 浦山
369-1874 埼玉県 秩父市 和泉町
369-1892 埼玉県 秩父市 下影森
369-1893 埼玉県 秩父市 下影森
369-1894 埼玉県 秩父市 荒川上田野
369-1895 埼玉県 秩父市 下影森
369-1901 埼玉県 秩父市 大滝
369-1902 埼玉県 秩父市 三峰
369-1903 埼玉県 秩父市 中津川
369-1911 埼玉県 秩父市 荒川贄川
369-1912 埼玉県 秩父市 荒川白久
369-1998 埼玉県 秩父市 大滝
